"seen","see","Spatřili","spatřit","pf"," The two schooners, under all sail and joined by a third, could be seen making back."," Spatřili oba škunery, vracející se s plnými plachtami a doprovázené třetím."
"said","say","řekl","říci","pf"," “ Straighten yersel ’ up, man, ” said Donald."," "" Vzchop se, člověče, "" řekl Donald."
"fell","fall","padl","padnout","pf"," But Davy fell upon the cordwood."," Davy však padl na srovnané dřevo."
"heard","hear","uslyšeli","uslyšet","pf"," The men before the cabin heard the ringing of his axe and smiled."," Muži stojící před srubem uslyšeli zvonění jeho sekyry a usmáli se."
"remained","remain","zůstala","zůstat","pf"," One in fifty of the cocoanut palms still stood, and they were wrecks, while on not one of them remained a single nut."," Z každých padesáti kokosových palem zůstala jediná, i ta však rozvrácená a bez jediného ořechu."
"ate","eat","jedli","jíst","impf"," The survivors cut the hearts out of the fallen cocoanut-trees and ate them."," Přeživší jedli dřeň, kterou vydlabali z popadaných kokosových palem."
"measure","measure","měřit","měřit","impf"," By no conscious process could he measure it, for it had long since passed beyond all his experience of wind; but he knew somehow, nevertheless, that it was blowing harder."," Třebaže ho Raoul již nedokázal měřit žádným vědomým procesem, protože se dávno vymykal veškeré jeho zkušenosti, i tak věděl, že je stále silnější."
"buried","bury","pohřbili","pohřbít","pf"," On the third day the people buried their dead and sat down to wait for the rescue steamers."," Třetího dne lidé své mrtvé pohřbili a usadili se, aby vyčkali na záchranné parníky."
"sat","sit","usadili","usadit","pf"," On the third day the people buried their dead and sat down to wait for the rescue steamers."," Třetího dne lidé své mrtvé pohřbili a usadili se, aby vyčkali na záchranné parníky."
"torn","tear","odtrhnul","odtrhnout","pf"," In the meantime, Nauri, torn from her family by the hurricane, had been swept away on an adventure of her own."," Nauri, kterou hurikán odtrhnul od zbytku rodiny, byla odnesena za svým vlastním dobrodružstvím."
"filled","fill","plnilo","plnit","impf"," Clinging to a rough plank that wounded and bruised her and that filled her body with splinters, she was thrown clear over the atoll and carried away to sea."," Držíc se hrubého prkna, které jí působilo různá zranění a podlitiny a plnilo její tělo třískami, byla odnesena až za atol a odtud na volné moře."
"waiting","wait","čekala","čekat","impf"," She swam on, waiting her chance."," Pokračovala tedy v plavání a čekala na svou příležitost."
"feigning","feign","předstírajíc","předstírat","impf"," She rushed at him suddenly, feigning that she was attacking him."," Nauri se na něj zničehonic vrhla, předstírajíc útok."
"sleep","sleep","spěme","spát","impf"," Now let us sleep. ”"," A teď už spěme. """
"listened","listen","naslouchal","naslouchat","impf"," He held up his hand suddenly and listened."," Náhle Mapuhi zvedl ruku a pozorně naslouchal."
"give","give","dát","dát","pf"," “ You might give your old mother a drink of water, ” the ghost said plaintively."," "" Snad bys mohl dát své staré matce napít, "" zalkal duch."
"complained","complain","stěžoval","stěžovat","impf"," It was the killing pace of which Tom Daw had complained."," Bylo to ono smrtící tempo, na které si stěžoval Tom Daw."
"looking","look","hledala","hledat","impf"," She dragged herself along the sand, looking for cocoanuts."," Plazila se tedy pískem a hledala další kokosy."
"lay","lay","ležet","ležet","impf"," She gave up at last, and lay exhausted."," Nakonec se Nauri vzdala a zůstala vyčerpaně ležet."
"remained","remain","Nezbývalo","zbývat","impf"," Nothing remained but to wait for death."," Nezbývalo už nic jiného, než čekat na smrt."
"wait","wait","čekat","čekat","impf"," Nothing remained but to wait for death."," Nezbývalo už nic jiného, než čekat na smrt."
"says","say","říkal","říkat","impf"," “ If there ’ s any shell, we ’ ve got to run the risk of picking it up later on - so he says."," "" Jestli tu máte nějakou mušli, musíme riskovat a vyzvednout ji později - alespoň tak to říkal."
"dropped","drop","klesnul","klesnout","pf"," The barometer ’ s dropped to twenty-nine-seventy. ”"," Barometr klesnul na dvacet devět sedmdesát. """
"put","put","vsadila","vsadit","pf"," If he weakened, she ’ d just put her immortal soul into hisn an ’ make him live."," Kdyby zeslábl, vsadila by svojí nesmrtelnou duši do tý jeho a udržela by ho při životě."
"get","get","přijedeme","přijet","pf"," I ’ ll lay you three to one, in ounces, he ’ s alive when you get there."," Vsadím se s váma tři ku jedný v uncích, že až přijedeme, bude živej."
"looked","look","podíval","podívat","pf"," He looked and saw the Mormon church careering drunkenly a hundred feet away."," Raoul se podíval naznačeným směrem a uviděl mormonský kostel, potácející se o překot asi sto stop od nich."
"saw","see","podíval","podívat","pf"," He looked and saw the Mormon church careering drunkenly a hundred feet away."," Raoul se podíval naznačeným směrem a uviděl mormonský kostel, potácející se o překot asi sto stop od nich."
"saw","see","uviděl","uvidět","pf"," He looked and saw the Mormon church careering drunkenly a hundred feet away."," Raoul se podíval naznačeným směrem a uviděl mormonský kostel, potácející se o překot asi sto stop od nich."
"torn","tear","vytržen","vytrhnout","pf"," It had been torn from its foundations, and wind and sea were heaving and shoving it toward the lagoon."," Kostel byl vytržen ze základů a vítr a moře jej hnaly a postrkovaly směrem k laguně."
"tilted","tilt","naklonila","naklonit","pf"," A frightful wall of water caught it, tilted it, and flung it against half a dozen cocoanut-trees."," Náhle se jej zmocnila strašlivá vodní stěna, naklonila ho a mrštila jím proti půl tuctu kokosových palem."
"fell","fall","padaly","padat","impf"," The bunches of human fruit fell like ripe cocoanuts."," Hrozny lidského ovoce padaly k zemi jako zralé ořechy."
"reminded","remind","připomínali","připomínat","impf"," They reminded him strangely of ants."," Raoulovi podivně připomínali mravence."
"resolved","resolve","Rozhodla","rozhodnout","pf"," She resolved to play first."," Rozhodla se tedy učinit první tah."
"landed","land","přistáli","přistát","pf"," He landed on the beach in the midst of a driving thunder squall that was so dense that he collided with Huru-Huru before he saw him."," Když přistáli na pláži, byly již hromobití a déšť tak silné, že Raoul narazil do Huru - Hurua, ještě než si ho vůbec stačil všimnout."
"collided","collide","narazil","narazit","pf"," He landed on the beach in the midst of a driving thunder squall that was so dense that he collided with Huru-Huru before he saw him."," Když přistáli na pláži, byly již hromobití a déšť tak silné, že Raoul narazil do Huru - Hurua, ještě než si ho vůbec stačil všimnout."
"yelled","yell","křičel","křičet","impf"," “ Too late, ” yelled Huru-Huru."," "" Jdeš pozdě, "" křičel Huru - Huru."
"sold","sell","prodal","prodat","pf"," “ Mapuhi sold it to Toriki for fourteen hundred Chili, and Toriki sold it to Levy for twenty-five thousand francs."," "" Mapuhi ji prodal Torikimu za čtrnáct set chilských a Toriki jí prodal Levymu za dvacet pět tisíc franků."
"sold","sell","prodal","prodat","pf"," “ Mapuhi sold it to Toriki for fourteen hundred Chili, and Toriki sold it to Levy for twenty-five thousand francs."," "" Mapuhi ji prodal Torikimu za čtrnáct set chilských a Toriki jí prodal Levymu za dvacet pět tisíc franků."
"sold","sell","prodal","prodat","pf"," “ Mapuhi sold it to Toriki for fourteen hundred Chili, and Toriki sold it to Levy for twenty-five thousand francs."," "" Mapuhi ji prodal Torikimu za čtrnáct set chilských a Toriki jí prodal Levymu za dvacet pět tisíc franků."
"sold","sell","prodal","prodat","pf"," “ Mapuhi sold it to Toriki for fourteen hundred Chili, and Toriki sold it to Levy for twenty-five thousand francs."," "" Mapuhi ji prodal Torikimu za čtrnáct set chilských a Toriki jí prodal Levymu za dvacet pět tisíc franků."
"sell","sell","prodá","prodat","pf"," And Levy will sell it in France for a hundred thousand francs."," A Levy ji prodá ve Francii za sto tisíc franků."
"drowned","drown","utopila","utopit","pf"," But the words were drowned in the advancing roar."," Slova písně se však utopila v sílícím dunění."
"see","see","spatřit","spatřit","pf"," And to Donald was vouchsafed a sight such as no man may see and live."," Donaldovi se naskytl pohled, který nikdo nemůže spatřit a žít."
"met","meet","potkával","potkávat","impf"," These he met and talked with, noted their names and possessions, and passed on."," Montana Kid je potkával a mluvil s nimi, zaznamenával si do paměti jejich jména a majetky a pokračoval dál."
"talked","talk","mluvil","mluvit","impf"," These he met and talked with, noted their names and possessions, and passed on."," Montana Kid je potkával a mluvil s nimi, zaznamenával si do paměti jejich jména a majetky a pokračoval dál."
"seen","see","vidět","vidět","impf"," On the bottom of the huge and glassy lagoon was much pearl shell, and from the deck of the schooner, across the slender ring of the atoll, the divers could be seen at work."," Dno rozlehlé laguny, hladké jako sklo, skrývalo množství perlorodek a z paluby škuneru bylo přes útlý kruh atolu vidět pracující potápěče."
"sent","send","posílaly","posílat","impf"," With a favoring breeze cutters could win in through the tortuous and shallow channel, but the schooners lay off and on outside and sent in their small boats."," Za dobrého větru se křivolakým a mělkým kanálem mohl probojovat kutr, škunery však kotvily na různých místech vně a dovnitř posílaly jen své čluny."
"held","hold","držely","držet","impf"," Even though its roots held, it could not stand the strain for long."," Přestože kořeny stromu stále ještě držely, nemohly náporu dlouho odolávat."
"held","hold","odolávat","odolávat","impf"," Even though its roots held, it could not stand the strain for long."," Přestože kořeny stromu stále ještě držely, nemohly náporu dlouho odolávat."
"seen","see","neviděl","vidět","impf"," He had not seen it go, but there it stood, the remnant, broken off half-way up the trunk."," Raoul neviděl, jak k tomu došlo, viděl však, co zůstalo - pahýl kmenu zlomeného v půli."
"seen","see","viděl","vidět","impf"," He had not seen it go, but there it stood, the remnant, broken off half-way up the trunk."," Raoul neviděl, jak k tomu došlo, viděl však, co zůstalo - pahýl kmenu zlomeného v půli."
"saw","see","neviděl","vidět","impf"," One did not know what happened unless he saw it."," Člověk nemohl vědět o ničem, co neviděl."
"looking","look","díval","dívat","impf"," He chanced to be looking in Captain Lynch ’ s direction when it happened."," Když se to stalo, díval se Raoul náhodou zrovna směrem, kde byl kapitán Lynch."
"owed","owe","Dlužils","dlužit","impf"," You owed me twelve hundred dollars Chili."," Dlužils mi dvanáct set chilských dolarů."
"owe","owe","nedlužíš","dlužit","impf"," Very well; you owe them no longer."," Dobře, už nedlužíš."
"give","give","dám","dát","pf"," Besides, I will give you credit for two hundred Chili."," Navíc ti dám dvě stě chilských úvěru."
"get","get","přijedu","přijet","pf"," If, when I get to Tahiti, the pearl sells well, I will give you credit for another hundred - that will make three hundred."," A když tu perlu, až přijedu na Tahiti, dobře prodám, dám ti úvěr dalších sto - to už bude tři sta."
