"convinced","convince","přesvědčit","přesvědčit","pf"," You 've known me for long enough, Mr. K., I 'm sure you 're convinced of that."," Znáte mě přece už dost dlouho, pane K., abyste se mohl o tom přesvědčit."
"said","say","řekla","říci","pf"," "" Josef, "" said Leni, looking at K. imploringly but frankly in the eyes, "" you 're not going to be jealous of Mr. Block now, are you?"," "" Josefe, "" řekla Lenka a dívala se K. prosebně, a přece zpříma do očí, "" snad nebudeš žárlit na pana Blocka."
"looking","look","dívala","dívat","impf"," "" Josef, "" said Leni, looking at K. imploringly but frankly in the eyes, "" you 're not going to be jealous of Mr. Block now, are you?"," "" Josefe, "" řekla Lenka a dívala se K. prosebně, a přece zpříma do očí, "" snad nebudeš žárlit na pana Blocka."
"said","say","řekla","říci","pf"," Rudi, "" she then said, turning to the businessman, "" help me out will you, I 'm being suspected of something, you can see that, leave the candle alone. """," - Rudi, "" řekla pak a obrátila se na obchodníka, "" tak mi přece pomoz, vidíš, jak mě podezřívá, nech tu svíčku. """
"turning","turn","obrátila","obrátit","pf"," Rudi, "" she then said, turning to the businessman, "" help me out will you, I 'm being suspected of something, you can see that, leave the candle alone. """," - Rudi, "" řekla pak a obrátila se na obchodníka, "" tak mi přece pomoz, vidíš, jak mě podezřívá, nech tu svíčku. """
"help","help","pomoz","pomoci","pf"," Rudi, "" she then said, turning to the businessman, "" help me out will you, I 'm being suspected of something, you can see that, leave the candle alone. """," - Rudi, "" řekla pak a obrátila se na obchodníka, "" tak mi přece pomoz, vidíš, jak mě podezřívá, nech tu svíčku. """
"see","see","vidíš","vidět","impf"," Rudi, "" she then said, turning to the businessman, "" help me out will you, I 'm being suspected of something, you can see that, leave the candle alone. """," - Rudi, "" řekla pak a obrátila se na obchodníka, "" tak mi přece pomoz, vidíš, jak mě podezřívá, nech tu svíčku. """
"suspected","suspect","podezřívá","podezřívat","impf"," Rudi, "" she then said, turning to the businessman, "" help me out will you, I 'm being suspected of something, you can see that, leave the candle alone. """," - Rudi, "" řekla pak a obrátila se na obchodníka, "" tak mi přece pomoz, vidíš, jak mě podezřívá, nech tu svíčku. """
"leave","leave","nech","nechat","pf"," Rudi, "" she then said, turning to the businessman, "" help me out will you, I 'm being suspected of something, you can see that, leave the candle alone. """," - Rudi, "" řekla pak a obrátila se na obchodníka, "" tak mi přece pomoz, vidíš, jak mě podezřívá, nech tu svíčku. """
"concealed","conceal","zakrývaly","zakrývat","impf"," Whatever the cause, K. realised that the possibility of communicating with the Italian had been largely taken from him, even his French was difficult to understand, and his moustache concealed the movements of his lips which might have offered some help in understanding what he said."," K. si uvědomil, že je proto takřka nemožné, aby se s Italem dorozuměl, neboť i Italova francouzština byla jen stěží srozumitelná, kníry také zakrývaly pohyby rtů, kdyby na ně viděl, snad by rozuměl lépe."
"understand","understand","rozuměl","rozumět","impf"," Whatever the cause, K. realised that the possibility of communicating with the Italian had been largely taken from him, even his French was difficult to understand, and his moustache concealed the movements of his lips which might have offered some help in understanding what he said."," K. si uvědomil, že je proto takřka nemožné, aby se s Italem dorozuměl, neboť i Italova francouzština byla jen stěží srozumitelná, kníry také zakrývaly pohyby rtů, kdyby na ně viděl, snad by rozuměl lépe."
"understanding","understand","rozuměl","rozumět","impf"," Whatever the cause, K. realised that the possibility of communicating with the Italian had been largely taken from him, even his French was difficult to understand, and his moustache concealed the movements of his lips which might have offered some help in understanding what he said."," K. si uvědomil, že je proto takřka nemožné, aby se s Italem dorozuměl, neboť i Italova francouzština byla jen stěží srozumitelná, kníry také zakrývaly pohyby rtů, kdyby na ně viděl, snad by rozuměl lépe."
"watch","watch","sledoval","sledovat","impf"," K. had nothing to occupy himself but mechanically watch the exchange between the two men and his tiredness finally made itself felt, to his alarm, although fortunately in good time, he once caught himself nearly getting up, turning round and leaving."," Nakonec se u K., jenž se jinak neúčastnil rozhovoru a jen mechanicky sledoval očima oba rozmlouvající, projevila dřívější únava, a jednou se k svému úleku přistihl naštěstí ještě včas, že užuž chtěl v té roztržitosti vstát, otočit se a odejít."
"caught","catch","sledoval","sledovat","impf"," K. had nothing to occupy himself but mechanically watch the exchange between the two men and his tiredness finally made itself felt, to his alarm, although fortunately in good time, he once caught himself nearly getting up, turning round and leaving."," Nakonec se u K., jenž se jinak neúčastnil rozhovoru a jen mechanicky sledoval očima oba rozmlouvající, projevila dřívější únava, a jednou se k svému úleku přistihl naštěstí ještě včas, že užuž chtěl v té roztržitosti vstát, otočit se a odejít."
"caught","catch","přistihl","přistihnout","pf"," K. had nothing to occupy himself but mechanically watch the exchange between the two men and his tiredness finally made itself felt, to his alarm, although fortunately in good time, he once caught himself nearly getting up, turning round and leaving."," Nakonec se u K., jenž se jinak neúčastnil rozhovoru a jen mechanicky sledoval očima oba rozmlouvající, projevila dřívější únava, a jednou se k svému úleku přistihl naštěstí ještě včas, že užuž chtěl v té roztržitosti vstát, otočit se a odejít."
"turning","turn","otočit","otočit","pf"," K. had nothing to occupy himself but mechanically watch the exchange between the two men and his tiredness finally made itself felt, to his alarm, although fortunately in good time, he once caught himself nearly getting up, turning round and leaving."," Nakonec se u K., jenž se jinak neúčastnil rozhovoru a jen mechanicky sledoval očima oba rozmlouvající, projevila dřívější únava, a jednou se k svému úleku přistihl naštěstí ještě včas, že užuž chtěl v té roztržitosti vstát, otočit se a odejít."
"leaving","leave","odejít","odejít","pf"," K. had nothing to occupy himself but mechanically watch the exchange between the two men and his tiredness finally made itself felt, to his alarm, although fortunately in good time, he once caught himself nearly getting up, turning round and leaving."," Nakonec se u K., jenž se jinak neúčastnil rozhovoru a jen mechanicky sledoval očima oba rozmlouvající, projevila dřívější únava, a jednou se k svému úleku přistihl naštěstí ještě včas, že užuž chtěl v té roztržitosti vstát, otočit se a odejít."
"hanging","hang","visel","viset","impf"," He was especially impressed by a large picture hanging to the right of the door, he leant forward in order to see it better."," Zvlášť nápadný byl mu velký obraz, který visel vpravo ode dveří., K. se předklonil, aby lépe viděl."
"see","see","viděl","vidět","impf"," He was especially impressed by a large picture hanging to the right of the door, he leant forward in order to see it better."," Zvlášť nápadný byl mu velký obraz, který visel vpravo ode dveří., K. se předklonil, aby lépe viděl."
"sitting","sit","seděl","sedět","impf"," he was sitting on a lofty throne gilded in a way that shone forth from the picture."," seděl na vysokém trůnním křesle, jehož zlacení na obraze velmi vynikalo."
"shone","shine","vynikalo","vynikat","impf"," he was sitting on a lofty throne gilded in a way that shone forth from the picture."," seděl na vysokém trůnním křesle, jehož zlacení na obraze velmi vynikalo."
"agreed","agree","souhlasil","souhlasit","impf"," The supervisor may have agreed with him, at least K. thought that was what he saw from the corner of his eye."," Možná že s ním dozorce souhlasil, K. se tak zdálo, když na něho úkosem pohlédl."
"listening","listen","neposlouchal","poslouchat","impf"," But it was just as possible that he had not even been listening as he had his hand pressed firmly down on the table and seemed to be comparing the length of his fingers."," Ale stejně dobře bylo možné, že ani neposlouchal, neboť tiskl jednu ruku pevně na stůl, jako by porovnával délku prstů."
"pressed","press","tiskl","tisknout","impf"," But it was just as possible that he had not even been listening as he had his hand pressed firmly down on the table and seemed to be comparing the length of his fingers."," Ale stejně dobře bylo možné, že ani neposlouchal, neboť tiskl jednu ruku pevně na stůl, jako by porovnával délku prstů."
"comparing","compare","porovnával","porovnávat","impf"," But it was just as possible that he had not even been listening as he had his hand pressed firmly down on the table and seemed to be comparing the length of his fingers."," Ale stejně dobře bylo možné, že ani neposlouchal, neboť tiskl jednu ruku pevně na stůl, jako by porovnával délku prstů."
"sitting","sit","seděli","sedět","impf"," The two policemen were sitting on a chest covered with a coloured blanket, rubbing their knees."," Oba hlídači seděli na kufru, který byl zakryt ozdobnou pokrývkou, a hladili si kolena."
