"thought","think","pomyslel","pomyslet","pf"," At the sight of that bag, Pinocchio felt slightly happier and thought to himself :"," Když Pinocchio čepici uviděl, skoro ho to potěšilo a hned si v duchu pomyslel :"
"going","go","jdu","jít","impf"," "" You must know, Mr. Serpent, that I am going home where my father is waiting for me."," "" Víte, pane hade, já jdu domů, kde na mě čeká tatínek."
"waiting","wait","čeká","čekat","impf"," "" You must know, Mr. Serpent, that I am going home where my father is waiting for me."," "" Víte, pane hade, já jdu domů, kde na mě čeká tatínek."
"seen","see","neviděl","vidět","impf"," It is so long since I have seen him!"," Už jsem ho tak dlouho neviděl!"
"waited","wait","Čekal","čekat","impf"," He waited for some sign of an answer to his questions, but the answer did not come."," Čekal na náznak odpovědi na svou otázku, ale odpověď nepřišla."
"come","come","nepřišla","přijít","pf"," He waited for some sign of an answer to his questions, but the answer did not come."," Čekal na náznak odpovědi na svou otázku, ale odpověď nepřišla."
"spoken","speak","Říkal","říkat","impf"," Has he, perhaps, spoken to you of me?"," Říkal ti snad o mně?"
"left","leave","zanechal","zanechat","pf"," "" I left him three days ago on the shore of a large sea. """," "" Před třemi dny jsem ho zanechal na mořském pobřeží. """
"doing","do","dělal","dělat","impf"," "" What was he doing? """," "" A co dělal? """
"looking","look","hledá","hledat","impf"," For the last four months, that poor man has been wandering around Europe, looking for you."," Ten ubožák tě už přes čtyři měsíce hledá po celém světě."
"bought","buy","koupil","koupit","pf"," With some of the money he had earned, he bought himself a secondhand volume that had a few pages missing, and with that he learned to read in a very short time."," Za pár drobných si v nedaleké vesnici koupil tlustou knihu, která neměla titulní stranu ani obsah, a četl si v ní."
"earned","earn","neměla","mít","impf"," With some of the money he had earned, he bought himself a secondhand volume that had a few pages missing, and with that he learned to read in a very short time."," Za pár drobných si v nedaleké vesnici koupil tlustou knihu, která neměla titulní stranu ani obsah, a četl si v ní."
"read","read","četl","číst","impf"," With some of the money he had earned, he bought himself a secondhand volume that had a few pages missing, and with that he learned to read in a very short time."," Za pár drobných si v nedaleké vesnici koupil tlustou knihu, která neměla titulní stranu ani obsah, a četl si v ní."
"waiting","wait","čeká","čekat","impf"," I wonder if Father is waiting for me."," Kdo ví, jestli na mě tatínek ještě čeká?"
"find","find","Najdu","najít","pf"," Will I find him at the Fairy 's house?"," Najdu ho ve vílině domku?"
"seen","see","neviděl","vidět","impf"," It is so long, poor man, since I have seen him, and I do so want his love and his kisses."," Tak dlouho už jsem ho neviděl, že se nemůžu dočkat, až se s ním pomazlím a celého ho zulíbám!"
"began","begin","Začal","začít","pf"," He began to cry, to scream, to knock his head against the wall, but the more he shrieked, the longer and the more hairy grew his ears."," Začal plakat a vřískat a tloukl hlavou o zeď, ale čím víc si zoufal, tím víc mu uši narůstaly, rostly a rostly a shora se pokrývaly srstí."
"cry","cry","plakat","plakat","impf"," He began to cry, to scream, to knock his head against the wall, but the more he shrieked, the longer and the more hairy grew his ears."," Začal plakat a vřískat a tloukl hlavou o zeď, ale čím víc si zoufal, tím víc mu uši narůstaly, rostly a rostly a shora se pokrývaly srstí."
"knock","knock","tloukl","tlouci","impf"," He began to cry, to scream, to knock his head against the wall, but the more he shrieked, the longer and the more hairy grew his ears."," Začal plakat a vřískat a tloukl hlavou o zeď, ale čím víc si zoufal, tím víc mu uši narůstaly, rostly a rostly a shora se pokrývaly srstí."
"grew","grow","narůstaly","narůstat","impf"," He began to cry, to scream, to knock his head against the wall, but the more he shrieked, the longer and the more hairy grew his ears."," Začal plakat a vřískat a tloukl hlavou o zeď, ale čím víc si zoufal, tím víc mu uši narůstaly, rostly a rostly a shora se pokrývaly srstí."
"grew","grow","rostly","růst","impf"," He began to cry, to scream, to knock his head against the wall, but the more he shrieked, the longer and the more hairy grew his ears."," Začal plakat a vřískat a tloukl hlavou o zeď, ale čím víc si zoufal, tím víc mu uši narůstaly, rostly a rostly a shora se pokrývaly srstí."
"grew","grow","rostly","růst","impf"," He began to cry, to scream, to knock his head against the wall, but the more he shrieked, the longer and the more hairy grew his ears."," Začal plakat a vřískat a tloukl hlavou o zeď, ale čím víc si zoufal, tím víc mu uši narůstaly, rostly a rostly a shora se pokrývaly srstí."
"cried","cry","křikl","křiknout","pf"," "" Get out! "" cried the Fisherman threateningly and still holding onto the Marionette, who was all covered with flour."," "" Mazej pryč! "" křikl na něho rybář a pohrozil mu, a přitom pořád držel v ruce panáčka obaleného v mouce."
"holding","hold","držel","držet","impf"," "" Get out! "" cried the Fisherman threateningly and still holding onto the Marionette, who was all covered with flour."," "" Mazej pryč! "" křikl na něho rybář a pohrozil mu, a přitom pořád držel v ruce panáčka obaleného v mouce."
"say","say","říkal","říkat","impf"," But the poor Dog was very hungry, and whining and wagging his tail, he tried to say :"," Jenže chudák pes měl hlad za čtyři a kňučel a vrtěl ocasem, jako by říkal :"
"said","say","řekl","říci","pf"," "" I deserve it! "" he said to himself."," "" Dobře mi tak! "" řekl si pro sebe."
"thought","think","Měl","mít","impf"," "" I should have thought of this before I made him."," "" Měl jsem na to myslet dřív!"
"thought","think","myslet","myslet","impf"," "" I should have thought of this before I made him."," "" Měl jsem na to myslet dřív!"
"took","take","vzal","vzít","pf"," He took hold of the Marionette under the arms and put him on the floor to teach him to walk."," Potom vzal panáčka pod paži a postavil ho na zem, na podlahu ve světnici, aby se trochu prošel."
"put","put","postavil","postavit","pf"," He took hold of the Marionette under the arms and put him on the floor to teach him to walk."," Potom vzal panáčka pod paži a postavil ho na zem, na podlahu ve světnici, aby se trochu prošel."
"held","hold","měl","mít","impf"," Pinocchio 's legs were so stiff that he could not move them, and Geppetto held his hand and showed him how to put out one foot after the other."," Pinocchio měl ztuhlé nohy a nedokázal se pohnout, a Geppetto ho vodil za ruku, aby ho naučil dělat jeden krok za druhým."
"move","move","pohnout","pohnout","pf"," Pinocchio 's legs were so stiff that he could not move them, and Geppetto held his hand and showed him how to put out one foot after the other."," Pinocchio měl ztuhlé nohy a nedokázal se pohnout, a Geppetto ho vodil za ruku, aby ho naučil dělat jeden krok za druhým."
"owe","owe","vděčím","vděčit","impf"," She who has been so good to me and to whom I owe my life!"," Když si jen pomyslím, že mě zahrnovala takovou pozorností a něžnou péčí, když si jen pomyslím, že jí vděčím za to, že jsem dneska ještě naživu!"
"recognize","recognize","poznal","poznat","pf"," It was the Fox and the Cat, but one could hardly recognize them, they looked so miserable."," Byli to kocour a lišák, ale kdo je znal dřív, sotva by je poznal."
"fallen","fall","upadl","upadnout","pf"," That sly thief had fallen into deepest poverty, and one day he had been forced to sell his beautiful tail for a bite to eat."," Ten ničema a zloděj upadl do tak hluboké bídy, že jednoho dne musel prodat dokonce i ten svůj nádherný ocas jednomu podomnímu obchodníkovi, který si z něho udělal plácačku na mouchy."
"sell","sell","prodat","prodat","pf"," That sly thief had fallen into deepest poverty, and one day he had been forced to sell his beautiful tail for a bite to eat."," Ten ničema a zloděj upadl do tak hluboké bídy, že jednoho dne musel prodat dokonce i ten svůj nádherný ocas jednomu podomnímu obchodníkovi, který si z něho udělal plácačku na mouchy."
"answered","answer","odpovědělo","odpovědět","pf"," "" I am the ghost of the Talking Cricket, "" answered the little being in a faint voice that sounded as if it came from a far-away world."," "" Jsem stín mluvícího cvrčka, "" odpovědělo zvířátko tenounkým hláskem, který jako by přicházel z onoho světa."
"came","come","přicházel","přicházet","impf"," "" I am the ghost of the Talking Cricket, "" answered the little being in a faint voice that sounded as if it came from a far-away world."," "" Jsem stín mluvícího cvrčka, "" odpovědělo zvířátko tenounkým hláskem, který jako by přicházel z onoho světa."
"want","want","chceš","chtít","impf"," "" What do you want? "" asked the Marionette."," "" Co ode mě chceš? "" zeptal se panáček."
"asked","ask","zeptal","zeptat","pf"," "" What do you want? "" asked the Marionette."," "" Co ode mě chceš? "" zeptal se panáček."
"want","want","Chci","chtít","impf"," "" I want to give you a few words of good advice."," "" Chci ti dát radu."
"give","give","dát","dát","pf"," "" I want to give you a few words of good advice."," "" Chci ti dát radu."
"weeping","weep","pláče","plakat","impf"," Return home and give the four gold pieces you have left to your poor old father who is weeping because he has not seen you for many a day. """," Vrať se zpátky a odnes ty čtyři zlaťáky, které ti zbyly, svému ubohému tatínkovi, který pláče a zoufá si, protože už tě tak dlouho neviděl. """
"seen","see","neviděl","vidět","impf"," Return home and give the four gold pieces you have left to your poor old father who is weeping because he has not seen you for many a day. """," Vrať se zpátky a odnes ty čtyři zlaťáky, které ti zbyly, svému ubohému tatínkovi, který pláče a zoufá si, protože už tě tak dlouho neviděl. """
"returned","return","Vrátil","vrátit","pf"," He returned home as wet as a rag, and tired out from weariness and hunger."," Vrátil se domů promočený až na kost a vyčerpaný únavou a hladem."
"sat","sit","sedl","sednout","pf"," As he no longer had any strength left with which to stand, he sat down on a little stool and put his two feet on the stove to dry them."," A protože už se neudržel na nohou, sedl si a položil si promáčené a zablácené nohy na ohřívadlo plné žhavých uhlíků."
"put","put","položil","položit","pf"," As he no longer had any strength left with which to stand, he sat down on a little stool and put his two feet on the stove to dry them."," A protože už se neudržel na nohou, sedl si a položil si promáčené a zablácené nohy na ohřívadlo plné žhavých uhlíků."
"spend","spend","strávit","strávit","pf"," The rest of the night he had to spend with one foot through the door and the other one in the air."," Musel strávit celý zbytek noci s jednou nohou na zemi a druhou ve vzduchu."
"opened","open","otevřely","otevřít","pf"," As dawn was breaking, the door finally opened."," Ráno za rozbřesku se dveře konečně otevřely."
"forgetting","forget","zapomněl","zapomenout","pf"," Pinocchio became very thoughtful and, forgetting his good manners altogether, he pulled a hand out of his pocket and gave his head a thorough scratching."," A tak se zamyslel a přitom zapomněl na všechna pravidla etikety a dobrého vychování, vyndal jednu ruku z kapsy a dlouze se poškrábal na hlavě."
"preening","preen","čistí","čistit","impf"," He turned sharply, and there, just above him on the branch of a tree, sat a large Parrot, busily preening his feathers."," Zvedl hlavu a na stromě uviděl velkého papouška, jak si čistí těch několik málo pírek, co má na sobě."
