"nodded","nod","Přikývla","přikývnout","pf"," She nodded."," Přikývla."
"rid","rid","nezbavuje","zbavovat","impf"," Admittedly, in the era of Penthouse, sex columns, and louche songs with nationwide popularity I should n't need to get too worked up about excessive scruples, but I still ca n't entirely rid myself of qualms."," Chápu sice, že v době Penthausů, rubrik o sexu a s celonárodními sympatiemi přijímaných písňových vyznání k jedný z Dejvic, co tam toho má nejvíc bych se nemusel trápit nějakými přílišnými skrupulemi, ale stejně mne to rozpaků beze zbytku nezbavuje."
"remained","remain","zůstával","zůstávat","impf"," I did have a couple of timid erotic passages in my previous novel, it 's true, but in it I remained concealed ( with the pleasure of a genuine voyeur ) within the character called Guy, and besides, I could always get out of it by referring to the novel 's fictional nature."," Pár opatrných erotických pasáží jsem sice měl i v románu předchozím, avšak tam jsem zůstával skryt ( s potěšením skutečného voyeura ) v osobě takřečeného Kvida, a navíc jsem se vždycky ještě mohl vykroutit odkazem na románovou fiktivnost."
"concealed","conceal","skryt","skrýt","pf"," I did have a couple of timid erotic passages in my previous novel, it 's true, but in it I remained concealed ( with the pleasure of a genuine voyeur ) within the character called Guy, and besides, I could always get out of it by referring to the novel 's fictional nature."," Pár opatrných erotických pasáží jsem sice měl i v románu předchozím, avšak tam jsem zůstával skryt ( s potěšením skutečného voyeura ) v osobě takřečeného Kvida, a navíc jsem se vždycky ještě mohl vykroutit odkazem na románovou fiktivnost."
"walked","walk","kráčela","kráčet","impf"," Beata walked a trifle stiffly but made no resistance."," Beáta kráčela maličko toporně, ale nevzpírala se."
"Hold","hold","Držte","držet","impf"," "" Hold on to your hats, "" Petrik said with relish."," "" Držte si kloboučky, "" řekl Petřík zálibně."
"said","say","řekl","říci","pf"," "" Hold on to your hats, "" Petrik said with relish."," "" Držte si kloboučky, "" řekl Petřík zálibně."
"said","say","řekl","říci","pf"," "" Krakatit, "" I said."," "" Krakatit, "" řekl jsem."
"smelled","smell","voněly","vonět","impf"," Their hair smelled of smoke."," Jejich vlasy voněly kouřem."
"go","go","Jdeme","jít","impf"," "" Let 's go, "" I called in an undertone."," "" Jdeme, "" zvolal jsem zastřeně."
"called","call","zvolal","zvolat","pf"," "" Let 's go, "" I called in an undertone."," "" Jdeme, "" zvolal jsem zastřeně."
"hear","hear","zaslechly","zaslechnout","pf"," Admittedly two or three girls from my class did hear my order, but as soon as they discovered that the required stampede had not yet occurred, they looked straight through me and continued their promenade."," Dvě nebo tři dívky z mé třídy pokyn sice zaslechly, ale když se ujistily, že k žádnému požadovanému srocení zatím nedochází, sklouzly po mně nevidoucím pohledem a pokračovaly v pochůzce."
"continued","continue","pokračovaly","pokračovat","impf"," Admittedly two or three girls from my class did hear my order, but as soon as they discovered that the required stampede had not yet occurred, they looked straight through me and continued their promenade."," Dvě nebo tři dívky z mé třídy pokyn sice zaslechly, ale když se ujistily, že k žádnému požadovanému srocení zatím nedochází, sklouzly po mně nevidoucím pohledem a pokračovaly v pochůzce."
"going","go","jedeme","jet","impf"," "" We 're going to lunch, too. """," "" Taky jedeme na oběd. """
"said","say","Neříkal","říkat","impf"," I said nothing."," Neříkal jsem nic."
"hanging","hang","neviseli","viset","impf"," "" On the other hand, though, "" Jaromir slowly announced with a twinkle in his eye, "" you definitely did n't spend forty minutes hanging upside down from the gymnastic rings like our colleague Stribrny. """," "" Ale na druhé straně, "" pravil zvolna Jaromír a v očích mu zajiskřilo, "" jste určitě neviseli na gymnastických kruzích čtyřicet minut hlavou dolů jako kolega Stříbrný. """
"said","say","řekl","říci","pf"," "" Ninth years, "" I said."," "" Deváťáci, "" řekl jsem."
"tied","tie","Přivázali","přivázat","pf"," "" They tied him by the laces and hauled him up to the ceiling, "" Libuska explained in greater detail."," "" Přivázali ho za tkaničky a vytáhli ke stropu, "" upřesnila informaci Libuška."
"said","say","řekla","říci","pf"," "" And set him swinging, "" said Lenka."," "" A rozhoupali, "" řekla Lenka."
"projecting","project","promítal","promítat","impf"," I agitatedly summoned up the most recent of the hardcore films that some unknown lecher had been projecting onto my retina each morning in recent days, films in which Beata played a role usually designated in theatrical jargon as a juicy part."," Znepokojeně jsem si vybavil poslední z oněch hard - sex filmů, které mi tou dobou nějaký neznámý chlípník každé ráno promítal na oční sítnici a ve kterých Beáta hrála roli, v hereckém žargonu obvykle označovanou slovem kláda."
"played","play","hrála","hrát","impf"," I agitatedly summoned up the most recent of the hardcore films that some unknown lecher had been projecting onto my retina each morning in recent days, films in which Beata played a role usually designated in theatrical jargon as a juicy part."," Znepokojeně jsem si vybavil poslední z oněch hard - sex filmů, které mi tou dobou nějaký neznámý chlípník každé ráno promítal na oční sítnici a ve kterých Beáta hrála roli, v hereckém žargonu obvykle označovanou slovem kláda."
"said","say","řekl","říci","pf"," "" Nothing out of the ordinary, "" I said."," "" Na nic pozoruhodného, "" řekl jsem."
"start","start","startuju","startovat","impf"," "" It takes me a long time before I start ticking over."," "" Dlouho startuju."
"seeks","seek","hledá","hledat","impf"," In short the artist/ performer seeks new contexts which can be a piece of polystyrene sheeting or a television set, for instance, which Marschall Weber uses in his performance to create a second head on his body."," Umělec, performer, zkrátka hledá nové kontexty - tím může být kus polystyrenové desky nebo třeba televizor, který na těle Marschalla Webera vytváří v jeho performance druhou hlavu."
"create","create","vytváří","vytvářet","impf"," In short the artist/ performer seeks new contexts which can be a piece of polystyrene sheeting or a television set, for instance, which Marschall Weber uses in his performance to create a second head on his body."," Umělec, performer, zkrátka hledá nové kontexty - tím může být kus polystyrenové desky nebo třeba televizor, který na těle Marschalla Webera vytváří v jeho performance druhou hlavu."
"escape","escape","uprchnout","uprchnout","pf"," On the other hand, during the performance of Julie Regan and Ester Army Fischer, they fight like goaded animals to escape from a space surrounded by police barriers, constantly wounding each other in the process."," Naproti tomu Julie Regan a Ester Army Fischer se během představení jako štvaná zvířata pokoušejí uprchnout z prostoru ohrazeného policejními zábranami, přičemž si vzájemně ubližují."
"lost","lose","Zhubl","zhubnout","pf"," He 'd lost about twenty pounds and started falling asleep at the wheel."," Zhubl o deset kilo a usínal za volantem."
"wanting","want","chtěl","chtít","impf"," Oskar made a feeble pretence of wanting to pick some grains to make muesli, having allegedly mistaken it for an oat field."," Oskar chabě předstíral, že si chtěl pouze natrhat obilí k snídani - myslel prý, že je to oves."
"awoke","awake","Probudil","probudit","pf"," I awoke to a magnificent sunny morning."," Probudil jsem se do nádherného slunečného rána."
"picked","pick","vzal","vzít","pf"," I had breakfast, picked up the folding ruler and after complaining solely for form 's sake about this style of summer, I joyfully rushed out of the house."," Nasnídal jsem se, vzal jsem skládací metr a s velmi formálním postesknutím nad tímto způsobem léta jsem radostně vyrazil z domu."
"go","go","nejelo","jet","impf"," Contrary to my expectations, we were n't to go for a bed or for a ceiling lamp, but - as Agata in a blue swimsuit called to me from the terrace - for a swim."," Oproti mému očekávání se nejelo ani pro postel, ani pro lustr, nýbrž - jak na mne z terasy volala Agáta v modrých plavkách - na Slapy."
"called","call","volala","volat","impf"," Contrary to my expectations, we were n't to go for a bed or for a ceiling lamp, but - as Agata in a blue swimsuit called to me from the terrace - for a swim."," Oproti mému očekávání se nejelo ani pro postel, ani pro lustr, nýbrž - jak na mne z terasy volala Agáta v modrých plavkách - na Slapy."
"waved","wave","Zamávala","zamávat","pf"," She waved to me and disappeared inside the house."," Zamávala mi a zmizela v domě."
"disappeared","disappear","zmizela","zmizet","pf"," She waved to me and disappeared inside the house."," Zamávala mi a zmizela v domě."
"write","write","napsat","napsat","pf"," I really have no wish to bring down on my head the wrath of the press officer of the relevant council of bishops or even the papal council for dialogue with unbelievers, but if I am to write the truth, my deepest feeling about Beata 's final phase can best be described by the irreverent paraphrase What man hath joined let not God put asunder."," Opravdu na sebe nechci obracet hněv tiskového mluvčího příslušné biskupské rady, ne - li dokonce papežské rady pro dialog s nevěřícími, ale mám - li napsat pravdu, můj nejintenzívnější pocit z tohoto posledního Beátina období nejlépe vyjadřuje rouhavá parafráze Co člověk spojil, bůh nerozděluj."
