"hesitated","hesitate","zaváhal","zaváhat","pf"," Gatsby hesitated, then added coolly :"," Gatsby zaváhal a potom chladně dodal :"
"shaded","shade","zastínil","zastínit","pf"," Daisy took the brush with delight, and smoothed her hair, whereupon Gatsby sat down and shaded his eyes and began to laugh."," Daisy vzala s potěšením kartáč a uhladila si vlasy, načež si Gatsby sedl, zastínil si oči a začal se smát."
"began","begin","začal","začít","pf"," Daisy took the brush with delight, and smoothed her hair, whereupon Gatsby sat down and shaded his eyes and began to laugh."," Daisy vzala s potěšením kartáč a uhladila si vlasy, načež si Gatsby sedl, zastínil si oči a začal se smát."
"laugh","laugh","smát","smát","impf"," Daisy took the brush with delight, and smoothed her hair, whereupon Gatsby sat down and shaded his eyes and began to laugh."," Daisy vzala s potěšením kartáč a uhladila si vlasy, načež si Gatsby sedl, zastínil si oči a začal se smát."
"said","say","řekl","říci","pf"," ' Hold on, ' I said, ' I have to leave you here. '"," "" Zastavte, "" řekl jsem, "" tady vás musím opustit. """
"leave","leave","opustit","opustit","pf"," ' Hold on, ' I said, ' I have to leave you here. '"," "" Zastavte, "" řekl jsem, "" tady vás musím opustit. """
"do","do","nepůjdeš","jít","impf"," ' Myrtle 'll be hurt if you do n't come up to the apartment."," "" Myrtle to bude mrzet, když nepůjdeš nahoru do bytu."
"come","come","nepůjdeš","jít","impf"," ' Myrtle 'll be hurt if you do n't come up to the apartment."," "" Myrtle to bude mrzet, když nepůjdeš nahoru do bytu."
"Come","come","pojďte","jít","impf"," ' Come on, ' she urged."," "" Jen pojďte, "" naléhala."
"urged","urge","naléhala","naléhat","impf"," ' Come on, ' she urged."," "" Jen pojďte, "" naléhala."
"telephone","telephone","Zatelefonuju","zatelefonovat","pf"," ' I 'll telephone my sister Catherine."," "" Zatelefonuju sestře Kateřině."
"said","say","říkají","říkat","impf"," She 's said to be very beautiful by people who ought to know. '"," Lidé, kteří by se v tom měli vyznat, o ní říkají, že je velmi hezká """
"turned","turn","otočil","otočit","pf"," Moved by an irresistible impulse, Gatsby turned to Tom, who had accepted the introduction as a stranger."," Veden neodolatelným impulsem, otočil se Gatsby na Toma, který se při představování choval, jako by byl cizí."
"believe","believe","Myslím","myslet","impf"," ' I believe we 've met somewhere before, Mr Buchanan. '"," "" Myslím, že jsme se už někde viděli, pane Buchanane. """
"said","say","řekl","říci","pf"," ' Oh, yes, ' said Tom, gruffly polite, but obviously not remembering."," "" Ach, ano, "" řekl Tom s nevrlou zdvořilostí, ale zřejmě se na to nepamatoval."
"remembering","remember","nepamatoval","pamatovat","impf"," ' Oh, yes, ' said Tom, gruffly polite, but obviously not remembering."," "" Ach, ano, "" řekl Tom s nevrlou zdvořilostí, ale zřejmě se na to nepamatoval."
"remember","remember","Pamatuji","pamatovat","impf"," I remember very well. '"," Pamatuji se velmi dobře. """
"continued","continue","pokračoval","pokračovat","impf"," ' I know your wife, ' continued Gatsby, almost aggressively."," "" Znám vaši ženu, "" pokračoval Gatsby skoro útočně."
"said","say","řekl","říci","pf"," ' This is a terrible mistake, ' he said, shaking his head from side to side, ' a terrible, terrible mistake. '"," "" Je to strašný omyl, "" řekl a vrtěl hlavou, "" strašný, strašný omyl. """
"added","add","dodal","dodat","pf"," ' You 're just embarrassed, that 's all, ' and luckily I added :"," "" Jste prostě v rozpacích, to je všechno, "" a na štěstí jsem dodal :"
"repeated","repeat","opakoval","opakovat","impf"," ' She 's embarrassed? ' he repeated incredulously."," "" Je v rozpacích? "" opakoval nedůvěřivě."
"talk","talk","Nemluvte","mluvit","impf"," ' Do n't talk so loud. '"," "" Nemluvte tak nahlas. """
"attain","attain","dosáhnout","dosáhnout","pf"," Practice elocution, poise and how to attain it 5.00-6.00 """," Cvičit výmluvnost, držení těla a jak toho dosáhnout ... 17. 00 - 18. 00"
"called","call","Volal","volat","impf"," What I called up about is - '"," Volal jsem vlastně - """
"Wait","wait","Počkejte","počkat","pf"," ' Wait a minute, ' I interrupted."," "" Počkejte, "" přerušil jsem ho."
"interrupted","interrupt","přerušil","přerušit","pf"," ' Wait a minute, ' I interrupted."," "" Počkejte, "" přerušil jsem ho."
"saying","say","řekl","říci","pf"," ' How about saying you 'll come? '"," "" Co kdybyste řekl, že přijdete? """
"come","come","přijdete","přijít","pf"," ' How about saying you 'll come? '"," "" Co kdybyste řekl, že přijdete? """
"expect","expect","očekávají","očekávat","impf"," ' Well, the fact is - the truth of the matter is that I 'm staying with some people up here in Greenwich, and they rather expect me to be with them to-morrow."," "" No, vlastně - abych řekl pravdu, jsem teď u nějakých lidí tady v Greenwichi a oni jaksi očekávají, že u nich zítra zůstanu."
"staying","stay","zůstanu","zůstat","pf"," ' Well, the fact is - the truth of the matter is that I 'm staying with some people up here in Greenwich, and they rather expect me to be with them to-morrow."," "" No, vlastně - abych řekl pravdu, jsem teď u nějakých lidí tady v Greenwichi a oni jaksi očekávají, že u nich zítra zůstanu."
"wanted","want","Chtěl","chtít","impf"," I wanted to go into the room where he lay and reassure him :"," Chtěl jsem jít do pokoje, kde ležel, a ujistit ho :"
"go","go","jít","jít","impf"," I wanted to go into the room where he lay and reassure him :"," Chtěl jsem jít do pokoje, kde ležel, a ujistit ho :"
"lay","lay","ležel","ležet","impf"," I wanted to go into the room where he lay and reassure him :"," Chtěl jsem jít do pokoje, kde ležel, a ujistit ho :"
"reassure","reassure","ujistit","ujistit","pf"," I wanted to go into the room where he lay and reassure him :"," Chtěl jsem jít do pokoje, kde ležel, a ujistit ho :"
"trust","trust","věřte","věřit","impf"," Just trust me and I 'll get somebody for you - '"," Jenom mi věřte, a já vám někoho seženu - """
"get","get","seženu","sehnat","pf"," Just trust me and I 'll get somebody for you - '"," Jenom mi věřte, a já vám někoho seženu - """
"gave","give","dal","dát","pf"," The butler gave me his office address on Broadway, and I called Information, but by the time I had the number it was long after five, and no one answered the phone."," Sluha mi dal jeho adresu do kanceláře na Broadwayi, a já zavolal Informace, ale když jsem dostal číslo, bylo už dávno pět pryč a telefon nikdo nebral."
"called","call","zavolal","zavolat","pf"," The butler gave me his office address on Broadway, and I called Information, but by the time I had the number it was long after five, and no one answered the phone."," Sluha mi dal jeho adresu do kanceláře na Broadwayi, a já zavolal Informace, ale když jsem dostal číslo, bylo už dávno pět pryč a telefon nikdo nebral."
"ring","ring","Zazvoníte","zazvonit","pf"," ' Will you ring again? '"," "" Zazvoníte tam, prosím, ještě jednou? """
"told","tell","Řekla","říci","pf"," She told me it was a girl, and so I turned my head away and wept."," Řekla mi, že je to děvče, a já se otočila a začala brečet."
"turned","turn","otočila","otočit","pf"," She told me it was a girl, and so I turned my head away and wept."," Řekla mi, že je to děvče, a já se otočila a začala brečet."
"wept","weep","brečet","brečet","impf"," She told me it was a girl, and so I turned my head away and wept."," Řekla mi, že je to děvče, a já se otočila a začala brečet."
"said","say","řekla","říci","pf"," "" All right, "" I said, "" I 'm glad it 's a girl."," ' No dobře, ' řekla jsem, ' jsem ráda, že je to děvče."
"think","think","myslím","myslet","impf"," ' You see I think everything 's terrible anyhow, ' she went on in a convinced way."," Víš, já si myslím, že teď je vůbec všechno hrozné, "" pokračovala s přesvědčením."
"went","go","pokračovala","pokračovat","impf"," ' You see I think everything 's terrible anyhow, ' she went on in a convinced way."," Víš, já si myslím, že teď je vůbec všechno hrozné, "" pokračovala s přesvědčením."
"thinks","think","myslí","myslet","impf"," ' Everybody thinks so - the most advanced people."," "" Všichni si to myslí - ti nejmodernější lidé."
"looked","look","Pohlédla","pohlédnout","pf"," She looked at Gatsby."," Pohlédla na Gatsbyho."
"said","say","řekla","říci","pf"," ' There, Jay, ' she said - but her hand as she tried to light a cigarette was trembling."," "" Podívej se, Jay, "" řekla - ale ruka se jí třásla, když si chtěla zapálit cigaretu."
"light","light","zapálit","zapálit","pf"," ' There, Jay, ' she said - but her hand as she tried to light a cigarette was trembling."," "" Podívej se, Jay, "" řekla - ale ruka se jí třásla, když si chtěla zapálit cigaretu."
"whispered","whisper","zašeptala","zašeptat","pf"," ' The rumour is, ' whispered Jordan, ' that that 's Tom 's girl on the telephone. '"," "" Proslýchá se, "" zašeptala Jordan, "" že u telefonu je Tomovo děvče. """
"stand","stand","Nemám","mít","impf"," I 'm under no obligations to you at all ... and as for your bothering me about it at lunch time, I wo n't stand that at all! '"," Nemám k vám žádné závazky a to, že mne s tím otravujete při obědě, to teprve nesnesu! """
"bothering","bother","otravujete","otravovat","impf"," I 'm under no obligations to you at all ... and as for your bothering me about it at lunch time, I wo n't stand that at all! '"," Nemám k vám žádné závazky a to, že mne s tím otravujete při obědě, to teprve nesnesu! """
"stand","stand","nesnesu","snést","pf"," I 'm under no obligations to you at all ... and as for your bothering me about it at lunch time, I wo n't stand that at all! '"," Nemám k vám žádné závazky a to, že mne s tím otravujete při obědě, to teprve nesnesu! """
