"saw","see","uviděl","uvidět","pf"," Then he saw the corn and the meat and the potatoes."," Potom uviděl kukuřici, maso a brambory."
"returning","return","vracel","vracet","impf"," He was out most evenings now, usually returning a few hours before dawn."," Býval teď po většinu večerů někde venku, obvykle se vracel pár hodin před úsvitem."
"heard","hear","Zaslechla","zaslechnout","pf"," She heard a far grumble of thunder."," Zaslechla vzdálené dunění hromu."
"hanging","hang","pověsila","pověsit","pf"," She carried the six-foot crucifix from the bombed chapel and used it to build a scarecrow above her seedbed, hanging empty sardine cans from it which clattered and clanked whenever the wind lifted."," Vynesla z vybombardované kaple téměř dvoumetrový kříž a udělala z něho nad záhonem strašáka, pověsila na něj prázdné plechovky od sardinek, a ty chřestily a řinčely, kdykoli se zvedl vítr."
"lifted","lift","zvedl","zvednout","pf"," She carried the six-foot crucifix from the bombed chapel and used it to build a scarecrow above her seedbed, hanging empty sardine cans from it which clattered and clanked whenever the wind lifted."," Vynesla z vybombardované kaple téměř dvoumetrový kříž a udělala z něho nad záhonem strašáka, pověsila na něj prázdné plechovky od sardinek, a ty chřestily a řinčely, kdykoli se zvedl vítr."
"held","hold","neměla","mít","impf"," Within the villa she would step from rubble to a candlelit alcove where there was her neatly packed suitcase, which held little besides some letters, a few rolled-up clothes, a metal box of medical supplies."," Ve vile se vydávala přes rumiště do svíčkou osvětleného přístěnku, kde si uložila svůj pěkně sbalený kufr, v němž toho moc neměla kromě dopisů, trochy srovnaných šatů a plechové krabice s léky."
"cleared","clear","Vyklidila","vyklidit","pf"," She had cleared just small sections of the villa, and all this she could burn down if she wished."," Vyklidila jenom malé úseky vily, a tohle všechno mohla spálit, kdyby chtěla."
"burn","burn","spálit","spálit","pf"," She had cleared just small sections of the villa, and all this she could burn down if she wished."," Vyklidila jenom malé úseky vily, a tohle všechno mohla spálit, kdyby chtěla."
"wished","wish","chtěla","chtít","impf"," She had cleared just small sections of the villa, and all this she could burn down if she wished."," Vyklidila jenom malé úseky vily, a tohle všechno mohla spálit, kdyby chtěla."
"amused","amuse","bavily","bavit","impf"," Yes, they were amused, laughing at Almasy 's stomach as his shirt loosened, not charmed by his weight, which leaned on their shoulders as he paused during the dance, collapsing at some point later during a schottische onto the floor."," Ano, bavily se, smály se Almásyho břichu, když mu vylezla košile, třebaže je nijak nenadchla jeho váha, kterou spočíval na jejich ramenou, když se během tance zastavil a pak později při šotyši v jedné chvíli svalil na zem."
"laughing","laugh","smály","smát","impf"," Yes, they were amused, laughing at Almasy 's stomach as his shirt loosened, not charmed by his weight, which leaned on their shoulders as he paused during the dance, collapsing at some point later during a schottische onto the floor."," Ano, bavily se, smály se Almásyho břichu, když mu vylezla košile, třebaže je nijak nenadchla jeho váha, kterou spočíval na jejich ramenou, když se během tance zastavil a pak později při šotyši v jedné chvíli svalil na zem."
"charmed","charm","nenadchla","nadchnout","pf"," Yes, they were amused, laughing at Almasy 's stomach as his shirt loosened, not charmed by his weight, which leaned on their shoulders as he paused during the dance, collapsing at some point later during a schottische onto the floor."," Ano, bavily se, smály se Almásyho břichu, když mu vylezla košile, třebaže je nijak nenadchla jeho váha, kterou spočíval na jejich ramenou, když se během tance zastavil a pak později při šotyši v jedné chvíli svalil na zem."
"proceed","proceed","pokračovat","pokračovat","impf"," It was important during such evenings to proceed into the plot of the evening, while the human constellations whirled and skidded around you."," Za takových večerů bylo důležité pokračovat podle schématu večera, kdy se kolem člověka točily a prosmykovaly lidské konstelace."
"whirled","whirl","točily","točit","impf"," It was important during such evenings to proceed into the plot of the evening, while the human constellations whirled and skidded around you."," Za takových večerů bylo důležité pokračovat podle schématu večera, kdy se kolem člověka točily a prosmykovaly lidské konstelace."
"came","come","došlo","dojít","pf"," The evening 's field notes came later, in the desert, in the landforms between Dakhla and Kufra."," Na večerní terénní záznamy došlo až později, v poušti, na územích mezi Dakhlou a Kufrou."
"search","search","pátrat","pátrat","impf"," One was to search for Zerzura-the lost oasis."," Cílem jedné bylo pátrat po Zerzuře - té ztracené oáze."
"joined","join","připojil","připojit","pf"," Then when war broke out he joined the Germans."," A když pak vypukla válka, připojil se k Němcům."
"lies","lie","leží","ležet","impf"," He stands at the foot of the bed where the English patient lies."," Stojí v nohách postele, kde leží anglický pacient."
"looks","look","dívá","dívat","impf"," Kip looks condemned, separate from the world, his brown face weeping."," Kip se dívá jako odsouzenec stojící mimo tento svět, obličej v slzách."
"turns","turn","Obrátí","obrátit","pf"," The body turns and fires into the old fountain, and the plaster explodes dust onto the bed."," Obrátí se a vystřelí na tu starou fontánu a ze sádrové omítky se snese prach na postel."
"fires","fire","vystřelí","vystřelit","pf"," The body turns and fires into the old fountain, and the plaster explodes dust onto the bed."," Obrátí se a vystřelí na tu starou fontánu a ze sádrové omítky se snese prach na postel."
"said","say","řekl","říci","pf"," "" Yes, I have heard the song, "" said Kip, and he attempted a version of it."," "" Ano, tu píseň znám, "" řekl Kip a pokusil se ji zanotovat."
"attempted","attempt","pokusil","pokusit","pf"," "" Yes, I have heard the song, "" said Kip, and he attempted a version of it."," "" Ano, tu píseň znám, "" řekl Kip a pokusil se ji zanotovat."
"sing","sing","zpívat","zpívat","impf"," "" No, you have to sing it out, "" said Hana, "" you have to sing it standing up! """," "" Ne, musíš ji zpívat hlasitě, a při zpívání se postavit! "" prohlásila Hana."
"sing","sing","zpívat","zpívat","impf"," "" No, you have to sing it out, "" said Hana, "" you have to sing it standing up! """," "" Ne, musíš ji zpívat hlasitě, a při zpívání se postavit! "" prohlásila Hana."
"standing","stand","postavit","postavit","pf"," "" No, you have to sing it out, "" said Hana, "" you have to sing it standing up! """," "" Ne, musíš ji zpívat hlasitě, a při zpívání se postavit! "" prohlásila Hana."
"said","say","prohlásila","prohlásit","pf"," "" No, you have to sing it out, "" said Hana, "" you have to sing it standing up! """," "" Ne, musíš ji zpívat hlasitě, a při zpívání se postavit! "" prohlásila Hana."
"climbed","climb","vylezla","vylézt","pf"," She stood up, pulled her tennis shoes off and climbed onto the table."," Vstala, vyzula si tenisky a vylezla na stůl."
"burned","burn","pálil","pálit","impf"," He lit one small fire and burned the acacia twigs and waved smoke into all the corners of the cave."," Rozdělal malý ohníček, pálil akáciové větvičky a kouř odháněl všemi směry do koutů jeskyně."
"found","find","Zjistil","zjistit","pf"," He found he could not speak directly to her, so he spoke formally, his voice against the bounce of the cave walls."," Zjistil, že s ní nedokáže mluvit přímo, a tak promlouval strnule, jeho hlas se odrážel od stěn jeskyně."
"speak","speak","mluvit","mluvit","impf"," He found he could not speak directly to her, so he spoke formally, his voice against the bounce of the cave walls."," Zjistil, že s ní nedokáže mluvit přímo, a tak promlouval strnule, jeho hlas se odrážel od stěn jeskyně."
"spoke","speak","mluvit","mluvit","impf"," He found he could not speak directly to her, so he spoke formally, his voice against the bounce of the cave walls."," Zjistil, že s ní nedokáže mluvit přímo, a tak promlouval strnule, jeho hlas se odrážel od stěn jeskyně."
"going","go","Odejdu","odejít","pf"," I 'm going for help now, Katharine."," Odejdu pro pomoc, Katharine."
"understand","understand","Rozumíš","rozumět","impf"," Do you understand?"," Rozumíš?"
"standing","stand","měl","mít","impf"," He was standing at the foot of the bed, his arms hung over the rifle that rested across his shoulders."," Stál v nohách postele, ruce zavěšené na pušce, kterou měl položenou přes ramena."
"lies","lie","leží","ležet","impf"," The Villa San Girolamo, located where it is, also receives such moments of light-the dark halls, the room the Englishman lies in, the kitchen where Hana is laying a fire, the shelled chapel-all lit suddenly, without shadow."," I Ville San Girolamo se vzhledem k její poloze dostává takových jasných okamžiků - temné chodby, pokoj, kde leží anglický pacient, kuchyň, kde Hana rozdělává oheň, rozstřílená kaple - všechno je najednou ozářeno, bez stínu."
"laying","lay","leží","ležet","impf"," The Villa San Girolamo, located where it is, also receives such moments of light-the dark halls, the room the Englishman lies in, the kitchen where Hana is laying a fire, the shelled chapel-all lit suddenly, without shadow."," I Ville San Girolamo se vzhledem k její poloze dostává takových jasných okamžiků - temné chodby, pokoj, kde leží anglický pacient, kuchyň, kde Hana rozdělává oheň, rozstřílená kaple - všechno je najednou ozářeno, bez stínu."
