"try","try","snaží","snažit","impf"," All you do is try to help, and people would think you ’ d murdered someone or something. ’"," Jeden se vždycky snaží pomoct, a lidi si nakonec myslí, že jsme někoho zamordovali nebo co. """
"need","need","nepotřebuju","potřebovat","impf"," ‘ Think yourself lucky I don ’ t need a stopwatch, ’ said Anathema."," "" A to buďte rád, že nepotřebuju stopky, "" upozornila ho Anatéma."
"turned","turn","obracel","obracet","impf"," Newt turned this over in his mind."," Newt si to chvilku obracel v hlavě."
"told","tell","říkalo","říkat","impf"," Thus far in his life he ’ d never had the urge to drink alcohol, but something told him there had to be a first time."," Až dosud ve svém životě necítil potřebu konzumovat alkohol, ale něco mu říkalo, že vždycky musí být nějaké to poprvé."
"offend","offend","dotknout","dotknout","pf"," The other one, the swish southern bastard in the sunglasses, was - Shadwell suspected - not someone he ought to offend."," Ten druhý, elegantní bastard v černých brýlích, nebyl podle Shadwella člověkem, kterého by se mohl dotknout."
"tell","tell","říkám","říkat","impf"," ‘ It ’ s the right place, I tell you."," "" A já ti říkám, že jsme na správném místě."
"Come","come","Pojď","jít","impf"," Come on. ’"," Pojď. """
"liked","like","líbilo","líbit","impf"," She ’ d really liked the Chattering Order."," Jí se ve Štěbetajícím řádu opravdu líbilo."
"nodded","nod","přikývl","přikývnout","pf"," Sable nodded graciously, and took the book from her."," Temnis vznešeně přikývl a vzal od ní knihu."
"took","take","vzal","vzít","pf"," Sable nodded graciously, and took the book from her."," Temnis vznešeně přikývl a vzal od ní knihu."
"recognized","recognize","poznala","poznat","pf"," It was not surprising that she had recognized him, for his dark grey eyes stared out from his photo on the foil-embossed cover."," Na tom, že ho poznala, nebylo nic divného, protože jeho tmavošedé oči se na ni upíraly z fotografie zdobící laminovaný přebal knihy."
"seemed","seem","zdálo","zdát","impf"," Adam, who seemed to have a weight on his mind, took a deep breath."," Adam, kterého, jak se zdálo, něco tížilo, si zhluboka povzdechl."
"said","say","řekl","říci","pf"," ‘ You don ’ t have to be so lit ’ ral about everything, ’ he said."," "" No nemusíte všechno brát hned tak doslova, "" řekl nakonec."
"go","go","dělají","dělat","impf"," ’ S people like you who go round choppin ’ down rain forests and makin ’ holes in the ozone layer."," Jsou to akorát takoví lidi jako ty, co kácejí deštný pralesy a dělají díry do ozónový vrstvy."
"say","say","říci","říci","pf"," You can say a lot with a wink."," Mrknutím se dá říci mnoho."
"said","say","říci","říci","pf"," For example, the new nun ’ s wink said :"," Tak například mrknutí sestry, která vběhla do místnosti, mělo říci zhruba tohle :"
"make","make","provést","provést","pf"," Baby B has been born, we ’ re ready to make the switch, and here ’ s you in the wrong room with the Adversary, Destroyer of Kings, Angel of the Bottomless Pit, Great Beast that is called Dragon, Prince of This World, Father of Lies, Spawn of Satan, and Lord of Darkness, drinking tea."," Dítě B už se narodilo, my jsme připravené provést výměnu a vy jste tady, ve špatném pokoji, s Nepřítelem, Ničitelem králů, Andělem hlubin, Šelmou zvanou drak, Princem tohoto světa, Otcem lží, Výhonkem Satanovým a Pánem temnot a pijete si čaj!"
"said","say","odpověděl","odpovědět","pf"," ‘ But there ’ s a place for one, ’ he said, helplessly."," "" Ale místo tam na ni je, "" odpověděl rozpačitě."
"said","say","říkáte","říkat","impf"," ‘ Just down the hill, you said? ’ said Crowley, nudging the angel."," "" Takže tady pod kopcem, říkáte? "" ujišťoval se Crowley a loktem strkal do anděla."
"said","say","říkáte","říkat","impf"," ‘ Just down the hill, you said? ’ said Crowley, nudging the angel."," "" Takže tady pod kopcem, říkáte? "" ujišťoval se Crowley a loktem strkal do anděla."
"knocked","knock","uhodit","uhodit","pf"," ‘ I think perhaps I must have knocked my head, ’ said the girl."," "" Já se asi opravdu musela uhodit do hlavy, "" zkonstatovala spíš pro sebe dívka."
"sat","sit","seděli","sedět","impf"," They sat in embarrassed silence, watching the raindrops bruise the first flowers."," Chvíli seděli v rozpačitém tichu a dívali se, jak déšť omývá první květy."
"said","say","odpověděl","odpovědět","pf"," ‘ Er, ’ said the angel."," "" Nó ... "" odpověděl anděl."
"say","say","Řekla","říci","pf"," ‘ She did say he bringeth the storm, ’ said Anathema."," "" Řekla, že On s sebou přinese bouři, "" upozornila ho Anatéma."
"said","say","Řekla","říci","pf"," ‘ She did say he bringeth the storm, ’ said Anathema."," "" Řekla, že On s sebou přinese bouři, "" upozornila ho Anatéma."
"say","say","Neřekla","říci","pf"," Did she say what ’ s supposed to happen next? ’"," Neřekla, co se stane potom? """
"said","say","odpověděla","odpovědět","pf"," ‘ 2315 is cross-referenced to 3477, ’ said Anathema."," "" Ve 2315 je odvolávka na 3477, "" odpověděla Anatéma."
"remember","remember","pamatujete","pamatovat","impf"," ‘ You can remember details like that at a time like this? ’"," "" To si i v téhle situaci pamatujete tyhle detaily? """
"mention","mention","zmínil","zmínit","pf"," ‘ Since you mention it, yes, ’ she said."," "" No, když už jste se o tom zmínil, tak ano, "" přikývla."
"doing","do","Dělali","dělat","impf"," ‘ We were only doing our jobs, ’ muttered Crowley."," "" Dělali jsme jenom svou práci, "" zabručel Crowley."
"done","do","dělalo","dělat","impf"," Lots of people in history have only done their jobs and look at the trouble they caused. ’"," Bůhví kolik lidí v historii dělalo jenom svou práci a své povinnosti, a podívej se, co všechno měli na svědomí. """
"see","see","vidět","vidět","impf"," You didn ’ t have to see the bike to imagine the clouds of black smoke it travelled in, the oil slicks it left in its wake, the trail of small motorbike parts and fittings that littered the roads behind it."," Nemuseli jste ho ani vidět a dokázali jste si představit ta oblaka černého kouře, která motocykl halila, olejové skvrny, které se rozlévaly v jeho stopách, drobné součásti a zbytky nepotřebného vybavení, které lemovaly silnici, kudy projel."
"imagine","imagine","představit","představit","pf"," You didn ’ t have to see the bike to imagine the clouds of black smoke it travelled in, the oil slicks it left in its wake, the trail of small motorbike parts and fittings that littered the roads behind it."," Nemuseli jste ho ani vidět a dokázali jste si představit ta oblaka černého kouře, která motocykl halila, olejové skvrny, které se rozlévaly v jeho stopách, drobné součásti a zbytky nepotřebného vybavení, které lemovaly silnici, kudy projel."
"saying","say","říkáš","říkat","impf"," ‘ You ’ re saying the child isn ’ t evil of itself? ’ he said slowly."," "" Tak ty říkáš, že to dítě není zlé samo o sobě? "" řekl nakonec pomalu."
"said","say","říkáš","říkat","impf"," ‘ You ’ re saying the child isn ’ t evil of itself? ’ he said slowly."," "" Tak ty říkáš, že to dítě není zlé samo o sobě? "" řekl nakonec pomalu."
"saying","say","řekl","říci","pf"," ‘ You ’ re saying the child isn ’ t evil of itself? ’ he said slowly."," "" Tak ty říkáš, že to dítě není zlé samo o sobě? "" řekl nakonec pomalu."
"said","say","řekl","říci","pf"," ‘ You ’ re saying the child isn ’ t evil of itself? ’ he said slowly."," "" Tak ty říkáš, že to dítě není zlé samo o sobě? "" řekl nakonec pomalu."
"waiting","wait","čeká","čekat","impf"," Just this huge powerful potentiality, waiting to be shaped, ’ said Crowley."," Je to právě ta obrovská potencialita, která čeká, až ji někdo určí a vytvaruje, "" řekl Crowley."
"said","say","řekl","říci","pf"," Just this huge powerful potentiality, waiting to be shaped, ’ said Crowley."," Je to právě ta obrovská potencialita, která čeká, až ji někdo určí a vytvaruje, "" řekl Crowley."
"talking","talk","mluvíme","mluvit","impf"," ‘ Anyway, why ’ re we ’ re talking about this good and evil?"," "" Ale řekni mi, proč vlastně mluvíme o dobru a zlu?"
"surprised","surprise","překvapena","překvapit","pf"," She ’ d been surprised at her natural affinity for modern weapons systems, which were so much more efficient than bits of sharp metal, and of course Pollution laughed at absolutely foolproof, fail-safe devices."," Byla překvapena tím, jak ji přitahovaly moderní zbrojní systémy, které byly o tolik účinnější než kusy ostrého nebo špičatého železa, a zajímavé bylo pozorovat Znečištění, který se usmíval v přítomnosti dokonale neomylných a nikdy neselhávajících zařízení."
"do","do","neudělal","udělat","pf"," Whereas ... well, he didn ’ t do anything much except hang around, although he did it with a certain style."," Pravda byla, že ani Hlad neudělal nic moc, kromě toho, že postával nablízku, i když to dělal s jistým stylem."
"did","do","neudělal","udělat","pf"," Whereas ... well, he didn ’ t do anything much except hang around, although he did it with a certain style."," Pravda byla, že ani Hlad neudělal nic moc, kromě toho, že postával nablízku, i když to dělal s jistým stylem."
"do","do","dělal","dělat","impf"," Whereas ... well, he didn ’ t do anything much except hang around, although he did it with a certain style."," Pravda byla, že ani Hlad neudělal nic moc, kromě toho, že postával nablízku, i když to dělal s jistým stylem."
"did","do","dělal","dělat","impf"," Whereas ... well, he didn ’ t do anything much except hang around, although he did it with a certain style."," Pravda byla, že ani Hlad neudělal nic moc, kromě toho, že postával nablízku, i když to dělal s jistým stylem."
"said","say","odpověděl","odpovědět","pf"," ‘ Quite possibly, said Aziraphale."," "" To je docela možné, "" odpověděl jí Azirafal."
"gripping","grip","svíral","svírat","impf"," ‘ Three, ’ muttered Shadwell, gripping the seat with one white-knuckled hand, and his Thundergun with the other."," "" Pro tři, "" zabručel Shadwell, který jednou rukou křečovitě svíral sedadlo a v druhé hromoduňu"
"adjust","adjust","upravit","upravit","pf"," ‘ Ye ’ ll have ter stop, then, so as I can adjust me weapon, ’ sighed Shadwell."," "" V tom případě budeme muset na chvíli zastavit, abych si mohl upravit svou zbraň. """
"stared","stare","zíral","zírat","impf"," Ligur stared at the retreating tail-lights."," Ligur zíral za mizejícími koncovými světly auta."
"trust","trust","věříš","věřit","impf"," ‘ You trust him? ’ he said."," "" Ty mu věříš? "" dodal."
"trusting","trust","věřili","věřit","impf"," It ’ d be a funny old world, he reflected, if demons went round trusting one another."," Co by to bylo za směšný svět, kdyby si démoni mezi sebou věřili."
