"broke","break","zlomil","zlomit","pf"," The boy in the house threw a stone at me and broke it. """," Chlapec z domu hodil po mně kamenem a zlomil mi je! """
"warmed","warm","zahřál","zahřát","pf"," Limmershin, the Winter Wren, told me the tale when he was blown on to the rigging of a steamer going to Japan, and I took him down into my cabin and warmed and fed him for a couple of days till he was fit to fly back to St. Paul 's again."," Limmeršin, střízlík lední, vyprávěl mi tento příběh, když byl zavát do lanoví parníku, jedoucího do Japonska, a když jsem jej vzal dolů do své kajuty a zahřál a nakrmil jej po několik dní, až byl opět schopen odletěti zpět k Sv. Pavlu."
"said","say","řekl","říci","pf"," "" Now, "" said Kotick, "" I am going back to Novastoshnah, and if I am driven to the killing-pens with the holluschickie I shall not care. """," "" A teď, "" řekl Kotík, "" teď jdu zpět k Novastošně a poženou - li mne s holušíky k porážkové ohradě, bude mi to jedno. """
"going","go","jdu","jít","impf"," "" Now, "" said Kotick, "" I am going back to Novastoshnah, and if I am driven to the killing-pens with the holluschickie I shall not care. """," "" A teď, "" řekl Kotík, "" teď jdu zpět k Novastošně a poženou - li mne s holušíky k porážkové ohradě, bude mi to jedno. """
"driven","drive","jdu","jít","impf"," "" Now, "" said Kotick, "" I am going back to Novastoshnah, and if I am driven to the killing-pens with the holluschickie I shall not care. """," "" A teď, "" řekl Kotík, "" teď jdu zpět k Novastošně a poženou - li mne s holušíky k porážkové ohradě, bude mi to jedno. """
"said","say","řekl","říci","pf"," The old seal said :"," Starý tuleň řekl :"
"say","say","řekl","říci","pf"," "" Oh, if you 're trying to back out, of course I 've no more to say, "" said the young seal, with an ugly chuckle."," "" Ó, chceš - li před bojem couvat, pak nemám ovšem, co bych ještě řekl, "" pravil mladý lachtan se zlomyslným úsměškem."
"said","say","řekl","říci","pf"," "" Oh, if you 're trying to back out, of course I 've no more to say, "" said the young seal, with an ugly chuckle."," "" Ó, chceš - li před bojem couvat, pak nemám ovšem, co bych ještě řekl, "" pravil mladý lachtan se zlomyslným úsměškem."
"say","say","pravil","pravit","pf"," "" Oh, if you 're trying to back out, of course I 've no more to say, "" said the young seal, with an ugly chuckle."," "" Ó, chceš - li před bojem couvat, pak nemám ovšem, co bych ještě řekl, "" pravil mladý lachtan se zlomyslným úsměškem."
"said","say","pravil","pravit","pf"," "" Oh, if you 're trying to back out, of course I 've no more to say, "" said the young seal, with an ugly chuckle."," "" Ó, chceš - li před bojem couvat, pak nemám ovšem, co bych ještě řekl, "" pravil mladý lachtan se zlomyslným úsměškem."
"said","say","pravil","pravit","pf"," "" Very good, "" said the young seal, carelessly."," "" Dobře, "" pravil mladý lachtan nedbale."
"win","win","Vyhraješ","vyhrát","pf"," "" If you win, I 'll come. """," "" Vyhraješ - li, půjdu. """
"come","come","půjdu","jít","impf"," "" If you win, I 'll come. """," "" Vyhraješ - li, půjdu. """
"suppose","suppose","myslím","myslet","impf"," "" That 's another way of fighting, I suppose? "" said Billy, who was recovering his spirits."," "" To je, myslím, další nějaký způsob boje, ne? "" ptal se Billy, jenž pomalu přicházel opět do své míry."
"means","mean","znamená","znamenat","impf"," It means betwixt and between, and that is just where I am."," To znamená uprostřed a mezi věcmi, a to jest právě tam, kde jsem já."
"see","see","viděti","vidět","impf"," I can see inside my head what will happen when a shell bursts;"," Mohu viděti uvnitř své hlavy, co se stane, když praskne granát;"
"try","try","zkouším","zkoušet","impf"," I try not to think about it. """," A zkouším nemysleti na to. """
"think","think","nemysleti","myslet","impf"," I try not to think about it. """," A zkouším nemysleti na to. """
"seen","see","viděla","vidět","impf"," Pudmini, - thou hast seen him at the dance, and thou too, Kala Nag, my pearl among elephants! - ahaa!"," Pudmini - ty jsi jej viděla při tanci, a ty rovněž, moje perlo mezi slony! - ahá!"
"touched","touch","dotkly","dotknout","pf"," And at that last wild yell the whole line flung up their trunks till the tips touched their foreheads, and broke out into the full salute - the crashing trumpet-peal that only the Viceroy of India hears, the Salaamut of the Keddah."," Při posledním divokém výkřiku mávla celá řada svými choboty do výše, až se konečky dotkly čel a vypukla v plný pozdrav - v třeskný troubivý pozdrav, jejž slýchá toliko místokrál Indie - v Salaamut Keddy."
"told","tell","vyprávěla","vyprávět","impf"," I whistled, and Vixen ran up to me, muddy all over, and licked my nose, and told me a long tale about hunting for me all through the camp."," Hvízdl jsem a Vixen přiběhla ke mně, všecka zablácená, a lízala mi nos a vyprávěla mi dlouhou povídku, jak se za mnou honila po celém táboře."
"understood","understand","rozumím","rozumět","impf"," I never let her know that I understood beast talk, or she would have taken all sorts of liberties."," Neukázal jsem jí nikdy, že rozumím řeči zvířat, neboť by si byla dovolila všelijaké volnosti."
"let","let","dovolila","dovolit","pf"," I never let her know that I understood beast talk, or she would have taken all sorts of liberties."," Neukázal jsem jí nikdy, že rozumím řeči zvířat, neboť by si byla dovolila všelijaké volnosti."
"headed","head","Mířily","mířit","impf"," They headed for a cliff by the shore, a cliff that ran down into deep water, and plunged into a dark hole at the foot of it, twenty fathoms under the sea."," Mířily k pobřežnímu útesu, příkře spadajícímu v hlubinu a pohroužily se v temnou sluji na úpatí jeho, na dvacet sáhů pod mořem."
"led","lead","vedly","vést","impf"," It was a long, long swim, and Kotick badly wanted fresh air before he was out of the dark tunnel they led him through."," Byla to dlouhá, dlouhá plavba, a Kotík se již začal dusit nedostatkem svěžího vzduchu, až konečně vypluly z temného tunelu, jímž jej vedly."
"seen","see","viděl","vidět","impf"," Aihai! my lords in the chains, "" - he whirled up the line of pickets, - "" here is the little one that has seen your dances in your hidden places - the sight that never man saw."," Aihai! moji pánové v řetězech, "" - obrátil se k řadě slonů u kolů - "" zde je maličký, jenž viděl vaše tance na vašich skrytých místech - pohled, jejž nikdy člověk neviděl!"
"saw","see","viděl","vidět","impf"," Aihai! my lords in the chains, "" - he whirled up the line of pickets, - "" here is the little one that has seen your dances in your hidden places - the sight that never man saw."," Aihai! moji pánové v řetězech, "" - obrátil se k řadě slonů u kolů - "" zde je maličký, jenž viděl vaše tance na vašich skrytých místech - pohled, jejž nikdy člověk neviděl!"
"seen","see","neviděl","vidět","impf"," Aihai! my lords in the chains, "" - he whirled up the line of pickets, - "" here is the little one that has seen your dances in your hidden places - the sight that never man saw."," Aihai! moji pánové v řetězech, "" - obrátil se k řadě slonů u kolů - "" zde je maličký, jenž viděl vaše tance na vašich skrytých místech - pohled, jejž nikdy člověk neviděl!"
"saw","see","neviděl","vidět","impf"," Aihai! my lords in the chains, "" - he whirled up the line of pickets, - "" here is the little one that has seen your dances in your hidden places - the sight that never man saw."," Aihai! moji pánové v řetězech, "" - obrátil se k řadě slonů u kolů - "" zde je maličký, jenž viděl vaše tance na vašich skrytých místech - pohled, jejž nikdy člověk neviděl!"
"chased","chase","nepronásledoval","pronásledovat","impf"," Yet Sea Catch never chased a beaten seal, for that was against the Rules of the Beach."," Leč Mořský Lupič nikdy nepronásledoval přemoženého lachtana, neboť to bylo proti pravidlům Pobřeží."
"said","say","pravil","pravit","pf"," "" There are more things to find out about in this house, "" he said to himself, "" than all my family could find out in all their lives."," "" Zde v domě a kolem domu, "" pravil k sobě, "" je více věcí, jež možno vyzvědět, než viděla celá moje rodina za celý svůj život."
"stay","stay","Zůstanu","zůstat","pf"," I shall certainly stay and find out. """," Zůstanu zde najisto a vyzvím všechno. """
"spent","spend","Ztrávil","strávit","pf"," He spent all that day roaming over the house."," Ztrávil celý den čenichaje a slídě."
"began","begin","začali","začít","pf"," When they began feeding again Kotick saw that their upper lip was split into two pieces, that they could twitch apart about a foot and bring together again with a whole bushel of seaweed between the splits."," Když se začali znovu pást, viděl Kotík, že mají hoření ret rozštěpený na dvé, tak že ho mohou na stopu rozevříti a zase sevříti, držíce mezi oběma laloky celé otepi mořské trávy."
"saw","see","viděl","vidět","impf"," When they began feeding again Kotick saw that their upper lip was split into two pieces, that they could twitch apart about a foot and bring together again with a whole bushel of seaweed between the splits."," Když se začali znovu pást, viděl Kotík, že mají hoření ret rozštěpený na dvé, tak že ho mohou na stopu rozevříti a zase sevříti, držíce mezi oběma laloky celé otepi mořské trávy."
"said","say","pravil","pravit","pf"," "" Messy style of feeding that, "" said Kotick."," "" Jaké to ohavné krmení, "" pravil Kotík."
"said","say","řekl","říci","pf"," "" Very good, "" he said."," "" Dobrá, "" řekl."
"said","say","pravil","pravit","pf"," "" All mongooses are like that, "" said her husband."," "" Všichni mungové jsou takoví, "" pravil její manžel."
"pick","pick","tahat","tahat","impf"," "" If Teddy does n't pick him up by the tail, or try to put him in a cage, he 'll run in and out of the house all day long."," "" Nebude - li ho Teddy tahat za ocas, nebo nezkusí - li ho zavírat do klece, bude běhat celý den po domě."
"try","try","nezkusí","zkusit","pf"," "" If Teddy does n't pick him up by the tail, or try to put him in a cage, he 'll run in and out of the house all day long."," "" Nebude - li ho Teddy tahat za ocas, nebo nezkusí - li ho zavírat do klece, bude běhat celý den po domě."
"run","run","běhat","běhat","impf"," "" If Teddy does n't pick him up by the tail, or try to put him in a cage, he 'll run in and out of the house all day long."," "" Nebude - li ho Teddy tahat za ocas, nebo nezkusí - li ho zavírat do klece, bude běhat celý den po domě."
