"give","give","dáš","dát","pf"," "" And you 're ready to give it to us? "" urged Loonquawl."," "" A ty nám ji dáš? "" loudil Lúnkvól."
"Listen","listen","Poslouchej","poslouchat","impf"," "" Listen, it might be important. """," "" Poslouchej, mohlo by to být důležité. """
"mean","mean","Chceš","chtít","impf"," "" You mean that 's how the Vogons talk? """," "" Chceš říct, že takhle mluví Vogoni? """
"Listen","listen","Poslouchej","poslouchat","impf"," "" Listen! """," "" Poslouchej! """
"need","need","Nemusíš","muset","impf"," "" You do n't need to."," "" Nemusíš nic umět."
"said","say","řekl","říci","pf"," "" It 's probably just your house being knocked down, "" said Ford, drowning his last pint."," "" To asi jenom boří tvůj dům, "" řekl Ford a podíval se na dno poslednímu pivu."
"broken","break","prolomeno","prolomit","pf"," Suddenly Ford 's spell was broken."," Fordovo kouzlo bylo náhle prolomeno."
"doing","do","dělám","dělat","impf"," What the hell am I doing in the pub, Ford? """," Co dělám sakra v hospodě, Forde? """
"coalesced","coalesce","sloučilo","sloučit","pf"," The highest prime number coalesced quietly in a corner and hid itself away for ever."," Nejvyšší prvočíslo se v koutku tiše sloučilo a skrylo se navždy."
"hid","hide","skrylo","skrýt","pf"," The highest prime number coalesced quietly in a corner and hid itself away for ever."," Nejvyšší prvočíslo se v koutku tiše sloučilo a skrylo se navždy."
"come","come","jdi","jít","impf"," "" Oh come off it, "" said Arthur, "" the chances against it were astronomical. """," "" Ale jdi, "" nedal se Arthur, "" šance proti byly přece astronomické. """
"Do","do","fungovalo","fungovat","impf"," "" Do n't knock it, it worked, "" said Ford."," "" Nech bejt, viděls přece, že to fungovalo. """
"worked","work","fungovalo","fungovat","impf"," "" Do n't knock it, it worked, "" said Ford."," "" Nech bejt, viděls přece, že to fungovalo. """
"believe","believe","nevěřili","věřit","impf"," You just wo n't believe how vastly hugely mindboggingly big it is."," To byste nevěřili, jak je hrozivě obrovitánsky velký, že z toho zůstává rozum stát."
"mean","mean","Myslíte","myslet","impf"," I mean you may think it 's a long way down the road to the chemist, but that 's just peanuts to space."," Myslíte si třeba, že drogerie ve vaší ulici je daleko, ale proti vesmíru je to úplný houby."
"think","think","Myslíte","myslet","impf"," I mean you may think it 's a long way down the road to the chemist, but that 's just peanuts to space."," Myslíte si třeba, že drogerie ve vaší ulici je daleko, ale proti vesmíru je to úplný houby."
"Listen","listen","poslouchejte","poslouchat","impf"," Listen ... "" and so on."," Tak poslouchejte ..., "" atakdále."
"opened","open","začali","začít","pf"," Suddenly the air exploded with energy bolts as both the cops opened fire on them simultaneously."," Vzduch náhle vzplál elektrickými výboji - oba policajti zároveň začali pálit."
"said","say","říkali","říkat","impf"," "" Yeah, I thought they said that, "" agreed Ford."," "" Jo, říkali přece, že střílet nechtějí, "" souhlasil Ford."
"agreed","agree","souhlasil","souhlasit","impf"," "" Yeah, I thought they said that, "" agreed Ford."," "" Jo, říkali přece, že střílet nechtějí, "" souhlasil Ford."
"said","say","říkali","říkat","impf"," "" Hey, "" he said, "" I thought you said you did n't want to shoot us! "" and ducked again."," "" Hej, říkali jste přece, že nás nechcete odprásknout. """
"said","say","říkali","říkat","impf"," "" Hey, "" he said, "" I thought you said you did n't want to shoot us! "" and ducked again."," "" Hej, říkali jste přece, že nás nechcete odprásknout. """
"want","want","nechcete","chtít","impf"," "" Hey, "" he said, "" I thought you said you did n't want to shoot us! "" and ducked again."," "" Hej, říkali jste přece, že nás nechcete odprásknout. """
"muttered","mutter","zamumlal","zamumlat","pf"," "" Just let me stick to what I 'm good at, yeah? "" muttered Zaphod and rolled away from the voice back to sleep."," "" Radši se budu věnovat tomu, co mi jakž takž jde, "" zamumlal Zafod a unikal hlasu zpět do spánku."
"Stop","stop","Přestaň","přestat","pf"," Stop bugging me. """," Přestaň mě buzerovat. """
"do","do","dělat","dělat","impf"," "" The only thing we can do now, "" said Benji, crouching and stroking his whiskers in thought, "" is to try and fake a question, invent one that will sound plausible. """," "" Jediný, co teď můžeme dělat, "" promluvil konečně Béda, zamyšleně si hladící vousy, "" je pokusit se vymyslet nějakou otázku, která by zněla přijatelně, a vydávat ji za Základní. """
"try","try","pokusit","pokusit","pf"," "" The only thing we can do now, "" said Benji, crouching and stroking his whiskers in thought, "" is to try and fake a question, invent one that will sound plausible. """," "" Jediný, co teď můžeme dělat, "" promluvil konečně Béda, zamyšleně si hladící vousy, "" je pokusit se vymyslet nějakou otázku, která by zněla přijatelně, a vydávat ji za Základní. """
"invent","invent","vymyslet","vymyslet","pf"," "" The only thing we can do now, "" said Benji, crouching and stroking his whiskers in thought, "" is to try and fake a question, invent one that will sound plausible. """," "" Jediný, co teď můžeme dělat, "" promluvil konečně Béda, zamyšleně si hladící vousy, "" je pokusit se vymyslet nějakou otázku, která by zněla přijatelně, a vydávat ji za Základní. """
"sound","sound","zněla","znít","impf"," "" The only thing we can do now, "" said Benji, crouching and stroking his whiskers in thought, "" is to try and fake a question, invent one that will sound plausible. """," "" Jediný, co teď můžeme dělat, "" promluvil konečně Béda, zamyšleně si hladící vousy, "" je pokusit se vymyslet nějakou otázku, která by zněla přijatelně, a vydávat ji za Základní. """
"considered","consider","uvažoval","uvažovat","impf"," Benji considered this for a moment."," Béda chvíli uvažoval, pak zavrtěl hlavou."
"stared","stare","Zíral","zírat","impf"," He stared at the robot and tried to entangle some dartoid muscles."," Zíral na robota a pokoušel se uvolnit mimické svalstvo."
"tried","try","pokoušel","pokoušet","impf"," He stared at the robot and tried to entangle some dartoid muscles."," Zíral na robota a pokoušel se uvolnit mimické svalstvo."
"said","say","řekl","říci","pf"," "" Zaphod Beeblebrox?.. "" he said weakly."," "" Zafod Bíblbrox ...? "" řekl chabým hlasem."
"say","say","řekl","říci","pf"," "" Sorry, did I say something wrong? """," "" Pardon, řekl jsem něco špatně? """
"Pardon","pardon","Promiňte","prominout","pf"," "" Pardon me for breathing, which I never do anyway so I do n't know why I bother to say it, oh God I 'm so depressed."," "" Promiňte, že dýchám, ale to já stejně nedělám, tak nevím, proč se vlastně namáhám to říkat, ach bóže, já jsem tak depresívní!"
"do","do","nedělám","dělat","impf"," "" Pardon me for breathing, which I never do anyway so I do n't know why I bother to say it, oh God I 'm so depressed."," "" Promiňte, že dýchám, ale to já stejně nedělám, tak nevím, proč se vlastně namáhám to říkat, ach bóže, já jsem tak depresívní!"
"do","do","nedělám","dělat","impf"," "" Pardon me for breathing, which I never do anyway so I do n't know why I bother to say it, oh God I 'm so depressed."," "" Promiňte, že dýchám, ale to já stejně nedělám, tak nevím, proč se vlastně namáhám to říkat, ach bóže, já jsem tak depresívní!"
"say","say","říkat","říkat","impf"," "" Pardon me for breathing, which I never do anyway so I do n't know why I bother to say it, oh God I 'm so depressed."," "" Promiňte, že dýchám, ale to já stejně nedělám, tak nevím, proč se vlastně namáhám to říkat, ach bóže, já jsem tak depresívní!"
"shouted","shout","řvát","řvát","impf"," "" We shouted and yelled till somebody came and then carried on shouting and yelling till they got fed up and put us in their planet catalogue to keep us busy till they were ready to deal with us."," "" Začali jsme řvát a hulákat, až někdo přišel, tak jsme řvali a hulákali dál, až je to nakonec přestalo bavit a zavřeli nás do katalogu planet, abychom se zabavili než budou mít čas se s námi vypořádat."
"yelled","yell","řvát","řvát","impf"," "" We shouted and yelled till somebody came and then carried on shouting and yelling till they got fed up and put us in their planet catalogue to keep us busy till they were ready to deal with us."," "" Začali jsme řvát a hulákat, až někdo přišel, tak jsme řvali a hulákali dál, až je to nakonec přestalo bavit a zavřeli nás do katalogu planet, abychom se zabavili než budou mít čas se s námi vypořádat."
"shouting","shout","řvát","řvát","impf"," "" We shouted and yelled till somebody came and then carried on shouting and yelling till they got fed up and put us in their planet catalogue to keep us busy till they were ready to deal with us."," "" Začali jsme řvát a hulákat, až někdo přišel, tak jsme řvali a hulákali dál, až je to nakonec přestalo bavit a zavřeli nás do katalogu planet, abychom se zabavili než budou mít čas se s námi vypořádat."
"yelling","yell","řvát","řvát","impf"," "" We shouted and yelled till somebody came and then carried on shouting and yelling till they got fed up and put us in their planet catalogue to keep us busy till they were ready to deal with us."," "" Začali jsme řvát a hulákat, až někdo přišel, tak jsme řvali a hulákali dál, až je to nakonec přestalo bavit a zavřeli nás do katalogu planet, abychom se zabavili než budou mít čas se s námi vypořádat."
"came","come","přišel","přijít","pf"," "" We shouted and yelled till somebody came and then carried on shouting and yelling till they got fed up and put us in their planet catalogue to keep us busy till they were ready to deal with us."," "" Začali jsme řvát a hulákat, až někdo přišel, tak jsme řvali a hulákali dál, až je to nakonec přestalo bavit a zavřeli nás do katalogu planet, abychom se zabavili než budou mít čas se s námi vypořádat."
