"say","say","říkáš","říkat","impf"," “ Why do you say that? ”"," "" Proč to říkáš? """
"put","put","Položil","položit","pf"," When he put his hand on his heart he could feel it beating wildly under his palm."," Položil na ně ruku, tepalo mu ustrašeně pod dlaní."
"locked","lock","zavřeno","zavřít","pf"," It was locked, the key was in the lock, and the handle went up and down, up and down, but would not open."," Bylo zavřeno, klíč trčel v zámku, klika se zvolna pohybovala nahoru a dolů, a zase nahoru a dolů, ale nepovolila."
"steady","steady","uklidnil","uklidnit","pf"," He took out another cigarette, to steady his nerves, and felt pleased with himself."," Vytáhl z kapsy další cigaretu, aby se uklidnil, nespokojen sám se sebou."
"put","put","Položil","položit","pf"," He put it between his lips with an air of easy ceremony and felt for his matches."," Položil ji s obřadnou ležérností mezi rty a hmátl po sirkách."
"thought","think","měla","mít","impf"," The brusque movement was meant to convey to her that he didn ’ t care two pins what she thought."," Ráznost pohybu ji měla poučit, že mu na ní nezáleží, ani co by se za nehet vešlo."
"laughed","laugh","nezasmál","zasmát","pf"," Nobody laughed, and in the pauses between his remarks there was dead silence; you could hear Joey the apprentice sniffing with a cold in the head."," Nikdo se nezasmál, v mezerách mezi jeho větami bylo hluché ticho, v němž bylo slyšet, jak učedník Pepek, který vytahoval nitě z nedošité soukenné vesty, popotahuje nastydlým nosem."
"hear","hear","slyšet","slyšet","impf"," Nobody laughed, and in the pauses between his remarks there was dead silence; you could hear Joey the apprentice sniffing with a cold in the head."," Nikdo se nezasmál, v mezerách mezi jeho větami bylo hluché ticho, v němž bylo slyšet, jak učedník Pepek, který vytahoval nitě z nedošité soukenné vesty, popotahuje nastydlým nosem."
"tried","try","pokouší","pokoušet","impf"," A bluebottle drowsy with the heat buzzed as it tried to find a way a through the window - pane."," Masařka opilá dusnem se cvrnkavě pokouší prorazit okenní tabulku."
"keep","keep","měl","mít","impf"," But he was glad she was just what she was, lively and fidgety, sparkling with surprising ideas, full of inquisitive curiosity, airy fantasy, and sudden changes of mood and feeling. Her thoughts followed one another so fast he couldn ’ t keep pace with them."," Ale měl radost, že je právě taková, jaká byla, živá a neposedná, sršící překvapivými nápady, plná všetečné zvědavosti, větrné fantasie a náhlých zvratů nálad a citu, myšlenka stíhala myšlenku, sledovat ji nestačil."
"followed","follow","stíhala","stíhat","impf"," But he was glad she was just what she was, lively and fidgety, sparkling with surprising ideas, full of inquisitive curiosity, airy fantasy, and sudden changes of mood and feeling. Her thoughts followed one another so fast he couldn ’ t keep pace with them."," Ale měl radost, že je právě taková, jaká byla, živá a neposedná, sršící překvapivými nápady, plná všetečné zvědavosti, větrné fantasie a náhlých zvratů nálad a citu, myšlenka stíhala myšlenku, sledovat ji nestačil."
"followed","follow","sledovat","sledovat","impf"," But he was glad she was just what she was, lively and fidgety, sparkling with surprising ideas, full of inquisitive curiosity, airy fantasy, and sudden changes of mood and feeling. Her thoughts followed one another so fast he couldn ’ t keep pace with them."," Ale měl radost, že je právě taková, jaká byla, živá a neposedná, sršící překvapivými nápady, plná všetečné zvědavosti, větrné fantasie a náhlých zvratů nálad a citu, myšlenka stíhala myšlenku, sledovat ji nestačil."
"mean","mean","myslíš","myslet","impf"," “ What d ’ you mean?"," "" Jak to myslíš?"
"stuffed","stuff","Strčil","strčit","pf"," He stuffed the packet back into his pocket and his mouth twitched with a smile."," Strčil krabičku zpět do kapsy a ústy mu cukl úsměv."
"like","like","chceš","chtít","impf"," Would you like to see my frock?"," Ukáži ti svoje šaty, chceš?"
"understood","understand","Pochopila","pochopit","pf"," She understood : they ’ d been giving him a good talking-to at home and this poor shaken creature was the boy who wanted to make a name for himself in the world?"," Pochopila : promluvili mu doma do duše a on, chudáček utřesená, ten by chtěl jít do světa?"
"make","make","Pochopila","pochopit","pf"," She understood : they ’ d been giving him a good talking-to at home and this poor shaken creature was the boy who wanted to make a name for himself in the world?"," Pochopila : promluvili mu doma do duše a on, chudáček utřesená, ten by chtěl jít do světa?"
"wanted","want","chtěl","chtít","impf"," She understood : they ’ d been giving him a good talking-to at home and this poor shaken creature was the boy who wanted to make a name for himself in the world?"," Pochopila : promluvili mu doma do duše a on, chudáček utřesená, ten by chtěl jít do světa?"
"want","want","nechci","chtít","impf"," “ Because I don ’ t want to go either, ” he snapped."," "" Protože také nechci, "" odsekl."
"breathing","breathe","dýchali","dýchat","impf"," There was not a gleam of light in the walls of the houses standing round the park like the walls of a fortress. The windows were covered with black-out blinds and behind them there were people breathing."," Ani stěny činžáků, které obkličovaly park jako vysoké hradby, se netřpytily světly oken, spuštěny byly zatemňovací papíry a za nimi dýchali lidé."
"apologising","apologise","omlouvat","omlouvat","impf"," We can ’ t keep on apologising to each other, can we? ”"," Nebudeme se pořád jen omlouvat, že? """
"nodded","nod","přikývl","přikývnout","pf"," He nodded contentedly, wondering what to talk about next."," Spokojeně přikývl, přemýšleje, o čem dál mluvit."
"wondering","wonder","přemýšleje","přemýšlet","impf"," He nodded contentedly, wondering what to talk about next."," Spokojeně přikývl, přemýšleje, o čem dál mluvit."
"talk","talk","mluvit","mluvit","impf"," He nodded contentedly, wondering what to talk about next."," Spokojeně přikývl, přemýšleje, o čem dál mluvit."
"say","say","říci","říci","pf"," He knew he could no longer just get up and say “ Goodnight ” and walk away."," A věděl, že teď už nemůže jen tak prostě vstát, říci "" dobrou noc "" a odejít."
"pointed","point","Ukázal","ukázat","pf"," He pointed to the case."," Ukázal prstem na její kufřík."
"Moving","move","Pohybujíc","pohybovat","impf"," Moving her lips voicelessly she thought of her mother and father, and of him; the noise which seemed about to crack the old walls shook everything out of her."," Pohybujíc naprázdno rty, myslela na tátu a mámu, na něho, hřmot, při němž se div nerozpukly staré zdi, z ní vytřásl všechno."
"thought","think","myslela","myslet","impf"," Moving her lips voicelessly she thought of her mother and father, and of him; the noise which seemed about to crack the old walls shook everything out of her."," Pohybujíc naprázdno rty, myslela na tátu a mámu, na něho, hřmot, při němž se div nerozpukly staré zdi, z ní vytřásl všechno."
"sat","sit","Seděla","sedět","impf"," She sat there in the darkness, although the blackout was down, and stared with wide eyes at the window which showed a shade lighter than the ebony darkness of the room."," Seděla tak potmě, i když zatemnění bylo vytaženo, civěla otevřenýma očima do okna o poznání světlejšího než ebenová tma pokoje."
"wants","want","chce","chtít","impf"," A fellow ’ s only eighteen once in a lifetime, he wants something dreadfully and doesn ’ t know what, it ’ s just a great big longing and thirst in his body, a festering desire not articulate but so strong it hurts."," Člověku je jednou osmnáct, strašně cosi chce, aniž rozezná co, je to jen jakési veliké chtění a žízeň v těle, jitřivá touha ne dosti zřetelná, ale silná, až bolí."
"festering","fester","bolí","bolet","impf"," A fellow ’ s only eighteen once in a lifetime, he wants something dreadfully and doesn ’ t know what, it ’ s just a great big longing and thirst in his body, a festering desire not articulate but so strong it hurts."," Člověku je jednou osmnáct, strašně cosi chce, aniž rozezná co, je to jen jakési veliké chtění a žízeň v těle, jitřivá touha ne dosti zřetelná, ale silná, až bolí."
"hurts","hurt","bolí","bolet","impf"," A fellow ’ s only eighteen once in a lifetime, he wants something dreadfully and doesn ’ t know what, it ’ s just a great big longing and thirst in his body, a festering desire not articulate but so strong it hurts."," Člověku je jednou osmnáct, strašně cosi chce, aniž rozezná co, je to jen jakési veliké chtění a žízeň v těle, jitřivá touha ne dosti zřetelná, ale silná, až bolí."
"done","do","dělat","dělat","impf"," The Protectorate was a ruddy nuisance, school was a ruddy nuisance, what could be done about it?"," Protektorát je otrava, škola je otrava, co dělat?"
"surrounded","surround","obklíčen","obklíčit","pf"," He lived at the intersection of two glances, constantly surrounded by unspoken curiosity, and he kept away from it as best he could."," Žil v průsečíku dvojího pohledu, obklíčen němým zájmem, a utíkal, jak mohl."
"make","make","Ušiju","ušít","pf"," I ’ ll make it or I ’ ll not make it."," Ušiju, neušiju!"
"make","make","Ušiju","ušít","pf"," I ’ ll make it or I ’ ll not make it."," Ušiju, neušiju!"
"make","make","neušiju","ušít","pf"," I ’ ll make it or I ’ ll not make it."," Ušiju, neušiju!"
"make","make","neušiju","ušít","pf"," I ’ ll make it or I ’ ll not make it."," Ušiju, neušiju!"
"brings","bring","přinese","přinést","pf"," When he brings you a piece of human skin I suppose you ’ ll make him a jacket with two buttons."," Až ti přinese vydělanou lidskou kůži, ušij mu sako na dva knoflíčky."
"make","make","ušij","ušít","pf"," When he brings you a piece of human skin I suppose you ’ ll make him a jacket with two buttons."," Až ti přinese vydělanou lidskou kůži, ušij mu sako na dva knoflíčky."
