"thought","think","myslel","myslet","impf"," "" I thought I saw children. """," "" A já si myslel, že vidím děti. """
"do","do","udělat","udělat","pf"," "" Thank you, "" she said although Enid had posed the question because she was momentarily confused, not because she wanted to do Sylvia a favor."," "" Děkuju ti, "" vydechla, přestože Enid otázku položila, jelikož byla v tu chvíli trochu zmatená, a ne proto, že by chtěla Sylvii udělat radost."
"Thank","thank","Děkuju","děkovat","impf"," "" Thank you for being honest enough to ask me that."," "" Děkuju ti, že jsi ke mně tak upřímná a zeptala ses mě na to."
"suffered","suffer","Trpí","trpět","impf"," "" They suffered on the cross of obscurity so that others might enjoy eternal fame, "" Schwartz said."," "" Trpí na kříži zapomnění, aby se jiní mohli těšit z věčné slávy, "" prohlásil Schwartz."
"enjoy","enjoy","těšit","těšit","impf"," "" They suffered on the cross of obscurity so that others might enjoy eternal fame, "" Schwartz said."," "" Trpí na kříži zapomnění, aby se jiní mohli těšit z věčné slávy, "" prohlásil Schwartz."
"said","say","prohlásil","prohlásit","pf"," "" They suffered on the cross of obscurity so that others might enjoy eternal fame, "" Schwartz said."," "" Trpí na kříži zapomnění, aby se jiní mohli těšit z věčné slávy, "" prohlásil Schwartz."
"Give","give","Dejte","dát","pf"," "" Give me your address, I 'll make you a CD, "" Brian said."," "" Dejte mi adresu, udělám vám cédéčko, "" vybídl mládence Brian."
"make","make","udělám","udělat","pf"," "" Give me your address, I 'll make you a CD, "" Brian said."," "" Dejte mi adresu, udělám vám cédéčko, "" vybídl mládence Brian."
"said","say","řekl","říci","pf"," "" It 's all brilliant, "" Schwartz said, "" until ' Thorazine Sunrise. '"," "" Až do Thorazine Sunrise je všechno, co udělali, jedinečný, "" řekl Schwartz."
"saw","see","potká","potkat","pf"," Denise did n't care if she saw Robin."," Denise bylo jedno, jestli Robin potká."
"wish","wish","chtít","chtít","impf"," "" Sadly, our overreliance on greenhouse-gas-producing fossil fuels will leave many central European countries, including Germany, at the mercy of sand-and-gravel cartel states, particularly sand-rich Lithuania, if they wish to continue with basic road-building and construction. """," "" Je to smutné, ale pokud budeme chtít pokračovat v budování silnic a staveb, naše nadměrné spoléhání na fosilní zdroje produkující plyny zapříčiňující skleníkový efekt vydá mnoho středoevropských zemí, včetně Německa, na milost státům, které budou mít v těchto přírodních zdrojích kartelové postavení, zvláště Litvě bohatému na písek."
"continue","continue","pokračovat","pokračovat","impf"," "" Sadly, our overreliance on greenhouse-gas-producing fossil fuels will leave many central European countries, including Germany, at the mercy of sand-and-gravel cartel states, particularly sand-rich Lithuania, if they wish to continue with basic road-building and construction. """," "" Je to smutné, ale pokud budeme chtít pokračovat v budování silnic a staveb, naše nadměrné spoléhání na fosilní zdroje produkující plyny zapříčiňující skleníkový efekt vydá mnoho středoevropských zemí, včetně Německa, na milost státům, které budou mít v těchto přírodních zdrojích kartelové postavení, zvláště Litvě bohatému na písek."
"smiled","smile","usmál","usmát","pf"," Caleb shook his head and smiled in disbelief, like a much-televised athlete who 'd failed to draw a penalty."," Caleb zavrtěl hlavou a nevěřícně se usmál, jak to dělávají sportovci často vystupující v televizi, když se jim nezdaří vsítit penaltu."
"crossed","cross","přešel","přejít","pf"," Gary crossed the marble-floored main hall into his very large living room and said hello into the little phone."," Gary přešel po mramorové podlaze vstupní haly do neúměrně velkého obývacího pokoje, načež pozdravil do malého sluchátka."
"told","tell","Řekla","říci","pf"," "" I told Caroline, "" Enid said, "" that I would call you back if you were n't near the phone. """," "" Řekla jsem Caroline, "" uvítala ho Enid, "" že pokud nejsi někde poblíž telefonu, zavolám za chvíli. """
"said","say","Řekla","říci","pf"," "" I told Caroline, "" Enid said, "" that I would call you back if you were n't near the phone. """," "" Řekla jsem Caroline, "" uvítala ho Enid, "" že pokud nejsi někde poblíž telefonu, zavolám za chvíli. """
"call","call","zavolám","zavolat","pf"," "" I told Caroline, "" Enid said, "" that I would call you back if you were n't near the phone. """," "" Řekla jsem Caroline, "" uvítala ho Enid, "" že pokud nejsi někde poblíž telefonu, zavolám za chvíli. """
"called","call","zavolal","zavolat","pf"," "" Or you could have called me back. """," "" Nebo abys zavolal ty mně. """
"talking","talk","mluvíš","mluvit","impf"," "" Mother, we 're talking about twenty-five cents. """," "" Matko, mluvíš o nějakých pětadvaceti centech. """
"allowed","allow","Nedovolila","dovolit","pf"," She had n't allowed Aaron and Caleb to start the game until classes ended, and now, when they finally did start, she insisted that they let Jonah be Microbes, because Microbes, in any ecosystem, had the most fun and never lost."," Nedovolila Calebovi a Aaronovi s hrou začít, dokud neskončí škola, a teď, když se na hru konečně vrhli, trvala na tom, že povolí Jonahovi, aby si hrál s mikroby, jelikož mikroby si v každém ekosystému nejvíc užijí a nikdy nemůžou prohrát."
"let","let","Nedovolila","dovolit","pf"," She had n't allowed Aaron and Caleb to start the game until classes ended, and now, when they finally did start, she insisted that they let Jonah be Microbes, because Microbes, in any ecosystem, had the most fun and never lost."," Nedovolila Calebovi a Aaronovi s hrou začít, dokud neskončí škola, a teď, když se na hru konečně vrhli, trvala na tom, že povolí Jonahovi, aby si hrál s mikroby, jelikož mikroby si v každém ekosystému nejvíc užijí a nikdy nemůžou prohrát."
"start","start","začít","začít","pf"," She had n't allowed Aaron and Caleb to start the game until classes ended, and now, when they finally did start, she insisted that they let Jonah be Microbes, because Microbes, in any ecosystem, had the most fun and never lost."," Nedovolila Calebovi a Aaronovi s hrou začít, dokud neskončí škola, a teď, když se na hru konečně vrhli, trvala na tom, že povolí Jonahovi, aby si hrál s mikroby, jelikož mikroby si v každém ekosystému nejvíc užijí a nikdy nemůžou prohrát."
"ended","end","neskončí","skončit","pf"," She had n't allowed Aaron and Caleb to start the game until classes ended, and now, when they finally did start, she insisted that they let Jonah be Microbes, because Microbes, in any ecosystem, had the most fun and never lost."," Nedovolila Calebovi a Aaronovi s hrou začít, dokud neskončí škola, a teď, když se na hru konečně vrhli, trvala na tom, že povolí Jonahovi, aby si hrál s mikroby, jelikož mikroby si v každém ekosystému nejvíc užijí a nikdy nemůžou prohrát."
"insisted","insist","trvala","trvat","impf"," She had n't allowed Aaron and Caleb to start the game until classes ended, and now, when they finally did start, she insisted that they let Jonah be Microbes, because Microbes, in any ecosystem, had the most fun and never lost."," Nedovolila Calebovi a Aaronovi s hrou začít, dokud neskončí škola, a teď, když se na hru konečně vrhli, trvala na tom, že povolí Jonahovi, aby si hrál s mikroby, jelikož mikroby si v každém ekosystému nejvíc užijí a nikdy nemůžou prohrát."
"allowed","allow","povolí","povolit","pf"," She had n't allowed Aaron and Caleb to start the game until classes ended, and now, when they finally did start, she insisted that they let Jonah be Microbes, because Microbes, in any ecosystem, had the most fun and never lost."," Nedovolila Calebovi a Aaronovi s hrou začít, dokud neskončí škola, a teď, když se na hru konečně vrhli, trvala na tom, že povolí Jonahovi, aby si hrál s mikroby, jelikož mikroby si v každém ekosystému nejvíc užijí a nikdy nemůžou prohrát."
"let","let","povolí","povolit","pf"," She had n't allowed Aaron and Caleb to start the game until classes ended, and now, when they finally did start, she insisted that they let Jonah be Microbes, because Microbes, in any ecosystem, had the most fun and never lost."," Nedovolila Calebovi a Aaronovi s hrou začít, dokud neskončí škola, a teď, když se na hru konečně vrhli, trvala na tom, že povolí Jonahovi, aby si hrál s mikroby, jelikož mikroby si v každém ekosystému nejvíc užijí a nikdy nemůžou prohrát."
"lost","lose","prohrát","prohrát","pf"," She had n't allowed Aaron and Caleb to start the game until classes ended, and now, when they finally did start, she insisted that they let Jonah be Microbes, because Microbes, in any ecosystem, had the most fun and never lost."," Nedovolila Calebovi a Aaronovi s hrou začít, dokud neskončí škola, a teď, když se na hru konečně vrhli, trvala na tom, že povolí Jonahovi, aby si hrál s mikroby, jelikož mikroby si v každém ekosystému nejvíc užijí a nikdy nemůžou prohrát."
"sending","send","pošle","poslat","pf"," By bedtime on Sunday, Jonah was entranced with his team of killer bacteria and looked forward to sending them into battle the next day."," Než šli v neděli spát, byl Jonah už zcela zaujatý svou jednotkou vraždících bakterií a nemohl se dočkat, až je následujícího dne pošle do boje."
"saying","say","mluvíš","mluvit","impf"," "" I 'm not sure what you 're saying, "" she said."," "" Nějak nechápu, o čem to vlastně mluvíš, "" upozornila otce."
"said","say","mluvíš","mluvit","impf"," "" I 'm not sure what you 're saying, "" she said."," "" Nějak nechápu, o čem to vlastně mluvíš, "" upozornila otce."
"look","look","podíval","podívat","pf"," "" He told me to look under the bench."," "" Řek mi, abych se podíval pod ten ponk."
"believe","believe","nevěříte","věřit","impf"," Look under the bench if I did n't believe him. """," Když mi nevěříte, koukněte se pod váš ponk. """
"Look","look","koukněte","kouknout","pf"," Look under the bench if I did n't believe him. """," Když mi nevěříte, koukněte se pod váš ponk. """
"shoot","shoot","zastřelit","zastřelit","pf"," Billy was lucky the tent was too crowded for the cops to shoot him."," Billy měl štěstí, že ve stanu se mačkalo příliš mnoho lidí, takže ho policisté nemohli zastřelit."
