"hear","hear","zaslechl","zaslechnout","pf"," He could hear, a long way off, the sound of approaching feet and arguing voices."," Kdesi v dálce zaslechl zvuk přibližujících se kroků a rozhádaných hlasů."
"moved","move","Pohnul","pohnout","pf"," ‘ Um, have I moved at all? ’ he said."," "" Pohnul jsem se vůbec? "" zeptal se."
"understand","understand","nerozumíte","rozumět","impf"," ‘ Madam, I do n't think you quite understand — ’"," "" Madam, já se obávám, že tak docela nerozumíte o co - """
"said","say","řekl","říci","pf"," ‘ I do n't hold with all this running about, ’ he said."," "" Mně se všechno to pobíhání vůbec nelíbí, "" řekl nakonec."
"Take","take","Vezmi","vzít","pf"," Take seven league boots, now."," Vezmi si například sedmimílové boty."
"stay","stay","zůstanete","zůstat","pf"," Would you rather stay here? ’"," Vy raději zůstanete tady? """
"started","start","začal","začít","pf"," He took a torch from its bracket on the wall and started down the steps."," Vytáhl z držáku na zdi jednu pochodeň a začal sestupovat po schodech."
"heard","hear","slyším","slyšet","impf"," ‘ I heard something, ’ said Twoflower."," "" Něco slyším, "" prohlásil Dvoukvítek."
"said","say","prohlásil","prohlásit","pf"," ‘ I heard something, ’ said Twoflower."," "" Něco slyším, "" prohlásil Dvoukvítek."
"looking","look","hledat","hledat","impf"," Because Greyhald Spold knows that Death is looking for him, and has spent many years designing an impregnable hiding place."," Šedomil Spold totiž předpokládá, že ho bude Smrť v nejbližší době hledat, ale to už čekal několik desítek let, takže za tu dobu ze svého bytu vybudoval nedobytný úkryt."
"said","say","řekl","říci","pf"," ‘ Old Grandad lives up there, ’ he said quietly."," "" Praděd žije tam nahoře, "" řekl potichu."
"said","say","Řekl","říci","pf"," There was something about the way he said it that made Rincewind decide that he did n't ever want to meet Old Grandad."," Řekl to takovým způsobem, že se Mrakoplaš okamžitě rozhodl, že o setkání s Pradědem vůbec nestojí."
"decide","decide","rozhodl","rozhodnout","pf"," There was something about the way he said it that made Rincewind decide that he did n't ever want to meet Old Grandad."," Řekl to takovým způsobem, že se Mrakoplaš okamžitě rozhodl, že o setkání s Pradědem vůbec nestojí."
"seen","see","Neviděli","vidět","impf"," We have n't seen him about for years, ’ said Kwartz."," Neviděli jsme ho už několik let, "" odpověděl mu Křemen."
"said","say","odpověděl","odpovědět","pf"," We have n't seen him about for years, ’ said Kwartz."," Neviděli jsme ho už několik let, "" odpověděl mu Křemen."
"corrected","correct","opravila","opravit","pf"," ‘ Centuries, ’ corrected Beryl."," "" Staletí, "" opravila ho Beryl."
"added","add","dodal","dodat","pf"," ‘ He 'll squash them all flat! ’ added Jasper, jumping up and down on Rincewind 's toes."," "" Ten by je všechny rozšlápl na placku! "" dodal Jaspis a vesele poskakoval Mrakoplašovi z boty na botu."
"vanished","vanish","zmizelo","zmizet","pf"," The Luggage vanished."," Zavazadlo zmizelo."
"learned","learn","naučili","naučit","pf"," They tended to be a bit expensive to keep until they learned about doors and did n't simply leave the house by walking aimlessly through the nearest wall."," Ze začátku s nimi byly vždycky dost velké výdaje, protože než se naučili používat dveře, měli ve zvyku vycházet z domu tou zdí, která byla právě nejblíž."
"keep","keep","měli","mít","impf"," They tended to be a bit expensive to keep until they learned about doors and did n't simply leave the house by walking aimlessly through the nearest wall."," Ze začátku s nimi byly vždycky dost velké výdaje, protože než se naučili používat dveře, měli ve zvyku vycházet z domu tou zdí, která byla právě nejblíž."
"want","want","Nechci","chtít","impf"," ‘ I do n't want to talk about it, ’ said Rincewind."," "" Nechci o tom mluvit, "" zabručel Mrakoplaš."
"talk","talk","mluvit","mluvit","impf"," ‘ I do n't want to talk about it, ’ said Rincewind."," "" Nechci o tom mluvit, "" zabručel Mrakoplaš."
"said","say","mluvit","mluvit","impf"," ‘ I do n't want to talk about it, ’ said Rincewind."," "" Nechci o tom mluvit, "" zabručel Mrakoplaš."
"talk","talk","mluvit","mluvit","impf"," ‘ Shall we talk about something else? ’"," "" Budeme mluvit o něčem jiném? """
"wrenched","wrench","Trhnul","trhnout","pf"," He wrenched at the bonds around his wrists."," Trhnul rukama spoutanýma v zápěstí silným provazem."
"sat","sit","Seděla","sedět","impf"," She sat on a rock opposite them, sword across her knees."," Seděla proti nim na velkém kameni a přes kolena měla meč."
"lay","lie","ležela","ležet","impf"," Most of the gang lay among the rocks high above, watching the road."," Většina jejích mužů ležela o něco výš za kameny a pozorovala cestu."
"watching","watch","pozorovala","pozorovat","impf"," Most of the gang lay among the rocks high above, watching the road."," Většina jejích mužů ležela o něco výš za kameny a pozorovala cestu."
"equalled","equal","rovná","rovnat","impf"," He read that its height plus its length divided by half its width equalled exactly 1.67563, or precisely 1, 237.98712567 times the difference between the distance to the sun and the weight of a small orange."," Užasl nad tím, že součet její výšky a délky dělený polovinou šířky se rovná přesně číslu 1, 67563, což je téměř na chlup 1 237, 98712567 násobek rozdílu vzdálenosti Zeměplochy od Slunce a váhy malého pomeranče."
"thought","think","pomyslel","pomyslet","pf"," It all seemed, he thought, to be rather a lot of trouble to go to just to sharpen a razor blade."," V duchu si pomyslel, jestli to nebylo trochu moc povyku jenom proto, aby si mohl někdo nabrousit žiletky."
"vanished","vanish","zmizel","zmizet","pf"," For a moment he was outlined against the grey pre-dawn sky, and then he vanished."," Na okamžik se jeho silueta začernala na šedivém ranním nebi a pak zmizel."
"leaving","leave","nechávaly","nechávat","impf"," Here and there, where the magic field was slightly weaker, tongues of morning raced ahead of the day, leaving isolated islands of night that contracted and vanished as the bright ocean flowed onwards."," Tu a tam, v místech, kde bylo magické pole o něco slabší, předháněly výběžky rána ostatní den a za sebou nechávaly izolované ostrůvky tmy, které se pomalu zmenšovaly, a když je pohltilo postupující světelné moře, mizely úplně."
"vanished","vanish","mizely","mizet","impf"," Here and there, where the magic field was slightly weaker, tongues of morning raced ahead of the day, leaving isolated islands of night that contracted and vanished as the bright ocean flowed onwards."," Tu a tam, v místech, kde bylo magické pole o něco slabší, předháněly výběžky rána ostatní den a za sebou nechávaly izolované ostrůvky tmy, které se pomalu zmenšovaly, a když je pohltilo postupující světelné moře, mizely úplně."
"promising","promise","slibovaly","slibovat","impf"," They called to Rincewind across the miles, promising to introduce him to the pickled eggs in the next jar."," Vábily Mrakoplaše bez ohledu na strašlivou vzdálenost, která je dělila, a slibovaly mu, že ho seznámí s pikantními vejci, naloženými ve vedlejším sudě."
"seemed","seem","zdálo","zdát","impf"," It seemed incredible now, but he had found it boring."," Teď se mu to zdálo neuvěřitelné, ale tenkrát se mu zdál nudný!"
"seemed","seem","zdál","zdát","impf"," It seemed incredible now, but he had found it boring."," Teď se mu to zdálo neuvěřitelné, ale tenkrát se mu zdál nudný!"
"hear","hear","slyším","slyšet","impf"," Pickled gherkins, I hear you calling ..."," Ó volání nakládaných okurek, já vás slyším ..."
"added","add","dodala","dodat","pf"," ‘ And then you can let us out, ’ Bethan added."," "" A pak nás pustíš ven, "" dodala Bethan."
"do","do","dělat","dělat","impf"," ‘ What 's that got to do with it? ’"," "" A co to s tím má co dělat? """
"put","put","řekl","říci","pf"," ‘ Well – how can I put it?"," "" No, jak bych ti to řekl?"
"divided","divide","rozdělit","rozdělit","pf"," back in the olden days, his theory went, people faced with hungry sabre-toothed tigers could be divided very simply into those who panicked and those who stood there saying ‘ What a magnificent brute! ’ and ‘ Here, pussy. ’"," Jeho teorie vycházela z toho, že se lidé, kteří se v minulosti setkali se šavlozubým tygrem, dali rozdělit zhruba na ty, kteří zpanikařili a utekli, a na ty druhé, kteří zůstali stát na místě a říkali něco jako "" Ó, jak vznešená šelma "", nebo "" Kuk, kočičko! ""."
"saying","say","říkali","říkat","impf"," back in the olden days, his theory went, people faced with hungry sabre-toothed tigers could be divided very simply into those who panicked and those who stood there saying ‘ What a magnificent brute! ’ and ‘ Here, pussy. ’"," Jeho teorie vycházela z toho, že se lidé, kteří se v minulosti setkali se šavlozubým tygrem, dali rozdělit zhruba na ty, kteří zpanikařili a utekli, a na ty druhé, kteří zůstali stát na místě a říkali něco jako "" Ó, jak vznešená šelma "", nebo "" Kuk, kočičko! ""."
"pointing","point","ukázal","ukázat","pf"," ‘ There 's a cupboard, ’ said Twoflower, pointing to a narrow door that was squeezed between the wall and the chimneybreast."," "" Támhle je skříň, "" zašeptal Dvoukvítek a ukázal na úzká dvířka vtěsnaná mezi perníkovou stěnu a bok krbu."
"turned","turn","otočil","otočit","pf"," Twoflower turned to Rincewind."," Dvoukvítek se otočil k Mrakoplašovi."
"hanging","hang","pověsit","pověsit","pf"," ‘ My father used to recommend hanging from the top of a door, ’ he said conversationally."," "" Můj otec tvrdil, že nejlepší na záda je pověsit se za ruce na otevřené dveře, "" prohlásil nevzrušeně."
"said","say","prohlásil","prohlásit","pf"," ‘ My father used to recommend hanging from the top of a door, ’ he said conversationally."," "" Můj otec tvrdil, že nejlepší na záda je pověsit se za ruce na otevřené dveře, "" prohlásil nevzrušeně."
"muffled","muffle","tlumil","tlumit","impf"," The pale damp air muffled all sounds, but he was certain that there had been nothing to hear for the past ten minutes."," Vlhký mléčný vzduch tlumil většinu zvuků, ale Weems si byl jistý, že v posledních minutách se široko daleko kolem nic nepohnulo."
"turned","turn","otočil","otočit","pf"," He turned around very slowly, and then allowed himself the luxury of a long, heartfelt sigh."," Velmi pomalu se otočil a dovolil si přepych dlouhého úlevného povzdechnutí."
"allowed","allow","dovolil","dovolit","pf"," He turned around very slowly, and then allowed himself the luxury of a long, heartfelt sigh."," Velmi pomalu se otočil a dovolil si přepych dlouhého úlevného povzdechnutí."
"said","say","Povídám","povídat","impf"," ‘ I said, where 's the Luggage? ’ hissed Bethan behind Rincewind 's back."," "" Povídám, kde je Zavazadlo, "" sykla Bethan Mrakoplašovi přes rameno."
"tried","try","snažili","snažit","impf"," As his hand waved vaguely around they treated it like a rotary scythe and tried to hide behind one another."," Lidé s hvězdami z něj měli zcela evidentně strach, a jak s ním Bethan otáčela kolem dokola, padali na zem a snažili se ukrýt jeden za druhého."
"hide","hide","ukrýt","ukrýt","pf"," As his hand waved vaguely around they treated it like a rotary scythe and tried to hide behind one another."," Lidé s hvězdami z něj měli zcela evidentně strach, a jak s ním Bethan otáčela kolem dokola, padali na zem a snažili se ukrýt jeden za druhého."
