"make","make","vydělávají","vydělávat","impf"," ' All these entrepreneurs make fortunes only because others incur expenses '."," "" Všichni podnikatelé vydělávají jenom tehdy, pokud ostatní utrácejí. """
"limits","limit","omezuje","omezovat","impf"," From within language experienced and traversed as language, in the play of its possibilities extended to their furthest point, what emerges is that man has ' come to an end ', and that, by reaching the summit of all possible speech, he arrives not at the very heart of himself but at the brink of that which limits him; in that region where death prowls, where thought is extinguished, where the promise of the origin interminably recedes."," Z hloubi řeči zakoušené a pojaté jako řeč se ve hře možností roztažených až do krajnosti ohlašuje to, že člověk je "" konečný "" a že když dospějeme až na vrchol každé možné mluvy, nedorazíme do jeho nitra, nýbrž na hranice toho, co ho omezuje : do oblasti, kde číhá smrt, kde myšlení uhasíná, kde příslib počátku ustupuje až do nekonečna."
"recedes","recede","ustupuje","ustupovat","impf"," From within language experienced and traversed as language, in the play of its possibilities extended to their furthest point, what emerges is that man has ' come to an end ', and that, by reaching the summit of all possible speech, he arrives not at the very heart of himself but at the brink of that which limits him; in that region where death prowls, where thought is extinguished, where the promise of the origin interminably recedes."," Z hloubi řeči zakoušené a pojaté jako řeč se ve hře možností roztažených až do krajnosti ohlašuje to, že člověk je "" konečný "" a že když dospějeme až na vrchol každé možné mluvy, nedorazíme do jeho nitra, nýbrž na hranice toho, co ho omezuje : do oblasti, kde číhá smrt, kde myšlení uhasíná, kde příslib počátku ustupuje až do nekonečna."
"exposing","expose","odhalí","odhalit","pf"," In ' exposing ' it, these three counter-sciences threaten the very thing that made it possible for man to be known."," A všechny tři dávají tím, že to odhalí, v sázku dokonce i to, co člověku umožnilo, aby byl poznáván."
"offered","offer","nabízí","nabízet","impf"," The partial identities or resemblances that make a taxinomia possible would then be the marks, revealed in the present, of one and the same living being, persisting through all the upheavals of nature and thereby filling all the vacant possibilities offered by the taxonomic table."," Podobnosti či částečné identity, které udržují možnost taxinomia, by tedy byly vystavenými značkami pro jednu a touž živou bytost, přetrvávající napříč proměnami přírody, a naplňující tak všechny možnosti, které taxonomická tabulka nadarmo nabízí."
"coincide","coincide","odpovídá","odpovídat","impf"," It is merely that the grid through which we permit the figures of resemblance to enter our knowledge happens to coincide at this point ( and at almost no other ) with that which sixteenth-century learning had laid over things."," Zdá se, že mřížka, skrze niž do našeho vědění necháváme procházet útvary podobnosti, odpovídá v tomto ohledu ( a skoro jedině v tomto ohledu ) mřížce, kterou nad věcmi rozprostřelo vědění 16. století."
"escapes","escape","Uniká","unikat","impf"," It escapes from that critical relation which, in the eighteenth century, was constitutive of the knowledge of nature."," Uniká kritickému vztahu, který byl v 18. století pro vědění o přírodě konstitutivní."
"makes","make","dělá","dělat","impf"," Rather, it makes history a journey, accomplished in successive stages, across the simultaneous patterning of representation and words."," Spíše z dějin dělá průběh po sobě jsoucích etap simultánního členění reprezentace a slov."
"govern","govern","řídí","řídit","impf"," Signs, therefore, have no other laws than those that may govern their contents : any analysis of signs is at the same time, and without need for further inquiry, the decipherment of what they are trying to say."," Znaky tedy nemají jiný zákon než ten, jenž řídí jejich obsah : celá analýza znaku je zároveň a plným právem dešifrování toho, co znamenají."
"prescribed","prescribe","předepsány","předepsat","pf"," These possibilities are presented - indeed, they are prescribed - as soon as the theory of languages takes as its object discourse and the analysis of its representative values."," Tyto možnosti se nabízejí - a mnohem více : jsou předepsány - od okamžiku, kdy si teorie jazyků dává za předmět diskurz a analýzu jeho reprezentativních hodnot."
"suppose","suppose","Předpokládejme","předpokládat","impf"," Shall we suppose, Harris asks, that all signification is, like the body, divisible into an infinity of other significations, themselves divisible to infinity?"," "" Předpokládejme, "" říká Hartus, "" že každý význam je jako těleso dělitelné na nekonečné množství dalších významů, jež samy jsou dělitelné do nekonečna?"
"makes","make","dělá","dělat","impf"," In fact, it is not an identity - more or less confused - that ' mercantilism ' established between these two things, but a considered articulation that makes money the instrument of the representation and analysis of wealth, and makes wealth, conversely, into the content represented by money."," Ve skutečnosti mezi nimi "" merkantilismus "" neustavuje více či méně konfúzní identitu, nýbrž reflexivní artikulaci, jež z peněz dělá nástroj reprezentace i analýzy bohatství a naopak z bohatství dělá obsah reprezentovaný penězi."
"makes","make","dělá","dělat","impf"," In fact, it is not an identity - more or less confused - that ' mercantilism ' established between these two things, but a considered articulation that makes money the instrument of the representation and analysis of wealth, and makes wealth, conversely, into the content represented by money."," Ve skutečnosti mezi nimi "" merkantilismus "" neustavuje více či méně konfúzní identitu, nýbrž reflexivní artikulaci, jež z peněz dělá nástroj reprezentace i analýzy bohatství a naopak z bohatství dělá obsah reprezentovaný penězi."
"makes","make","dělá","dělat","impf"," In fact, it is not an identity - more or less confused - that ' mercantilism ' established between these two things, but a considered articulation that makes money the instrument of the representation and analysis of wealth, and makes wealth, conversely, into the content represented by money."," Ve skutečnosti mezi nimi "" merkantilismus "" neustavuje více či méně konfúzní identitu, nýbrž reflexivní artikulaci, jež z peněz dělá nástroj reprezentace i analýzy bohatství a naopak z bohatství dělá obsah reprezentovaný penězi."
