"assured","assure","ujistil","ujistit","pf"," Luria assured him that I would fit the bill and immediately wrote me the good news."," Luria jej ujistil, že se právě na to budu hodit, a ihned mi tyto dobré zprávy napsal."
"needed","need","potřebuje","potřebovat","impf"," Occasionally, Francis would look disgusted when my daydreams kept me from observing that he needed my help to keep the model from collapsing as he rearranged the supporting ring stands."," Francis se občas zatvářil znechuceně, protože jsem si ve svém zasnění nevšímal, že potřebuje mou pomoc, když hrozilo nebezpečí, že se model během přeskupování zhroutí."
"overlapped","overlap","překrývala","překrývat","impf"," The time finally arranged, however, had overlapped my visit to London."," Nakonec se stanovená doba překrývala s mou návštěvou Londýna."
"watching","watch","sledoval","sledovat","impf"," When I was watching Maurice meticulously finish all the food on his plate, Odile was admiring Bertrand 's perfectly proportioned face as he spoke of his problems choosing among potential social engagements during his forthcoming summer on the Riviera."," Zatímco jsem sledoval Maurice, jak pečlivě vyjídá všechno jídlo ze svého talíře, Odile obdivovala Bertrandovu dokonalou tvář, když mluvil o tom, jaké má problémy s volbou možných společenských aktivit příští léto na Riviéře."
"admiring","admire","obdivovala","obdivovat","impf"," When I was watching Maurice meticulously finish all the food on his plate, Odile was admiring Bertrand 's perfectly proportioned face as he spoke of his problems choosing among potential social engagements during his forthcoming summer on the Riviera."," Zatímco jsem sledoval Maurice, jak pečlivě vyjídá všechno jídlo ze svého talíře, Odile obdivovala Bertrandovu dokonalou tvář, když mluvil o tom, jaké má problémy s volbou možných společenských aktivit příští léto na Riviéře."
"spoke","speak","mluvil","mluvit","impf"," When I was watching Maurice meticulously finish all the food on his plate, Odile was admiring Bertrand 's perfectly proportioned face as he spoke of his problems choosing among potential social engagements during his forthcoming summer on the Riviera."," Zatímco jsem sledoval Maurice, jak pečlivě vyjídá všechno jídlo ze svého talíře, Odile obdivovala Bertrandovu dokonalou tvář, když mluvil o tom, jaké má problémy s volbou možných společenských aktivit příští léto na Riviéře."
"saw","see","viděl","vidět","impf"," This morning Francis saw that I did not have my usual interest in the French moneyed gentry."," To ráno ale Francis viděl, že nejevím obvyklý zájem o vyšší bohatou francouzskou společnost."
"start","start","začít","začít","pf"," We might be able to start the game with several completely different sets of facts and yet always hit the same final answers."," Mohli bychom začít s několika zcela rozdílnými sadami údajů a přece vždy dostat shodnou konečnou odpověď."
"asked","ask","žádal","žádat","impf"," A postscript asked for information on what his scientific clowns were up to."," V doušce žádal o informaci, na co jeho vědečtí klauni přišli."
"heard","hear","uslyšel","uslyšet","pf"," PAULING first heard about the double helix from Delbrück."," Pauling uslyšel poprvé o dvoušroubovici od Delbrücka."
"asked","ask","žádal","žádat","impf"," At the bottom of the letter that broke the news of the complementary chains, I had asked that he not tell Linus."," V doušce dopisu o novince komplementárních řetězců jsem ho žádal, aby to Linusovi neříkal."
"tell","tell","neříkal","říkat","impf"," At the bottom of the letter that broke the news of the complementary chains, I had asked that he not tell Linus."," V doušce dopisu o novince komplementárních řetězců jsem ho žádal, aby to Linusovi neříkal."
"want","want","nechtěl","chtít","impf"," I was still slightly afraid something would go wrong and did not want Pauling to think about hydrogen-bonded base pairs until we had a few more days to digest our position."," Ještě jsem se trochu bál, že něco nebude v pořádku, a nechtěl jsem, aby Pauling přemýšlel o párech bází spojených vodíkovými můstky dříve, než v několika příštích dnech náš objev strávíme."
"think","think","přemýšlel","přemýšlet","impf"," I was still slightly afraid something would go wrong and did not want Pauling to think about hydrogen-bonded base pairs until we had a few more days to digest our position."," Ještě jsem se trochu bál, že něco nebude v pořádku, a nechtěl jsem, aby Pauling přemýšlel o párech bází spojených vodíkovými můstky dříve, než v několika příštích dnech náš objev strávíme."
"digest","digest","strávíme","strávit","pf"," I was still slightly afraid something would go wrong and did not want Pauling to think about hydrogen-bonded base pairs until we had a few more days to digest our position."," Ještě jsem se trochu bál, že něco nebude v pořádku, a nechtěl jsem, aby Pauling přemýšlel o párech bází spojených vodíkovými můstky dříve, než v několika příštích dnech náš objev strávíme."
"reject","reject","zavrhnout","zavrhnout","pf"," The way to get on, in his opinion, was to reject any argument which did not arise from the chemistry of nucleic-acid chains."," Podle jeho názoru jedinou správnou cestou bylo zavrhnout každý argument, který nevychází z chemie řetězců nukleových kyselin."
"distinguish","distinguish","rozlišovat","rozlišovat","impf"," Since the experimental evidence known to us could not yet distinguish between two- and three-chain models, he wanted to pay equal attention to both alternatives."," Protože experimentální důkazy, které jsme znali, nedovolovaly dosud rozlišovat mezi dvou - a troj řetězcovými modely, musíme věnovat pozornost oběma možnostem."
"pay","pay","věnovat","věnovat","impf"," Since the experimental evidence known to us could not yet distinguish between two- and three-chain models, he wanted to pay equal attention to both alternatives."," Protože experimentální důkazy, které jsme znali, nedovolovaly dosud rozlišovat mezi dvou - a troj řetězcovými modely, musíme věnovat pozornost oběma možnostem."
"remained","remain","zůstal","zůstat","pf"," Though I remained totally skeptical, I saw no reason to contest his words."," I když jsem zůstal zcela skeptický, neviděl jsem důvod, proč se s ním přít."
"saw","see","neviděl","vidět","impf"," Though I remained totally skeptical, I saw no reason to contest his words."," I když jsem zůstal zcela skeptický, neviděl jsem důvod, proč se s ním přít."
"contest","contest","přít","přít","impf"," Though I remained totally skeptical, I saw no reason to contest his words."," I když jsem zůstal zcela skeptický, neviděl jsem důvod, proč se s ním přít."
"playing","play","hrát","hrát","impf"," I would of course start playing with two-chain models."," Chtěl jsem si však začít hrát s dvouřetězcovými modely."
"built","build","sestavit","sestavit","pf"," No serious models were built, however, for several days."," Po několik dní se nám nepodařilo sestavit žádné slušné modely."
"let","let","nechat","nechat","pf"," It made sense to let Kalckar ( whom several of the fellowship electors knew personally ) train another biochemist."," Vypadalo smysluplně nechat Kalckara, kterého několik členů komise pro stipendia znalo osobně, školit dalšího biochemika."
"noticed","notice","nevnímal","vnímat","impf"," True, he appeared very vague about most things and might not yet have really noticed."," Je ovšem pravda, že ho mnoho věcí obcházelo, a tak je docela možné, že to ani nevnímal."
"built","build","nevytvořila","vytvořit","pf"," So far, to our knowledge, King 's had not built any three-dimensional models of the necessary atoms."," Pokud jsme věděli, King ' s nikdy nevytvořila trojrozměrné modely nezbytných atomů."
"giving","give","poskytneme","poskytnout","pf"," Nonetheless, our offer to speed that task by giving them the Cambridge molds for making the models was only halfheartedly received."," Naše nabídka, že přispějeme k urychlení práce na tomto úkolu tím, že poskytneme své cambridžské zkušenosti, setkala se jen s vlažným přijetím."
"say","say","řekl","říci","pf"," Maurice did say, though, that within a few weeks someone might be found to put something together, and it was arranged that the next time one of us went down to London the jigs could be dropped off at their lab."," Maurice však přece jen řekl, že v několika týdnech se snad někdo najde, kdo dá něco dohromady, a že někdo z nás přijede do Londýna, aby se v jejich laboratoři zabránilo delšímu tápání."
"put","put","řekl","říci","pf"," Maurice did say, though, that within a few weeks someone might be found to put something together, and it was arranged that the next time one of us went down to London the jigs could be dropped off at their lab."," Maurice však přece jen řekl, že v několika týdnech se snad někdo najde, kdo dá něco dohromady, a že někdo z nás přijede do Londýna, aby se v jejich laboratoři zabránilo delšímu tápání."
