"say","say","neodpovíš","odpovědět","pf"," ' Why do n't you say something, Niza? ' asked Judas miserably, hastening to keep pace with her."," "" Proč mi neodpovíš, Niso? "" žadonil Jidáš, když ji dohnal."
"said","say","řekla","říci","pf"," ' I see that pimps work in the streets now! ' she said as she got up to go."," "" Vida, nový typ - pouliční pasák, "" řekla a pohoršeně vstala."
"Open","open","Otevřete","otevřít","pf"," ' Open up, open up!"," "" Otevřete, otevřete!"
"open","open","Otevřete","otevřít","pf"," ' Open up, open up!"," "" Otevřete, otevřete!"
"Open","open","otevřete","otevřít","pf"," ' Open up, open up!"," "" Otevřete, otevřete!"
"open","open","otevřete","otevřít","pf"," ' Open up, open up!"," "" Otevřete, otevřete!"
"Open","open","otevři","otevřít","pf"," Open the door, Dusya!"," Dusjo, otevři!"
"ruined","ruin","pokazí","pokazit","pf"," If you wo n't let him make us laugh, I shall cry, and the journey will be ruined before we start. '"," Ať nás Kňour trochu rozveselí, nebo se bojím, že tohle loučení skončí slzami a tím se všecko pokazí. """
"Looking","look","Pohlédla","pohlédnout","pf"," Looking up at the ceiling she suddenly saw it change colour from white to a deathly grey-blue."," Pohlédla vzhůru a vtom zpozorovala, že jindy křídově bílý strop před jejími zraky mrtvolně šedne."
"coming","come","Přijdete","přijít","pf"," ' Will you be coming over soon? ' asked Rimsky."," "" Přijdete brzy? "" zeptal se Rimský."
"asked","ask","zeptal","zeptat","pf"," ' Will you be coming over soon? ' asked Rimsky."," "" Přijdete brzy? "" zeptal se Rimský."
"clasped","clasp","sevřel","sevřít","pf"," ' In half an hour, ' answered Stepa and replacing the receiver he clasped his feverish head."," "" Za půl hodinky, "" ujistil ho Lotrov, zavěsil a sevřel rozpálenou hlavu do dlaní."
"reminded","remind","připomněly","připomenout","pf"," Judas climbed, panting, occasionally emerging from darkness into chequered carpets of moonlight which reminded him of the carpets in the shop kept by Niza 's jealous husband."," Jidáš těžce oddechoval a občas vykročil ze tmy na vzorované měsíční koberce, které mu připomněly koberce v krámku Nisina žárlivého muže."
"raised","raise","zvedl","zvednout","pf"," ' Drink! ' said the executioner and a water-soaked sponge was raised to Yeshua 's lips on the point of a lance."," "" Pij, "" nařídil kat a zvedl k jeho rtům kopí s namočenou houbou."
"hope","hope","Doufám","doufat","impf"," ' We hope Margarita Nikolayevna wo n't refuse? '"," "" Doufám, že ani Markéta Nikolajevna neodmítne? """
"refuse","refuse","neodmítne","odmítnout","pf"," ' We hope Margarita Nikolayevna wo n't refuse? '"," "" Doufám, že ani Markéta Nikolajevna neodmítne? """
"cried","cry","zvolal","zvolat","pf"," ' Splendid! ' cried Azazello."," "" Báječné! "" zvolal Azazelo."
"ring","ring","zavolá","zavolat","pf"," ' Azazello will ring soon! ' cried Margarita, listening to the sound of the waltz."," "" Teď zavolá Azazelo! "" vykřikla Markéta a zaposlouchala se do pádivého rytmu valčíku, který zaplnil celou uličku."
"cried","cry","vykřikla","vykřiknout","pf"," ' Azazello will ring soon! ' cried Margarita, listening to the sound of the waltz."," "" Teď zavolá Azazelo! "" vykřikla Markéta a zaposlouchala se do pádivého rytmu valčíku, který zaplnil celou uličku."
"handed","hand","podal","podat","pf"," As the interpreter handed it to Nikanor Ivanovich with his left hand, with his right he gave him a thick, crackling package."," Pak levou rukou podal elegantně Nikanoru Ivanoviči papírek a pravou mu vsunul do druhé ruky objemný balíček, ve kterém cosi šelestilo."
"gave","give","podal","podat","pf"," As the interpreter handed it to Nikanor Ivanovich with his left hand, with his right he gave him a thick, crackling package."," Pak levou rukou podal elegantně Nikanoru Ivanoviči papírek a pravou mu vsunul do druhé ruky objemný balíček, ve kterém cosi šelestilo."
"started","start","začal","začít","pf"," Glancing at it Nikanor Ivanovich blushed hard and started to push it away."," Bosý šlehl po balíčku pohledem, zčervenal jako růže a začal ho od sebe odstrkávat."
"deliver","deliver","doručit","doručit","pf"," ' Take this and deliver it at once, Ivan Savyelich."," "" Osobně doručit a pospěš si."
"melted","melt","rozplynuli","rozplynout","pf"," The two victims melted into the air and a sheet of flame leaped up from the Primus to the awning."," Oba ostřelovaní se naráz rozplynuli ve vzduchu a z vařiče vyšlehl plamen až k plátěné střeše."
"appeared","appear","objevila","objevit","pf"," A gaping mouth with burning edges appeared in the awning and began spreading in all directions."," V plátně se objevila velká díra s černým okrajem a rozlézala se na všecky strany."
"cried","cry","vykřikl","vykřiknout","pf"," ' Oh! ' cried Behemoth, ' all the parrots have flown away, as I said they would. '"," "" Jejda, "" vykřikl náhle Kňour, "" papoušci uletěli, já to říkal! """
"said","say","říkal","říkat","impf"," ' Oh! ' cried Behemoth, ' all the parrots have flown away, as I said they would. '"," "" Jejda, "" vykřikl náhle Kňour, "" papoušci uletěli, já to říkal! """
"addressed","address","oslovil","oslovit","pf"," ' Sergei Gerardovich, ' the compère addressed him, ' you have been sitting here for six weeks now, firmly refusing to give up your remaining foreign currency, at a time when your country has desperate need of it."," "" Sergeji Žerardoviči, "" oslovil ho herec, "" sedíte tu už dobře půldruhého měsíce, a přitom tvrdošíjně odmítáte odevzdat zbylé valuty, ačkoli je nepotřebujete, zatímco náš stát je potřebuje."
"sitting","sit","sedíte","sedět","impf"," ' Sergei Gerardovich, ' the compère addressed him, ' you have been sitting here for six weeks now, firmly refusing to give up your remaining foreign currency, at a time when your country has desperate need of it."," "" Sergeji Žerardoviči, "" oslovil ho herec, "" sedíte tu už dobře půldruhého měsíce, a přitom tvrdošíjně odmítáte odevzdat zbylé valuty, ačkoli je nepotřebujete, zatímco náš stát je potřebuje."
"refusing","refuse","odmítáte","odmítat","impf"," ' Sergei Gerardovich, ' the compère addressed him, ' you have been sitting here for six weeks now, firmly refusing to give up your remaining foreign currency, at a time when your country has desperate need of it."," "" Sergeji Žerardoviči, "" oslovil ho herec, "" sedíte tu už dobře půldruhého měsíce, a přitom tvrdošíjně odmítáte odevzdat zbylé valuty, ačkoli je nepotřebujete, zatímco náš stát je potřebuje."
"give","give","odevzdat","odevzdat","pf"," ' Sergei Gerardovich, ' the compère addressed him, ' you have been sitting here for six weeks now, firmly refusing to give up your remaining foreign currency, at a time when your country has desperate need of it."," "" Sergeji Žerardoviči, "" oslovil ho herec, "" sedíte tu už dobře půldruhého měsíce, a přitom tvrdošíjně odmítáte odevzdat zbylé valuty, ačkoli je nepotřebujete, zatímco náš stát je potřebuje."
"understand","understand","chápete","chápat","impf"," You 're an intelligent man, you understand all this perfectly well, yet you refuse to come forward. '"," Jako inteligentní člověk všechno chápete, a přesto mi nechcete vyjít vstříc. """
"prepared","prepare","chystali","chystat","impf"," All prepared to depart."," Pak se všichni chystali na cestu."
"gave","give","podal","podat","pf"," The cowled man gave the murderers a note and they wrapped purse and note into a piece of leather which they bound criss-cross with twine."," Vrahové spěšně vložili váček spolu s kusem pergamenu, který jim třetí podal, do koženého měšce a převázali provazem."
"seemed","seem","zdál","zdát","impf"," It seemed as white as chalk, with an expression not unlike spiritual beauty."," zdál se mu ve stínu křídově bílý a oduševněle krásný."
"think","think","myslíte","myslet","impf"," ' I always think, present company excepted of course, that there 's something unpleasant lurking in people who avoid drinking, gambling, table-talk and pretty women."," "" Jak myslíte, ale muži, kteří se vyhýbají vínu, hrám, společnosti krásných žen a přátelskému rozhovoru, jsou podezřelí."
"avoid","avoid","vyhýbají","vyhýbat","impf"," ' I always think, present company excepted of course, that there 's something unpleasant lurking in people who avoid drinking, gambling, table-talk and pretty women."," "" Jak myslíte, ale muži, kteří se vyhýbají vínu, hrám, společnosti krásných žen a přátelskému rozhovoru, jsou podezřelí."
"hate","hate","nenávidí","nenávidět","impf"," People like that are either sick or secretly hate their fellow-men."," Takoví lidé bývají často buďto těžce nemocní, nebo tajně nenávidí ostatní."
"sitting","sit","zasedal","zasedat","impf"," I have had some outright scoundrels sitting at my table before now!"," Mezi těmi, s kterými jsem si zasedal k hodovnímu stolu, byli někdy neuvěřitelní mizerové! ..."
"tell","tell","mluvte","mluvit","impf"," Now tell me what I can do for you. '"," Tak tedy mluvte, prosím, poslouchám vás. """
"did","do","provádět","provádět","impf"," ' Yesterday you did some tricks ... '"," "" Včera jste ráčil provádět všelijaká kouzla ... """
"struggling","struggle","zápasí","zápasit","impf"," As she floated away Margarita caught a glimpse of the virtuoso bandleader, struggling against the polonaise that she could still hear behind her, hitting the bandsmen on the head with his cymbal while they crouched in comic terror."," Markéta už na odletu viděla, jak virtuózní džezbendista zápasí s polonézou, která se jí vtírala do uší, a mlátí činelem po hlavách svoje hudebníky, kteří se krčí v komické hrůze."
"talks","talk","mluvil","mluvit","impf"," So it is not surprising that he talks to himself."," Nezbývá mu, než aby mluvil sám se sebou."
"adds","add","dodává","dodávat","impf"," For an occasional change he adds that most of all he detests his immortality and his incredible fame."," Ostatně, pro změnu občas dodává, že nejvíc ze všeho na světě nenávidí svoji nesmrtelnost a slávu."
"detests","detest","nenávidí","nenávidět","impf"," For an occasional change he adds that most of all he detests his immortality and his incredible fame."," Ostatně, pro změnu občas dodává, že nejvíc ze všeho na světě nenávidí svoji nesmrtelnost a slávu."
"change","change","vyměnil","vyměnit","pf"," He claims that he would gladly change places with that vagrant, Matthew the Levite. '"," Tvrdí, že by si s chutí vyměnil osud s otrhancem a tulákem Matoušem. """
"asked","ask","zeptala","zeptat","pf"," ' Twenty-four thousand moons in penance for one moon long ago, is n't that too much? ' asked Margarita."," "" Není těch dvakrát dvanáct tisíc úplňku příliš velký trest za ten jeden jediný dávný úplněk? "" zeptala se Markétka."
"repeat","repeat","opakovat","opakovat","impf"," ' Are you going to repeat the business with Frieda again? ' said Woland."," "" Vidím, že chcete opakovat historii s Frídou? "" poznamenal Woland."
"need","need","nemusíte","muset","impf"," ' But you need n't distress yourself, Margarita."," "" Tentokrát se nemusíte znepokojovat."
"arrived","arrive","přijel","přijet","pf"," He had arrived in Moscow from abroad yesterday, had immediately called on Stepa and offered himself as a guest artiste at the Variety."," Včera za dne přijel do Moskvy, neprodleně navštívil Sťopu a nabídl mu pohostinské vystoupení ve Varieté."
