"saw","see","spatří","spatřit","pf"," What would the Hermians do, when they saw him?"," Co Merkuřané podniknou, až ho spatří?"
"explain","explain","vysvětlit","vysvětlit","pf"," The increased humidity was no problem; the startling rise in oxygen was much more difficult to explain."," Vzrůst vlhkosti, v tom žádný problém nebyl, úžasné zvětšení obsahu kyslíku se dalo vysvětlit mnohem obtížněji."
"began","begin","začal","začít","pf"," As he recommenced the descent, Mercer began a whole series of mental calculations."," Když navrhl, aby pokračovali v sestupu, začal Mercer v duchu zuřivě počítat."
"entered","enter","vstoupili","vstoupit","pf"," He had not arrived at any satisfactory result by the time they entered the cloud layer."," Ale než vstoupili do vrstvy mračen, nedospěl k žádnému výsledku, který by ho uspokojil."
"sliding","slide","Klouzali","klouzat","impf"," At one moment they were sliding downwards in clear air, gripping the smooth metal of the handrail so that they would not gain speed too swiftly in this quarter-of-a-gravity region."," Klouzali dolů v čirém vzduchu a pevně přitom svírali hladký kov zábradlí, takže v prostředí se čtvrtinou pozemské gravitace neuháněli příliš rychle."
"gripping","grip","svírali","svírat","impf"," At one moment they were sliding downwards in clear air, gripping the smooth metal of the handrail so that they would not gain speed too swiftly in this quarter-of-a-gravity region."," Klouzali dolů v čirém vzduchu a pevně přitom svírali hladký kov zábradlí, takže v prostředí se čtvrtinou pozemské gravitace neuháněli příliš rychle."
"expected","expect","očekávat","očekávat","impf"," Even a doomed man might reasonably be expected to take some slight interest in a few thousand square metres of gems."," Dokonce i o člověku, který propadl záhubě, se nakonec dalo očekávat, že projeví mírný zájem o několik tisíc čtverečních metrů šperků."
"destroy","destroy","zničit","zničit","pf"," A few well-placed pecks could destroy Dragonfly 's aerodynamics."," Pár dobře umístěných klovnutí mohlo aerodynamické vlastnosti Vážky úplně zničit."
"traded","trade","vyměnily","vyměnit","pf"," Millions of men would gladly have traded places with him now."," Milióny mužů by si s ním právě teď rády vyměnily místo."
"caught","catch","zachytil","zachytit","pf"," They could only guess at the energies in whose backlash they had been briefly caught, and Norton was thankful that he had stationed Endeavour at a safe distance before Rama had switched on its drive."," Velikost energií, jejichž zpětný ráz je nakrátko zachytil, mohli jenom odhadovat, a Norton si blahořečil, že odstavil Endeavour do bezpečné vzdálenosti dříve, než Ráma spustil svůj pohon."
"guess","guess","odhadovat","odhadovat","impf"," They could only guess at the energies in whose backlash they had been briefly caught, and Norton was thankful that he had stationed Endeavour at a safe distance before Rama had switched on its drive."," Velikost energií, jejichž zpětný ráz je nakrátko zachytil, mohli jenom odhadovat, a Norton si blahořečil, že odstavil Endeavour do bezpečné vzdálenosti dříve, než Ráma spustil svůj pohon."
"lying","lie","Ležel","ležet","impf"," He was lying with his hands clasped under his head, eyes half shut, cabin light low - not really drowsing, but lost in some reverie or private dream."," Ležel s rukama zachycenýma za popruhy nad hlavou, oči měl zpola zavřené, světlo v kabině ztlumené - ne že by přímo klímal, ale jako by se utápěl v rozjímání anebo ve svých tajných snech."
"understand","understand","nechápu","chápat","impf"," ' Sorry Laura - I do n't understand."," "" Promiň, Lauro - já nic nechápu."
"say","say","Neříkej","říkat","impf"," ' Do n't say you 've forgotten! '"," "" Neříkej, že jsi už zapomněl! """
"forgotten","forget","zapomněl","zapomenout","pf"," ' Do n't say you 've forgotten! '"," "" Neříkej, že jsi už zapomněl! """
"teasing","tease","Nezlob","zlobit","impf"," ' Stop teasing, you wretched woman."," "" Nezlob mě, ty ženská jedna zatracená."
"wake","wake","budím","budit","impf"," ' Sorry to wake you, Skipper, ' said Lieutenant-Commander Kirchoff."," "" Promiňte, že vás budím, kapitáne, "" řekl zástupce pro výzkum Kirchoff."
"said","say","řekl","říci","pf"," ' Sorry to wake you, Skipper, ' said Lieutenant-Commander Kirchoff."," "" Promiňte, že vás budím, kapitáne, "" řekl zástupce pro výzkum Kirchoff."
"lose","lose","ztratit","ztratit","pf"," Luckily, it was impossible to lose one 's bearings inside Rama;"," Naštěstí bylo nemožné ztratit v Rámovi orientaci;"
"establish","establish","určil","určit","pf"," a single glance at the sky was enough to establish the north-south axis of the world."," už pouhý letmý pohled na oblohu stačil, aby člověk určil polohu severojižní osy planetky."
"construct","construct","sestavit","sestavit","pf"," When all these hundreds of pictures were sorted out, it would be a tedious but fairly straightforward job to construct an accurate scale model of the city."," Až se všechny ty stovky obrázků roztřídí, nastane úmorná, ale dost jednoduchá práce sestavit model města v přesném měřítku."
"keep","keep","měl","mít","impf"," Norton suspected that the resulting jigsaw puzzle would keep scientists busy for generations."," Norton měl podezření, že skládačka, která z nich vznikne, bude zaměstnávat vědce po celé generace."
"keep","keep","zaměstnávat","zaměstnávat","impf"," Norton suspected that the resulting jigsaw puzzle would keep scientists busy for generations."," Norton měl podezření, že skládačka, která z nich vznikne, bude zaměstnávat vědce po celé generace."
"serving","serve","slouží","sloužit","impf"," ' So Rama is now in full operating condition, serving the purpose of its builders - whoever they may be."," Takže Ráma se teď plně nachází v provozních podmínkách a slouží zájmům těch, kteří je vybudovali - ať už je to kdokoli."
"matter","matter","nezáleží","záležet","impf"," From our point of view, it does not matter if the Ramans themselves have all been dead for a million years, or whether they too will be re-created, to join their servants, at any moment."," Z našeho hlediska nezáleží na tom, jestli jsou Rámané mrtví už milióny roků, či zda také budou v jednu chvíli znovu stvořeni, aby se přidali ke svým služebníkům."
"join","join","přidali","přidat","pf"," From our point of view, it does not matter if the Ramans themselves have all been dead for a million years, or whether they too will be re-created, to join their servants, at any moment."," Z našeho hlediska nezáleží na tom, jestli jsou Rámané mrtví už milióny roků, či zda také budou v jednu chvíli znovu stvořeni, aby se přidali ke svým služebníkům."
"given","give","podal","podat","pf"," ' Rama has now given proof that its propulsion system is still operating."," Ráma nyní podal důkaz, že jeho pohonný systém stále ještě funguje."
"operating","operate","funguje","fungovat","impf"," ' Rama has now given proof that its propulsion system is still operating."," Ráma nyní podal důkaz, že jeho pohonný systém stále ještě funguje."
"heard","hear","zaslechl","zaslechnout","pf"," As he reached the next column, which looked exactly like the first, he heard an exclamation of surprise from Mercer."," Když dospěl k následujícímu sloupu, který vypadal přesně tak jako ten první, zaslechl, že Mercer překvapeně vykřikl."
"sworn","swear","přísahat","přísahat","impf"," ' I could have sworn this pillar was empty - now there 's something inside it. '"," "" Mohl bych přísahat, že tenhle sloup byl průzračný - a teď uvnitř něco je. """
"see","see","nevidím","vidět","impf"," he said. ' I do n't see anything. '"," "" Já nic nevidím. """
"pointing","point","ukazoval","ukazovat","impf"," He followed the direction of Mercer 's pointing finger."," Podíval se směrem, jímž ukazoval Mercerův prst."
"aimed","aim","směřoval","směřovat","impf"," It was aimed at nothing; the column was still completely transparent."," Ten směřoval proti ničemu, sloup byl pořád dokonale průhledný."
"see","see","nevidíte","vidět","impf"," ' You ca n't see it? ' said Mercer incredulously."," "" Copak to nevidíte? "" řekl Mercer nedůvěřivě."
"said","say","řekl","říci","pf"," ' You ca n't see it? ' said Mercer incredulously."," "" Copak to nevidíte? "" řekl Mercer nedůvěřivě."
"concerns","concern","Týká","týkat","impf"," ' It concerns the purpose of Rama, Commander."," "" Týká se to Rámova účelu, veliteli."
"believe","believe","Věřím","věřit","impf"," I believe I have discovered it. '"," Věřím, že jsem ho odhalil. """
"discovered","discover","odhalil","odhalit","pf"," I believe I have discovered it. '"," Věřím, že jsem ho odhalil. """
"imagine","imagine","představit","představit","pf"," I ca n't imagine any technology, however advanced, that would n't take such precautions. '"," Neumím si představit žádnou techniku, ať už jakkoli vyspělou, která by postupovala s takovou obezřelostí. """
"told","tell","řekl","říci","pf"," ' And it would be fail-safe, ' Norton told himself."," "" A bude pojištěný proti havárii, "" řekl si Norton."
"grasped","grasp","Uchopil","uchopit","pf"," He grasped two opposing spokes of the windlass, braced his feet against the ground, and tested the wheel."," Uchopil dva protější příčle rumpálu, zapřel se nohama a zkusil, jak se kolo zachová."
"aimed","aim","zamířil","zamířit","pf"," Though that, surely, could not be its ultimate goal, it was aimed squarely at the Greater Magellanic Cloud, and the lonely gulfs beyond the Milky Way."," Proto, naprosto jistě, nemohly být jeho konečným cílem, zamířil přímo k Velkému Magellanovu mračnu, do osamělých propastí za Mléčnou dráhou."
