"breathe","breathe","dýchat","dýchat","impf"," Suddenly he had anonymous eyes on him and he could breathe again!"," Anonymní oči byly náhle všude s ním a on mohl zase dýchat!"
"offer","offer","nabídne","nabídnout","pf"," When she told him her suitcase was at the station, he immediately realized that the suitcase contained her life and that she had left it at the station only until she could offer it up to him."," Když mu teď řekla, že má kufr v úschovně, blesklo mu hlavou, že v tom kufru je její život a že ho nechala zatím na nádraží, než mu jej nabídne."
"went","go","odešla","odejít","pf"," She went down on her knees before her new swindler friend and left her husband and Tereza to fend for themselves."," Padla na kolena před defraudantem a odešla od manžela i od Terezy."
"left","leave","odešla","odejít","pf"," She went down on her knees before her new swindler friend and left her husband and Tereza to fend for themselves."," Padla na kolena před defraudantem a odešla od manžela i od Terezy."
"said","say","Říkal","říkat","impf"," He said openly what was on his mind, and the Communist police, shocked by his rash statements, arrested him, brought him to trial, and sentenced him to a long term in prison."," Říkal všude nahlas, co si myslí, a komunistická policie šokována jeho nehoráznými výroky ho zatkla, odsoudila a uvěznila."
"arrested","arrest","zatkla","zatknout","pf"," He said openly what was on his mind, and the Communist police, shocked by his rash statements, arrested him, brought him to trial, and sentenced him to a long term in prison."," Říkal všude nahlas, co si myslí, a komunistická policie šokována jeho nehoráznými výroky ho zatkla, odsoudila a uvěznila."
"sentenced","sentence","odsoudila","odsoudit","pf"," He said openly what was on his mind, and the Communist police, shocked by his rash statements, arrested him, brought him to trial, and sentenced him to a long term in prison."," Říkal všude nahlas, co si myslí, a komunistická policie šokována jeho nehoráznými výroky ho zatkla, odsoudila a uvěznila."
"arrested","arrest","uvěznila","uvěznit","pf"," He said openly what was on his mind, and the Communist police, shocked by his rash statements, arrested him, brought him to trial, and sentenced him to a long term in prison."," Říkal všude nahlas, co si myslí, a komunistická policie šokována jeho nehoráznými výroky ho zatkla, odsoudila a uvěznila."
"considered","consider","Považuje","považovat","impf"," He considered music a liberating force : it liberated him from loneliness, introversion, the dust of the library; it opened the door of his body and allowed his soul to step out into the world to make friends."," Považuje hudbu za osvoboditelku : osvobozuje ho od samoty, uzavřenosti, prachu knihovny, otvírá v jeho těle dveře, jimiž duše vystupuje do světa, aby se bratřila."
"liberating","liberate","osvobozuje","osvobozovat","impf"," He considered music a liberating force : it liberated him from loneliness, introversion, the dust of the library; it opened the door of his body and allowed his soul to step out into the world to make friends."," Považuje hudbu za osvoboditelku : osvobozuje ho od samoty, uzavřenosti, prachu knihovny, otvírá v jeho těle dveře, jimiž duše vystupuje do světa, aby se bratřila."
"liberated","liberate","osvobozuje","osvobozovat","impf"," He considered music a liberating force : it liberated him from loneliness, introversion, the dust of the library; it opened the door of his body and allowed his soul to step out into the world to make friends."," Považuje hudbu za osvoboditelku : osvobozuje ho od samoty, uzavřenosti, prachu knihovny, otvírá v jeho těle dveře, jimiž duše vystupuje do světa, aby se bratřila."
"opened","open","otvírá","otvírat","impf"," He considered music a liberating force : it liberated him from loneliness, introversion, the dust of the library; it opened the door of his body and allowed his soul to step out into the world to make friends."," Považuje hudbu za osvoboditelku : osvobozuje ho od samoty, uzavřenosti, prachu knihovny, otvírá v jeho těle dveře, jimiž duše vystupuje do světa, aby se bratřila."
"dance","dance","tančí","tančit","impf"," He loved to dance and regretted that Sabina did not share his passion."," Rád tančí a lituje, že Sabina s ním tuto vášeň nesdílí."
"regretted","regret","lituje","litovat","impf"," He loved to dance and regretted that Sabina did not share his passion."," Rád tančí a lituje, že Sabina s ním tuto vášeň nesdílí."
"share","share","nesdílí","sdílet","impf"," He loved to dance and regretted that Sabina did not share his passion."," Rád tančí a lituje, že Sabina s ním tuto vášeň nesdílí."
"sitting","sit","Sedí","sedět","impf"," They were sitting together at a restaurant, and loud music with a heavy beat poured out of a nearby speaker as they ate."," Sedí spolu v restauraci a z tlampače jim hraje k jídlu hlučná rytmická hudba."
"asked","ask","ptá","ptát","impf"," ' Do n't you like music? ' Franz asked."," "" Ty nemáš ráda hudbu? "" ptá se Franz."
"pursued","pursue","pronásleduje","pronásledovat","impf"," Noise masked as music had pursued her since early childhood."," Hluk v masce hudby ji pronásleduje už od ranného mládí."
"went","go","šel","jít","impf"," One day, Tomas went to the crematorium to attend the funeral of a famous biologist who had been thrown out of the university and the Academy of Sciences."," Tomáš šel do krematoria účastnit se pohřbu slavného biologa vyhozeného z university a z Akademie věd."
"attend","attend","účastnit","účastnit","impf"," One day, Tomas went to the crematorium to attend the funeral of a famous biologist who had been thrown out of the university and the Academy of Sciences."," Tomáš šel do krematoria účastnit se pohřbu slavného biologa vyhozeného z university a z Akademie věd."
"learn","learn","dověděli","dovědět","pf"," The authorities had forbidden mention of the hour of the funeral in the death announcement, fearing that the services would turn into a demonstration. The mourners themselves did not learn until the last moment that the body would be cremated at half past six in the morning."," Na smutečním oznámení nesměla být udána hodina pohřbu, aby se obřad neproměnil v demonstraci, a teprve na poslední chvíli se pozůstalí dověděli, že bude spálen o půl sedmé ráno."
"love","love","miluje","milovat","impf"," Nor had she ever asked herself the questions that plague human couples : Does he love me? Does he love anyone more than me?"," Nikdy si nekladla otázky, které mučí lidské dvojice : miluje mne? miloval někoho více než mne? miluje víc on mne, než já miluju jeho?"
"love","love","miluje","milovat","impf"," Nor had she ever asked herself the questions that plague human couples : Does he love me? Does he love anyone more than me?"," Nikdy si nekladla otázky, které mučí lidské dvojice : miluje mne? miloval někoho více než mne? miluje víc on mne, než já miluju jeho?"
"love","love","miloval","milovat","impf"," Nor had she ever asked herself the questions that plague human couples : Does he love me? Does he love anyone more than me?"," Nikdy si nekladla otázky, které mučí lidské dvojice : miluje mne? miloval někoho více než mne? miluje víc on mne, než já miluju jeho?"
"love","love","miloval","milovat","impf"," Nor had she ever asked herself the questions that plague human couples : Does he love me? Does he love anyone more than me?"," Nikdy si nekladla otázky, které mučí lidské dvojice : miluje mne? miloval někoho více než mne? miluje víc on mne, než já miluju jeho?"
"love","love","miluje","milovat","impf"," Nor had she ever asked herself the questions that plague human couples : Does he love me? Does he love anyone more than me?"," Nikdy si nekladla otázky, které mučí lidské dvojice : miluje mne? miloval někoho více než mne? miluje víc on mne, než já miluju jeho?"
"love","love","miluje","milovat","impf"," Nor had she ever asked herself the questions that plague human couples : Does he love me? Does he love anyone more than me?"," Nikdy si nekladla otázky, které mučí lidské dvojice : miluje mne? miloval někoho více než mne? miluje víc on mne, než já miluju jeho?"
"love","love","miluju","milovat","impf"," Nor had she ever asked herself the questions that plague human couples : Does he love me? Does he love anyone more than me?"," Nikdy si nekladla otázky, které mučí lidské dvojice : miluje mne? miloval někoho více než mne? miluje víc on mne, než já miluju jeho?"
"love","love","miluju","milovat","impf"," Nor had she ever asked herself the questions that plague human couples : Does he love me? Does he love anyone more than me?"," Nikdy si nekladla otázky, které mučí lidské dvojice : miluje mne? miloval někoho více než mne? miluje víc on mne, než já miluju jeho?"
"ask","ask","ptají","ptát","impf"," Does he love me more than I love him? Perhaps all the questions we ask of love, to measure, test, probe, and save it, have the additional effect of cutting it short."," Možná, že všechny tyto otázky, které se ptají po lásce, které ji měří, zkoumají, vyšetřují, vyslýchají, ji také v zárodku ničí."
"measure","measure","měří","měřit","impf"," Does he love me more than I love him? Perhaps all the questions we ask of love, to measure, test, probe, and save it, have the additional effect of cutting it short."," Možná, že všechny tyto otázky, které se ptají po lásce, které ji měří, zkoumají, vyšetřují, vyslýchají, ji také v zárodku ničí."
"love","love","milovat","milovat","impf"," Perhaps the reason we are unable to love is that we yearn to be loved, that is, we demand something ( love ) from our partner instead of"," Možná, že nejsme s to milovat právě proto, že toužíme být milováni, to jest že chceme něco ( lásku ) po tom druhém, místo abychom k němu přistupovali bez požadavků a chtěli jen jeho pouhou přítomnost."
