"say","say","řekl","říci","pf"," What else can I say about them?"," Co bych o nich ještě řekl?"
"meant","mean","znamenalo","znamenat","impf"," I 'm an inveterate bureaucrat, and finding my bearings in this new situation meant above all making a plan."," Orientovat se v nové situaci znamenalo pro mne - starého byrokrata - především si udělat plán."
"making","make","udělat","udělat","pf"," I 'm an inveterate bureaucrat, and finding my bearings in this new situation meant above all making a plan."," Orientovat se v nové situaci znamenalo pro mne - starého byrokrata - především si udělat plán."
"came","come","vzešel","vzejít","pf"," In this case, the original impulse came from Ivan Vyskočil, for a change."," V tomto případě vzešel prapůvodní impuls pro změnu od Ivana Vyskočila."
"sit","sit","seděli","sedět","impf"," After the shows, we 'd always sit around in some wine bar, and he would talk about all the different themes, subjects, and ideas he had for plays."," On měl ve zvyku vykládat vždycky po představení, když jsme seděli v nějaké vinárně, své rozmanité náměty a nápady na divadelní hry."
"talking","talk","mluvil","mluvit","impf"," The fact is that he never, at least not in those days, turned any of his ideas into plays, but he did have a bottomless supply of them, and they 'd always be different, because he 'd be making them up as he was talking."," Žádný z těch nápadů sice - aspoň v těch dobách - do divadelní hry neproměnil, měl jich však nepřeberné množství, všelijak a pokaždé jinak je rozvíjel, tím, jak mluvil, je vlastně vymýšlel."
"collected","collect","sbíral","sbírat","impf"," I also collected signatures, mainly among my friends, most of whom were writers."," Sám jsem podpisy také sbíral, hlavně mezi svými přáteli, především literáty."
"agreed","agree","domluven","domluvit","pf"," We 'd already agreed on the day - it was between Christmas and New Year 's - and the hour when all the signatures were to be brought to my place and arranged in an alphabetical list, and everything was to be got ready to be sent to the Federal Assembly, and published."," Měli jsme domluven den - bylo to mezi vánocemi a Novým rokem - a hodinu, kdy se všechny podpisy u mne doma shromáždí, pořídíme abecední seznam prvních signatářů, vybavíme vše k odeslání Federálnímu shromáždění i ke zveřejnění."
"sent","send","odeslána","odeslat","pf"," Meanwhile, enough copies of the initial declaration were typed out so that one could be sent to each of the signatories."," Mezitím se text úvodního prohlášení opisoval tak, aby mohla být jedna kopie odeslána každému signatáři."
"enable","enable","umožňuje","umožňovat","impf"," What else but a profound feeling of being excluded can enable a person better to see the absurdity of the world and his own existence or, to put it more soberly, the absurd dimensions of the world and his own existence?"," Co jiného totiž než hluboký pocit vyřazenosti umožňuje člověku lépe vidět absurditu světa i vlastní existence nebo - střízlivěji - jejich absurdní dimenzi?"
"see","see","vidět","vidět","impf"," What else but a profound feeling of being excluded can enable a person better to see the absurdity of the world and his own existence or, to put it more soberly, the absurd dimensions of the world and his own existence?"," Co jiného totiž než hluboký pocit vyřazenosti umožňuje člověku lépe vidět absurditu světa i vlastní existence nebo - střízlivěji - jejich absurdní dimenzi?"
"found","find","najdeme","najít","pf"," The process of appearing, revealing, of recognizing the true face of a person can be found in all theatre, from antiquity until today."," proces vyjevování, odkrývání, rozpoznávání pravé tváře člověka najdeme v každém divadle od antiky dodnes;"
"made","make","učinil","učinit","pf"," Grossman made of me what Vyskočil had promised, his closest artistic collaborator."," Grossman mne učinil tím, čím mne sliboval učinit Vyskočil, totiž svým nejbližším uměleckým spolupracovníkem."
"promised","promise","sliboval","slibovat","impf"," Grossman made of me what Vyskočil had promised, his closest artistic collaborator."," Grossman mne učinil tím, čím mne sliboval učinit Vyskočil, totiž svým nejbližším uměleckým spolupracovníkem."
"made","make","učinit","učinit","pf"," Grossman made of me what Vyskočil had promised, his closest artistic collaborator."," Grossman mne učinil tím, čím mne sliboval učinit Vyskočil, totiž svým nejbližším uměleckým spolupracovníkem."
"stand","stand","měl","mít","impf"," I felt I could stand up straight again, and that no one could accuse me any longer of not doing anything, of just looking on in silence at the miserable state of affairs."," měl jsem pocit, že jsem se napřímil a nikdo mě teď nemůže obvinit, že nic nedělám a tristnímu stavu věcí jen mlčky přihlížím;"
"accuse","accuse","obvinit","obvinit","pf"," I felt I could stand up straight again, and that no one could accuse me any longer of not doing anything, of just looking on in silence at the miserable state of affairs."," měl jsem pocit, že jsem se napřímil a nikdo mě teď nemůže obvinit, že nic nedělám a tristnímu stavu věcí jen mlčky přihlížím;"
"doing","do","nedělám","dělat","impf"," I felt I could stand up straight again, and that no one could accuse me any longer of not doing anything, of just looking on in silence at the miserable state of affairs."," měl jsem pocit, že jsem se napřímil a nikdo mě teď nemůže obvinit, že nic nedělám a tristnímu stavu věcí jen mlčky přihlížím;"
"breathe","breathe","dýchalo","dýchat","impf"," I could breathe more easily because I had not tried to stifle the truth inside me."," líp se mi dýchalo, protože jsem už v sobě nedusil pravdu."
"stifle","stifle","nedusil","dusit","impf"," I could breathe more easily because I had not tried to stifle the truth inside me."," líp se mi dýchalo, protože jsem už v sobě nedusil pravdu."
"give","give","dát","dát","pf"," If I were a military commander who could give the order for anti-aircraft batteries to defend Prague, I would probably only do so if I could be persuaded that an overwhelming majority of Czechoslovaks were determined to bear the probable consequences of my order, including death in an Afghan type of massacre."," Kdybych byl vojenským velitelem, který mohl k protiletecké obraně Prahy dát rozkaz, asi bych ho dal jen tehdy, až bych nějakým způsobem získal jistotu, že drtivá většina Čechoslováků je rozhodnuta nést předpokládané následky mého rozkazu, včetně smrti při vyvražďování afghánského typu."
"give","give","dal","dát","pf"," If I were a military commander who could give the order for anti-aircraft batteries to defend Prague, I would probably only do so if I could be persuaded that an overwhelming majority of Czechoslovaks were determined to bear the probable consequences of my order, including death in an Afghan type of massacre."," Kdybych byl vojenským velitelem, který mohl k protiletecké obraně Prahy dát rozkaz, asi bych ho dal jen tehdy, až bych nějakým způsobem získal jistotu, že drtivá většina Čechoslováků je rozhodnuta nést předpokládané následky mého rozkazu, včetně smrti při vyvražďování afghánského typu."
"determined","determine","rozhodnuta","rozhodnout","pf"," If I were a military commander who could give the order for anti-aircraft batteries to defend Prague, I would probably only do so if I could be persuaded that an overwhelming majority of Czechoslovaks were determined to bear the probable consequences of my order, including death in an Afghan type of massacre."," Kdybych byl vojenským velitelem, který mohl k protiletecké obraně Prahy dát rozkaz, asi bych ho dal jen tehdy, až bych nějakým způsobem získal jistotu, že drtivá většina Čechoslováků je rozhodnuta nést předpokládané následky mého rozkazu, včetně smrti při vyvražďování afghánského typu."
