"descended","descend","sestupoval","sestupovat","impf"," The camerlegno felt like he was floating as he descended into the Niche of the Palliums."," Když sestupoval do Palliového výklenku, měl camerlengo pocit, jako by plaval."
"follow","follow","řídit","řídit","impf"," How do you know WHICH finger to follow? ”"," Jak víte, podle kterého z těch ukazováků se máte řídit? """
"guide","guide","vede","vést","impf"," “ Let angels guide you on your lofty quest? ”"," "" Nechť anděl vede vás tou pravou z cest? """
"gazed","gaze","Dívala","dívat","impf"," She gazed upward at the outstretched finger of the angel."," Dívala se na napřažený andělův prst."
"mattered","matter","nezáleželo","záležet","impf"," None of it mattered anymore."," Teď už ale na tom nezáleželo."
"led","lead","vedly","vést","impf"," The blood on the floor led to the opposite end of the prison."," Krvavé stopy na podlaze vedly k opačnému konci vězení."
"followed","follow","sledoval","sledovat","impf"," Langdon followed."," Langdon je sledoval."
"saw","see","Viděla","vidět","impf"," I saw his picture. ”"," Viděla jsem ho na obrázku. """
"told","tell","říkal","říkat","impf"," I told you what he proved, right? ”"," Už jsem ti přece říkal, na co přišel, ne? """
"widened","widen","rozšířily","rozšířit","pf"," Her eyes widened with dread."," Oči sejí rozšířily strachy."
"PROMISED","promise","Slíbils","slíbit","pf"," You PROMISED! ”"," Slíbils mi to! """
"hanging","hang","zavěsila","zavěsit","pf"," “ It was n't the Pope 's office, ” Vittoria said, hanging up."," "" Nebyla to papežova kancelář, "" zahučela Vittoria a zavěsila."
"glaring","glare","zíral","zírat","impf"," Langdon offered a weak smile to the guard outside who was now glaring angrily though the glass while he hailed Olivetti on his walkie-talkie."," Langdon se unaveně usmál na vojáka, který na něj zuřivě zíral přes sklo, zatímco vysílačkou hlasitě sháněl Olivettiho."
"contained","contain","obsahovalo","obsahovat","impf"," The logo contained three sixes!"," Logo obsahovalo tři šestky!"
"pass","pass","přejde","přejít","pf"," The jealousy would pass, Glick knew, his mind now wandering to another thought."," Ta žárlivost ji přejde, říkal si Glick, a věnoval se jiným myšlenkám."
"kept","keep","chovají","chovat","impf"," If CERN was Illuminati headquarters, was CERN where the Illuminati kept their infamous Illuminati Diamond?"," Je - li CERN vskutku centrálou iluminátů, chovají tam i ten svůj neblaze proslulý kosočtverec - diamant?"
"suffered","suffer","trpěl","trpět","impf"," JESUS had suffered before the eyes of the entire world."," Ježíš přece trpěl před zraky celého světa."
"listened","listen","naslouchal","naslouchat","impf"," The camerlegno listened for the voice of his God, but heard only the blurring buzz of drugs."," Camerlengo znovu naslouchal hlasu svého Boha, v uších však se ozývalo jen temné hučení morfia."
"heard","hear","naslouchal","naslouchat","impf"," The camerlegno listened for the voice of his God, but heard only the blurring buzz of drugs."," Camerlengo znovu naslouchal hlasu svého Boha, v uších však se ozývalo jen temné hučení morfia."
"arrived","arrive","přišel","přijít","pf"," Then, without warning, God arrived."," Potom, zcela bez varování, Bůh přišel."
"brought","bring","přivedlo","přivést","pf"," But it also brought an idea."," Zároveň ho to však přivedlo i na jednu myšlenku."
"care","care","nezáleželo","záležet","impf"," He did n't care."," Na tom teď nezáleželo."
"wanted","want","potřeboval","potřebovat","impf"," All he wanted was a wedge."," To, co potřeboval, byl nějaký klín."
"preparing","prepare","chystá","chystat","impf"," The Hassassin was crouched on the floor of the van, hands planted on the cardinal 's chain-clad body, preparing to roll him out the open door into the fountain."," Spatřil Hassassina, jak dřepí u kardinálova těla spoutaného řetězy a zřejmě se už chystá skulit tělo otevřenými dveřmi do fontány."
"move","move","hnout","hnout","pf"," “ Do n't move. ”"," "" Ani hnout! """
"seen","see","spatřil","spatřit","pf"," For a moment he seemed confused, as though he had seen a ghost."," Na okamžik vypadal zmateně, jako kdyby spatřil nějaký přízrak."
"spend","spend","strávit","strávit","pf"," The appointment made one INELIGIBLE as a candidate during the election, and it also required one spend many days prior to conclave poring over the pages of the UNIVERSI DOMINICI GREGIS reviewing the subtleties of conclave 's arcane rituals to ensure the election was properly administered."," Především se vybraný kardinál v daném konkláve automaticky stává nezvolitelným, a kromě toho musí celé dny před papežskou volbou strávit pročítáním jednotlivých stránek Universi Dominici Gregis s podrobným popisem všech tajemných rituálů, jimiž se jednání konkláve řídí, aby zajistil správný průběh volby."
"administered","administer","řídí","řídit","impf"," The appointment made one INELIGIBLE as a candidate during the election, and it also required one spend many days prior to conclave poring over the pages of the UNIVERSI DOMINICI GREGIS reviewing the subtleties of conclave 's arcane rituals to ensure the election was properly administered."," Především se vybraný kardinál v daném konkláve automaticky stává nezvolitelným, a kromě toho musí celé dny před papežskou volbou strávit pročítáním jednotlivých stránek Universi Dominici Gregis s podrobným popisem všech tajemných rituálů, jimiž se jednání konkláve řídí, aby zajistil správný průběh volby."
"ensure","ensure","zajistil","zajistit","pf"," The appointment made one INELIGIBLE as a candidate during the election, and it also required one spend many days prior to conclave poring over the pages of the UNIVERSI DOMINICI GREGIS reviewing the subtleties of conclave 's arcane rituals to ensure the election was properly administered."," Především se vybraný kardinál v daném konkláve automaticky stává nezvolitelným, a kromě toho musí celé dny před papežskou volbou strávit pročítáním jednotlivých stránek Universi Dominici Gregis s podrobným popisem všech tajemných rituálů, jimiž se jednání konkláve řídí, aby zajistil správný průběh volby."
"elevated","elevate","zvyšovalo","zvyšovat","impf"," Not only was he the senior cardinal, but he had also been a confidant of the late Pope, a fact that elevated his esteem."," Kromě toho, že byl z kardinálů nejstarší, byl také důvěrným spolupracovníkem zesnulého papeže, což zvyšovalo jeho autoritu."
"come","come","Přijel","přijet","pf"," Had he come in a van?"," Přijel v tom autě?"
"imagined","imagine","představoval","představovat","impf"," Langdon had imagined the killer escorting his last victim across the piazza on foot, like he had at St. Peter 's, giving Langdon an open shot."," Langdon si až dosud představoval, že zabiják povede svou poslední oběť přes náměstí pěšky, podobně jako před svatým Petrem, takže na něj bude moci namířit a vystřelit."
"escorting","escort","povede","vést","impf"," Langdon had imagined the killer escorting his last victim across the piazza on foot, like he had at St. Peter 's, giving Langdon an open shot."," Langdon si až dosud představoval, že zabiják povede svou poslední oběť přes náměstí pěšky, podobně jako před svatým Petrem, takže na něj bude moci namířit a vystřelit."
"arrived","arrive","přijel","přijet","pf"," But if the Hassassin had arrived in a van, the rules had just changed."," Jestliže ale přijel v autě, situace se tím mění od základů."
"changed","change","mění","měnit","impf"," But if the Hassassin had arrived in a van, the rules had just changed."," Jestliže ale přijel v autě, situace se tím mění od základů."
"began","begin","začaly","začít","pf"," Somewhere a bell began ringing eight o'clock ..."," Kdesi začaly hodiny odbíjet osmou."
"opened","open","otevřela","otevřít","pf"," Vittoria opened her mouth to respond but was interrupted by a knocking at the door."," Vittoria otevřela ústa k odpovědi, ale přerušilo ji zaklepání na dveře."
"interrupted","interrupt","přerušilo","přerušit","pf"," Vittoria opened her mouth to respond but was interrupted by a knocking at the door."," Vittoria otevřela ústa k odpovědi, ale přerušilo ji zaklepání na dveře."
"opened","open","otevřel","otevřít","pf"," Olivetti opened it."," Olivetti otevřel."
"pointing","point","ukazoval","ukazovat","impf"," A guard in full regalia stood outside, pointing to his watch."," Venku stál voják v plné výstroji a ukazoval na hodinky."
"nodded","nod","přikývl","přikývnout","pf"," Olivetti checked his own watch and nodded."," Olivetti se podíval na své vlastní hodinky a přikývl."
"turned","turn","Otočil","otočit","pf"," He turned back to Langdon and Vittoria like a judge pondering their fate."," Otočil se k Vittorii a Langdonovi jako soudce uvažující o rozsudku."
"led","lead","Vedl","vést","impf"," He led them out of the monitoring room across the security center to a small clear cubicle against the rear wall."," Vedl je ven z monitorovací místnosti přes bezpečnostní centrum do malé světlé kóje u zadní zdi."
"ask","ask","zeptal","zeptat","pf"," “ Father, ” Chartrand said, “ may I ask you a strange question? ”"," "" Otče, "" zeptal se ho, "" mohu vám položit jednu zvláštní otázku? """
"smiled","smile","usmál","usmát","pf"," The camerlegno smiled."," Camerlengo se usmál."
"laughed","laugh","zasmál","zasmát","pf"," Chartrand laughed."," Chartrand se zasmál."
"asked","ask","Ptal","ptát","impf"," “ I have asked every priest I know, and I still do n't understand. ”"," "" Ptal jsem se už každého kněze, kterého jsem znal, ale stejně tomu pořád nerozumím. """
"understand","understand","znal","znát","impf"," “ I have asked every priest I know, and I still do n't understand. ”"," "" Ptal jsem se už každého kněze, kterého jsem znal, ale stejně tomu pořád nerozumím. """
"understand","understand","nerozumím","rozumět","impf"," “ I have asked every priest I know, and I still do n't understand. ”"," "" Ptal jsem se už každého kněze, kterého jsem znal, ale stejně tomu pořád nerozumím. """
"troubles","trouble","trápí","trápit","impf"," “ What troubles you? ”"," "" Co vás trápí? """
"thought","think","Myslím","myslet","impf"," “ I thought you said she was a PHYSICIST! ”"," "" Myslím, že jste říkal, že se zabývá fyzikoul """
"said","say","říkal","říkat","impf"," “ I thought you said she was a PHYSICIST! ”"," "" Myslím, že jste říkal, že se zabývá fyzikoul """
"studies","study","Zkoumá","zkoumat","impf"," She studies the interconnectivity of life systems."," Zkoumá vzájemné propojení živých systémů."
"searched","search","zkoumal","zkoumat","impf"," Langdon searched his host 's face for any glint of humor."," Langdon zkoumal hostitelův obličej, nenajde - li v něm náznak žertování."
"appeared","appear","zdálo","zdát","impf"," Although he appeared to be talking directly to the camera, it quickly became evident that he was speaking to someone else - whoever was making this video."," Přestože se zprvu zdálo, že mluví do kamery, záhy se ukázalo, že tam s někým hovoří - s tím, kdo tento záznam natáčel."
"talking","talk","mluví","mluvit","impf"," Although he appeared to be talking directly to the camera, it quickly became evident that he was speaking to someone else - whoever was making this video."," Přestože se zprvu zdálo, že mluví do kamery, záhy se ukázalo, že tam s někým hovoří - s tím, kdo tento záznam natáčel."
