"talking","talk","mluví","mluvit","impf"," The crowd hadn ’ t the faintest idea what he was talking about, but they loved it nevertheless."," Schůzovníci netušili, o čem mluví, ale stejně se jim to líbilo."
"said","say","řekl","říci","pf"," “ Excuse me, ” said the owner of the metal hand in a voice that would have made an insect of a more sentimental disposition collapse in tears."," "" Promiňte, "" řekl majitel kovové ruky hlasem, z jakého by se jen trochu sentimentální hmyz zhroutil v slzách."
"ending","end","skončí","skončit","pf"," “ Ladies and gentlemen, ” he said, “ The Universe as we know it has now been in existence for over one hundred and seventy thousand million billion years and will be ending in a little over half an hour."," "" Dámy a pánové, vesmír, jak víme, existuje už nějakých sto sedmdesát tisíc miliónů miliard let, a skončí asi tak za půlhodinku."
"left","leave","nechají","nechat","pf"," They decided they rather liked a race of people who made it clear that they were grateful simply to be left alone."," Došli k závěru, že rasa lidí, jasně dávajících najevo, že jsou vděčni, když je všichni nechají na pokoji, se jim docela zamlouvá."
"stopped","stop","přestaly","přestat","pf"," The fruit and berries stopped after fifty miles, because that was where the sea started."," Po pětasedmdesáti kilometrech ovocné dary přestaly, protože začínalo moře."
"started","start","začínalo","začínat","impf"," The fruit and berries stopped after fifty miles, because that was where the sea started."," Po pětasedmdesáti kilometrech ovocné dary přestaly, protože začínalo moře."
"getting","get","nechytíme","chytit","pf"," “ Until we pick up anything on this machine, ’ said Ford, “ our chances of getting off this planet are zero."," "" Pokud něco nechytíme na týhle mašině, "" zuřil Ford, "" naše šance dostat se odtud se rovnají nule."
"getting","get","dostat","dostat","pf"," “ Until we pick up anything on this machine, ’ said Ford, “ our chances of getting off this planet are zero."," "" Pokud něco nechytíme na týhle mašině, "" zuřil Ford, "" naše šance dostat se odtud se rovnají nule."
"travel","travel","jde","jít","impf"," It may be some freak standing wave effect in the planet ’ s magnetic field - in which case we just travel round and round till we find a clear reception area."," Možná že jde jen o nějakou poruchu v magnetickém poli, takže nám nezbývá než jít dál a dál, dokud nenajdeme místo, kde je čistý příjem."
"travel","travel","jít","jít","impf"," It may be some freak standing wave effect in the planet ’ s magnetic field - in which case we just travel round and round till we find a clear reception area."," Možná že jde jen o nějakou poruchu v magnetickém poli, takže nám nezbývá než jít dál a dál, dokud nenajdeme místo, kde je čistý příjem."
"find","find","nenajdeme","najít","pf"," It may be some freak standing wave effect in the planet ’ s magnetic field - in which case we just travel round and round till we find a clear reception area."," Možná že jde jen o nějakou poruchu v magnetickém poli, takže nám nezbývá než jít dál a dál, dokud nenajdeme místo, kde je čistý příjem."
"Coming","come","Jdeš","jít","impf"," Coming? ”"," Jdeš? """
"picked","pick","Sebral","sebrat","pf"," He picked up his gear and strode off."," Sebral přístroj a rázoval pryč."
"looked","look","pohlédl","pohlédnout","pf"," Arthur looked down the hill."," Arthur pohlédl z vršku dolů."
"attack","attack","napadnout","napadnout","pf"," If it ’ s poisonous and we don ’ t eat it they ’ ll just attack us some other way."," Jestli jsou bobule jedovaté, a my je nesníme, můžou nás snadno napadnout jinak."
"eat","eat","nesníme","sníst","pf"," If we don ’ t eat, we lose out either way. ”"," Když je nesníme, každopádně na to doplatíme. """
"picked","pick","vybral","vybrat","pf"," Hesitantly, Arthur picked up one of those things that looked like pears."," Arthur váhavě vybral plod nápadně připomínající hrušku."
"come","come","jít","jít","impf"," You must come."," Musíme jít."
"do","do","udělat","udělat","pf"," “ Er, yeah? ” said Zaphod, “ and how am I meant to do that? ”"," "" Ehm, "" zrozpačitěl Zafod, "" ale jak to mám udělat? """
"See","see","Vidíš","vidět","impf"," See the man at the platinum table with the platinum suit on? ”"," Vidíš tamtoho chlapa v platinovým obleku u platinovýho stolu? """
"tried","try","pokoušel","pokoušet","impf"," Zaphod tried to follow Ford ’ s finger with his eyes but it made him feel dizzy."," Zafod se pokoušel očima sledovat Fordův ukazovák, ale zatočila se mu z toho hlava."
"follow","follow","sledovat","sledovat","impf"," Zaphod tried to follow Ford ’ s finger with his eyes but it made him feel dizzy."," Zafod se pokoušel očima sledovat Fordův ukazovák, ale zatočila se mu z toho hlava."
"saw","see","uviděl","uvidět","pf"," Finally he saw."," Konečně uviděl."
"did","do","udělal","udělat","pf"," “ Hey, ” he said, “ did that guy ever make it megabig!"," "" Že ale tenhle chlápek udělal megaďouru do světa!"
"make","make","udělal","udělat","pf"," “ Hey, ” he said, “ did that guy ever make it megabig!"," "" Že ale tenhle chlápek udělal megaďouru do světa!"
"saying","say","prohlásil","prohlásit","pf"," A spokesman for Disaster Area - the one who had had all the environmentalists shot - was later quoted as saying that it had been “ a good gig ”."," Mluvčí skupiny Postižená oblast - týž, který dal postřílet všechny ochránce životního prostředí - později údajně prohlásil, že to byl "" prima kšeft ""."
"spoke","speak","hovořila","hovořit","impf"," Many people spoke movingly of the healing powers of music."," Spousta lidí dojemně hovořila o čarovné moci hudby."
"thought","think","mysleli","myslet","impf"," One up to the home team, they thought."," Jedna nula pro domácí, mysleli si."
"sat","sit","sedl","sednout","pf"," Ford shrugged his shoulders and sat down again."," Ford pokrčil rameny a sedl si."
"lay","lie","spočívaly","spočívat","impf"," Buried deep in concrete bunkers beneath the city of speakers lay the instruments that the musicians would control from their ship, the massive photon-ajuitar, the bass detonator and the Megabang drum complex."," Hluboko v betonových krytech pod reproduktorovým městem spočívaly nástroje, které hudebníci ovládali z lodi - mohutná fotonová pitara, basový detonátor a megabouchací bicí souprava."
"control","control","ovládali","ovládat","impf"," Buried deep in concrete bunkers beneath the city of speakers lay the instruments that the musicians would control from their ship, the massive photon-ajuitar, the bass detonator and the Megabang drum complex."," Hluboko v betonových krytech pod reproduktorovým městem spočívaly nástroje, které hudebníci ovládali z lodi - mohutná fotonová pitara, basový detonátor a megabouchací bicí souprava."
"continued","continue","pokračoval","pokračovat","impf"," “ People like to dress up for it, ” continued Zaphod, “ Gives it a sense of occasion. ”"," "" Lidé se rádi voháknou, když sem jdou, "" pokračoval Zafod, "" připadá jim aspoň, že se něco děje. """
"examined","examine","zkoumal","zkoumat","impf"," He examined every inch."," Pečlivě zkoumal každý centimetr."
"go","go","jít","jít","impf"," A wild-skinned sky-gypsy approached them and played electric violin at them until Zaphod gave him a lot of money and he agreed to go away again."," Přitočil se k nim střapatý nebeský cikán divoce fidlající na elektrické housle, a teprve když ho Zafod zavalil penězi, uvolil se jít zase pryč."
"said","say","říkal","říkat","impf"," “ I don ’ t know what this place is, ” said Arthur, “ but I think it gives me the creeps. ”"," "" Nevím, co je to za podnik, "" říkal právě Arthur, "" ale naskakuje mi z něj husí kůže. """
"bomb","bomb","bombardovat","bombardovat","impf"," “ Who in the Galaxy would want to bomb a publishing company? ” asked Zaphod, but never heard Marvin ’ s reply because at that moment the building shook with another bomb attack."," "" Koho v Galaxie může napadnout bombardovat nakladatelství? "" podivil se Zafod, ale Marvinovu odpověď už nezaslechl, protože v tu chvíli zaduněl další výbuch."
"heard","hear","nezaslechl","zaslechnout","pf"," “ Who in the Galaxy would want to bomb a publishing company? ” asked Zaphod, but never heard Marvin ’ s reply because at that moment the building shook with another bomb attack."," "" Koho v Galaxie může napadnout bombardovat nakladatelství? "" podivil se Zafod, ale Marvinovu odpověď už nezaslechl, protože v tu chvíli zaduněl další výbuch."
"tried","try","Snažili","snažit","impf"," He tried to stagger back to the elevator - a pointless manoeuvre he realized, but the only one he could think of."," Snažili se postupovat k výtahu - nesmysl, napadlo Zafoda, ale na nic lepšího nepřišel."
"saw","see","uviděl","uvidět","pf"," The man saw him."," Muž ho také uviděl."
"get","get","přišel","přijít","pf"," “ Where ’ d you get this idea from? ”"," "" Jak jste na to přišel? """
"smiled","smile","usmál","usmát","pf"," Arthur smiled and looked away."," Arthur se usmál a odvrátil zrak."
"rocked","rock","otřásla","otřást","pf"," “ Sure thing, ” said the computer happily and a massive explosion rocked the bridge."," "" Jasná věc, "" ujistil šťastně počítač a velitelským můstkem otřásla mocná exploze."
"sank","sink","klesala","klesat","impf"," Four inert bodies sank through spinning blackness."," Čtyři nehybná těla klesala vířící temnotou."
"think","think","myslíš","myslet","impf"," “ What do you think will happen to them all? ” he said after a while."," "" Co myslíš, že s nimi bude? "" zeptal se po chvíli."
"started","start","začala","začít","pf"," A party of smartly dressed young dogs stopped throwing rolls at each other and started throwing rolls at the stage."," Skupina švihácky oblečených odrostlých štěňat si začala vzájemně házet klacíky, a pak je začala házet i na scénu."
"throwing","throw","házet","házet","impf"," A party of smartly dressed young dogs stopped throwing rolls at each other and started throwing rolls at the stage."," Skupina švihácky oblečených odrostlých štěňat si začala vzájemně házet klacíky, a pak je začala házet i na scénu."
"throwing","throw","házet","házet","impf"," A party of smartly dressed young dogs stopped throwing rolls at each other and started throwing rolls at the stage."," Skupina švihácky oblečených odrostlých štěňat si začala vzájemně házet klacíky, a pak je začala házet i na scénu."
