"said","say","řekl","říci","pf"," “ No, no, it is not so bad as that, ” said Holmes, smiling."," "" Snad to nebude tak hrozné, "" řekl Holmes s úsměvem."
"Let","let","Dovolte","dovolit","pf"," Let me very strongly advise you to draw off at once. ’"," Dovolte, abych vám doporučil neprodleně od věci ustoupit. '"
"advise","advise","doporučil","doporučit","pf"," Let me very strongly advise you to draw off at once. ’"," Dovolte, abych vám doporučil neprodleně od věci ustoupit. '"
"intended","intend","hodlal","hodlat","impf"," ‘ It is curious, ’ I answered, ‘ but that was the very advice which I had intended to give you."," ' To je zvláštní, ' odvětil jsem, ' ale právě touž radu jsem hodlal já dát vám."
"give","give","dát","dát","pf"," ‘ It is curious, ’ I answered, ‘ but that was the very advice which I had intended to give you."," ' To je zvláštní, ' odvětil jsem, ' ale právě touž radu jsem hodlal já dát vám."
"Let","let","Dovolte","dovolit","pf"," Let me put it to you as man to man."," Dovolte, abych vám řekl otevřeně, jako muž muži : nikdo si nepřeje rozviřovat minulé události a působit vám zbytečně nesnáze."
"put","put","řekl","říci","pf"," Let me put it to you as man to man."," Dovolte, abych vám řekl otevřeně, jako muž muži : nikdo si nepřeje rozviřovat minulé události a působit vám zbytečně nesnáze."
"heard","hear","Slyšel","slyšet","impf"," I have even heard that you go the length of boxing with the young officers."," Slyšel jsem dokonce, že ani neváháte boxovat s mladšími důstojníky."
"takes","take","nebere","brát","impf"," Nobody takes you seriously."," Nikdo vás nebere vážně."
"foresees","foresee","předvídá","předvídat","impf"," A confederate who foresees your conclusions and course of action is always dangerous, but one to whom each development comes as a perpetual surprise, and to whom the future is always a closed book, is indeed an ideal helpmate."," Důvěrník, který předvídá vaše dedukce i vaše budoucí počínání, je vždycky nebezpečný, zatímco ten, jenž další vývoj přijímá pokaždé s neochvějným úžasem a pro něhož je budoucnost vždy zavřená kniha, takový je vskutku ideálním pomocníkem."
"find","find","vyhledal","vyhledat","pf"," I find from my notebook that it was in January, 1903, just after the conclusion of the Boer War, that I had my visit from Mr. James M. Dodd, a big, fresh, sunburned, upstanding Briton."," Zjišťuji, že to bylo v lednu 1903, krátce poté, co skončila búrská válka, kdy mne vyhledal jistý pan James M. Dodd, takový vysoký, svěží, opálený, urostlý Brit."
"says","say","povídaj","povídat","impf"," ‘ It ’ s British law and order over here, ’ says he."," ' Tady platí britský zákony, ' povídaj."
"talking","talk","mluvíme","mluvit","impf"," By the way, mister, talking of Jack James, it seems to me you don ’ t do much to cover your men. ”"," A když už mluvíme vo Jackovi Jamesovi, vašnosti, tak vy se zrovna moc nenamáháte krejt svý lidi. """
"cover","cover","krejt","krýt","impf"," By the way, mister, talking of Jack James, it seems to me you don ’ t do much to cover your men. ”"," A když už mluvíme vo Jackovi Jamesovi, vašnosti, tak vy se zrovna moc nenamáháte krejt svý lidi. """
"went","go","začalo","začít","pf"," “ Well, he went a bit woozy towards the end."," "" No, ke konci mu začalo trochu strašit ve věži."
"play","play","hrát","hrát","impf"," It ’ s enough to make a man bug-house when he has to play a part from morning to night with a hundred guys all ready to set the coppers wise to him."," Vono to jednomu leze na nervy, když si musí vod rána do večera na něco hrát a má poráde vokolo sebe sto chlapů, který jsou vochotný hned letět na policii."
"test","test","ověřil","ověřit","pf"," “ Might I ask you a few questions to test you?"," "" Smím vám položit několik otázek, abych si to ověřil?"
"obliged","oblige","nucen","nutit","impf"," I am obliged to tell you, Doctor - if you are indeed a doctor - that the incident becomes more and more suspicious."," Jsem nucen vám sdělit, doktore - pokud vůbec lékařem jste -, že se mi celá tahle příhoda jeví čím dál tím podezřelejší."
"tell","tell","sdělit","sdělit","pf"," I am obliged to tell you, Doctor - if you are indeed a doctor - that the incident becomes more and more suspicious."," Jsem nucen vám sdělit, doktore - pokud vůbec lékařem jste -, že se mi celá tahle příhoda jeví čím dál tím podezřelejší."
"ask","ask","Zeptám","zeptat","pf"," I would ask you what do you know of the Emperor Shomu and how do you associate him with the Shoso-in near Nara?"," Zeptám se vás, co víte o císaři Süan - te a jak si ho spojujete s Šósóinem u Nary?"
"associate","associate","spojujete","spojovat","impf"," I would ask you what do you know of the Emperor Shomu and how do you associate him with the Shoso-in near Nara?"," Zeptám se vás, co víte o císaři Süan - te a jak si ho spojujete s Šósóinem u Nary?"
"promises","promise","slibuje","slibovat","impf"," The heavens, too, may not be quite so peaceful if all that the good Zepplin promises us comes true."," Ani anglická obloha už nebude tak pokojná, jestli se uskuteční všechno to, co nám dobrý Zeppelin slibuje."
"involved","involve","zapletl","zaplést","pf"," Clearly my poor friend had become involved in some criminal or, at the least, disreputable transaction which touched the family honour."," Můj nebohý přítel se zřejmě zapletl do nějakého zločinného nebo přinejmenším opovrženíhodného počínání, které ohrozilo rodinnou čest."
"sent","send","poslal","poslat","pf"," That stern old man had sent his son away and hidden him from the world lest some scandal should come to light."," Přísný otec poslal syna někam pryč nebo jej skryl před světem, aby zabránil skandálu."
"hidden","hide","skryl","skrýt","pf"," That stern old man had sent his son away and hidden him from the world lest some scandal should come to light."," Přísný otec poslal syna někam pryč nebo jej skryl před světem, aby zabránil skandálu."
"fallen","fall","upadl","upadnout","pf"," No doubt he had fallen into bad hands and been misled to his ruin."," Bezpochyby upadl do špatné společnosti a ta ho strhla do zkázy."
"think","think","Myslím","myslet","impf"," “ I think I may safely promise that, ” said he."," "" Myslím, že vám to mohu napevno slíbit, "" řekl."
"promise","promise","slíbit","slíbit","pf"," “ I think I may safely promise that, ” said he."," "" Myslím, že vám to mohu napevno slíbit, "" řekl."
"said","say","slíbit","slíbit","pf"," “ I think I may safely promise that, ” said he."," "" Myslím, že vám to mohu napevno slíbit, "" řekl."
"said","say","řekl","říci","pf"," “ I think I may safely promise that, ” said he."," "" Myslím, že vám to mohu napevno slíbit, "" řekl."
"add","add","dodat","dodat","pf"," “ I may add that your problem interests me, and that I shall be prepared to look into it."," "" A mohu dodat, že mne váš problém zaujal a že jsem hotov se jím zaobírat."
"find","find","vyhledají","vyhledat","pf"," “ The Carlton Club will find me."," "" V Carlton klubu mne vyhledají."
"noted","note","poznamenal","poznamenat","pf"," Holmes noted it down and sat, still smiling, with the open memorandum-book upon his knee."," Holmes si to poznamenal a s úsměvem na rtech držel dál na klíně otevřený zápisník."
"remember","remember","Vzpomínám","vzpomínat","impf"," I remember that one of them fainted as I knelt by the injured man and turned that awful face to the light of the lamp."," Vzpomínám si, že jeden z nich omdlel, když jsem poklekl u zraněného a otočil mu ten strašlivý obličej ke světlu."
"turned","turn","otočil","otočit","pf"," I remember that one of them fainted as I knelt by the injured man and turned that awful face to the light of the lamp."," Vzpomínám si, že jeden z nich omdlel, když jsem poklekl u zraněného a otočil mu ten strašlivý obličej ke světlu."
"admired","admire","obdivoval","obdivovat","impf"," The features which I had admired a few minutes before were now like some beautiful painting over which the artist has passed a wet and foul sponge."," Rysy, které jsem ještě před krátkou chvílí obdivoval, vypadaly, jako by krásný obraz malíř zlovolně přejel mokrou houbou."
"passed","pass","přejel","přejet","pf"," The features which I had admired a few minutes before were now like some beautiful painting over which the artist has passed a wet and foul sponge."," Rysy, které jsem ještě před krátkou chvílí obdivoval, vypadaly, jako by krásný obraz malíř zlovolně přejel mokrou houbou."
"come","come","přišla","přijít","pf"," You are a collector this set has come your way, you have heard of the Baron ’ s interest in the subject, and you are not averse to selling at a price. ”"," Jste sběratel, tahle souprava vám přišla do ruky, slyšel jste, že se baron o čínský porcelán zajímá, a byl byste ochoten ji za určitou cenu prodat. """
"heard","hear","slyšel","slyšet","impf"," You are a collector this set has come your way, you have heard of the Baron ’ s interest in the subject, and you are not averse to selling at a price. ”"," Jste sběratel, tahle souprava vám přišla do ruky, slyšel jste, že se baron o čínský porcelán zajímá, a byl byste ochoten ji za určitou cenu prodat. """
"selling","sell","prodat","prodat","pf"," You are a collector this set has come your way, you have heard of the Baron ’ s interest in the subject, and you are not averse to selling at a price. ”"," Jste sběratel, tahle souprava vám přišla do ruky, slyšel jste, že se baron o čínský porcelán zajímá, a byl byste ochoten ji za určitou cenu prodat. """
"tell","tell","řeknu","říci","pf"," But I ’ ll tell you straight what is in my mind."," A řeknu vám votevřeně, co si vo tom myslím."
"done","do","vykonal","vykonat","pf"," I ’ ve heard that with you German politicians when an agent has done his work you are not sorry to see him put away. ”"," Proslejchá se, že politikové v Němcích nejsou neradi, když agent, kterej vykonal svý, zmizí v chládku. """
"sprang","spring","vyskočil","vyskočit","pf"," Von Bork sprang to his feet."," Von Bork vyskočil."
"find","find","zjistit","zjistit","pf"," “ I don ’ t stand for that, mister, but there ’ s a stool pigeon or a cross somewhere, and it ’ s up to you to find out where it is."," "" Nic takovýho jsem neřek, vašnosti, ale někde svýho člověka mají, nebo se nějak napojili na informace, a vy byste měl koukat zjistit, co a jak."
