"remove","remove","odstranit","odstranit","pf"," And the way to remove the mistake is to get a more sophisticated concept of causation."," A tento omyl je možno odstranit tak, že zpřesníme pojem kauzality."
"think","think","máme","mít","impf"," Herbert Simon of Carnegie-Mellon University says that we already have machines that can literally think."," Herbet Simon z univerzity Carnegie - Mellon říká, že už máme stroje, které mohou - doslova - myslet."
"think","think","myslet","myslet","impf"," Herbert Simon of Carnegie-Mellon University says that we already have machines that can literally think."," Herbet Simon z univerzity Carnegie - Mellon říká, že už máme stroje, které mohou - doslova - myslet."
"waiting","wait","čekat","čekat","impf"," There is no question of waiting for some future machine, because existing digital computers already have thoughts in exactly the same sense that you and I do."," Vůbec prý nemusíme čekat na stroje budoucnosti, neboť již nyní mají digitální počítače myšlenky stejně jako vy nebo já."
"serve","serve","slouží","sloužit","impf"," Furthermore, the content and the type of the state will serve to relate the mental state to the world."," Dále, obsah a typ mentálního stavu slouží k usouvztažnění mysli a světa."
"represent","represent","reprezentovali","reprezentovat","impf"," That after all is why we have minds with mental states : to represent the world to ourselves; to represent how it is, how we would like it to be, how we fear it may turn out, what we intend to do about it and so on."," K tomu koneckonců mentální stavy také máme : abychom reprezentovali svět - abychom jej reprezentovali takový, jaký je, jaký bychom ho rádi měli, jaký by v našich obavách mohl být a co s tím chceme udělat a podobně."
"represent","represent","reprezentovali","reprezentovat","impf"," That after all is why we have minds with mental states : to represent the world to ourselves; to represent how it is, how we would like it to be, how we fear it may turn out, what we intend to do about it and so on."," K tomu koneckonců mentální stavy také máme : abychom reprezentovali svět - abychom jej reprezentovali takový, jaký je, jaký bychom ho rádi měli, jaký by v našich obavách mohl být a co s tím chceme udělat a podobně."
"represent","represent","reprezentovali","reprezentovat","impf"," That after all is why we have minds with mental states : to represent the world to ourselves; to represent how it is, how we would like it to be, how we fear it may turn out, what we intend to do about it and so on."," K tomu koneckonců mentální stavy také máme : abychom reprezentovali svět - abychom jej reprezentovali takový, jaký je, jaký bychom ho rádi měli, jaký by v našich obavách mohl být a co s tím chceme udělat a podobně."
"represent","represent","reprezentovali","reprezentovat","impf"," That after all is why we have minds with mental states : to represent the world to ourselves; to represent how it is, how we would like it to be, how we fear it may turn out, what we intend to do about it and so on."," K tomu koneckonců mentální stavy také máme : abychom reprezentovali svět - abychom jej reprezentovali takový, jaký je, jaký bychom ho rádi měli, jaký by v našich obavách mohl být a co s tím chceme udělat a podobně."
"like","like","chceme","chtít","impf"," That after all is why we have minds with mental states : to represent the world to ourselves; to represent how it is, how we would like it to be, how we fear it may turn out, what we intend to do about it and so on."," K tomu koneckonců mentální stavy také máme : abychom reprezentovali svět - abychom jej reprezentovali takový, jaký je, jaký bychom ho rádi měli, jaký by v našich obavách mohl být a co s tím chceme udělat a podobně."
"intend","intend","chceme","chtít","impf"," That after all is why we have minds with mental states : to represent the world to ourselves; to represent how it is, how we would like it to be, how we fear it may turn out, what we intend to do about it and so on."," K tomu koneckonců mentální stavy také máme : abychom reprezentovali svět - abychom jej reprezentovali takový, jaký je, jaký bychom ho rádi měli, jaký by v našich obavách mohl být a co s tím chceme udělat a podobně."
"do","do","udělat","udělat","pf"," That after all is why we have minds with mental states : to represent the world to ourselves; to represent how it is, how we would like it to be, how we fear it may turn out, what we intend to do about it and so on."," K tomu koneckonců mentální stavy také máme : abychom reprezentovali svět - abychom jej reprezentovali takový, jaký je, jaký bychom ho rádi měli, jaký by v našich obavách mohl být a co s tím chceme udělat a podobně."
"ask","ask","zeptat","zeptat","pf"," The question we wanted[ ]to ask is this : ‘ Can a digital computer, as defined, think?"," Původně jsme se totiž chtěli zeptat, zda digitální počítač, tak jak je definován, může myslet."
"think","think","myslet","myslet","impf"," The question we wanted[ ]to ask is this : ‘ Can a digital computer, as defined, think?"," Původně jsme se totiž chtěli zeptat, zda digitální počítač, tak jak je definován, může myslet."
"moving","move","pohybuji","pohybovat","impf"," So for example, I am also moving in the general direction of Patagonia, shaking the hair on my head up and down, wearing out my shoes, and moving a lot of air molecules."," Tak například při procházce do Hyde Parku se mimo jiné ubírám i směrem do Patagónie, potřásám kšticí na hlavě, opotřebovávám boty a pohybuji množstvím molekul vzduchu."
"moving","move","pohybuji","pohybovat","impf"," So for example, I am also moving in the general direction of Patagonia, shaking the hair on my head up and down, wearing out my shoes, and moving a lot of air molecules."," Tak například při procházce do Hyde Parku se mimo jiné ubírám i směrem do Patagónie, potřásám kšticí na hlavě, opotřebovávám boty a pohybuji množstvím molekul vzduchu."
"answer","answer","odpovídáme","odpovídat","impf"," We can see the force of this argument if we contrast what it is like to be asked and to answer questions in English, and to be asked and to answer questions in some language where we have no knowledge of any of the meanings of the words."," Sílu tohoto argumentu ozřejmuje srovnání dvou situací, v nichž nám někdo položí otázku a my na ni odpovídáme jednou v našem mateřském jazyce a podruhé v cizím jazyce, který neznáme."
"answer","answer","odpovídáme","odpovídat","impf"," We can see the force of this argument if we contrast what it is like to be asked and to answer questions in English, and to be asked and to answer questions in some language where we have no knowledge of any of the meanings of the words."," Sílu tohoto argumentu ozřejmuje srovnání dvou situací, v nichž nám někdo položí otázku a my na ni odpovídáme jednou v našem mateřském jazyce a podruhé v cizím jazyce, který neznáme."
