"kills","kill","zabil","zabít","pf"," Eat it so that the point of the hook goes into your heart and kills you, he thought."," Spolkni to tak, aby ti hrot háku pronikl do srdce a zabil tě, pomyslel si."
"said","say","řekl","říci","pf"," "" I told the boy I was a strange old man, "" he said."," "" Povídal jsem chlapci, že jsem zvláštní staroch, "" řekl nahlas."
"proving","prove","dokazoval","dokazovat","impf"," Now he was proving it again."," Teď to dokazoval znovu."
"looked","look","Hleděl","hledět","impf"," The old man looked ahead of him but he could see no sails nor could he see the hull nor the smoke of any ship."," Hleděl před sebe, ale nespatřil jedinou plachtu nebo trup či kouř jediné lodi."
"see","see","Hleděl","hledět","impf"," The old man looked ahead of him but he could see no sails nor could he see the hull nor the smoke of any ship."," Hleděl před sebe, ale nespatřil jedinou plachtu nebo trup či kouř jediné lodi."
"see","see","Hleděl","hledět","impf"," The old man looked ahead of him but he could see no sails nor could he see the hull nor the smoke of any ship."," Hleděl před sebe, ale nespatřil jedinou plachtu nebo trup či kouř jediné lodi."
"see","see","nespatřil","spatřit","pf"," The old man looked ahead of him but he could see no sails nor could he see the hull nor the smoke of any ship."," Hleděl před sebe, ale nespatřil jedinou plachtu nebo trup či kouř jediné lodi."
"see","see","nespatřil","spatřit","pf"," The old man looked ahead of him but he could see no sails nor could he see the hull nor the smoke of any ship."," Hleděl před sebe, ale nespatřil jedinou plachtu nebo trup či kouř jediné lodi."
"washed","wash","Umyl","umýt","pf"," He washed his left hand and wiped it on his trousers."," Umyl si levou ruku a utřel si ji do kalhot."
"wiped","wipe","utřel","utřít","pf"," He washed his left hand and wiped it on his trousers."," Umyl si levou ruku a utřel si ji do kalhot."
"thought","think","pomyslel","pomyslet","pf"," I can do nothing with him and he can do nothing with me, he thought."," Nesvedu nic s ní a ona nesvede nic se mnou, pomyslel si."
"keeps","keep","pokračovat","pokračovat","impf"," Not as long as he keeps this up."," Aspoň tak dlouho, dokud bude v tomhle pokračovat."
"looked","look","podíval","podívat","pf"," Once he stood up and urinated over the side of the skiff and looked at the stars and checked his course."," Jednou vstal, vymočil se přes okraj loďky, podíval se na hvězdy a zkontroloval si kurs."
"checked","check","zkontroloval","zkontrolovat","pf"," Once he stood up and urinated over the side of the skiff and looked at the stars and checked his course."," Jednou vstal, vymočil se přes okraj loďky, podíval se na hvězdy a zkontroloval si kurs."
"moving","move","Pluli","plout","impf"," They were moving more slowly now and the glow of Havana was not so strong, so that he knew the current must be carrying them to the eastward."," Pluli teď pomaleji a záře světel z Havany nebyla tak jasná, takže poznal, že je nejspíš proud unáší směrem k východu."
"began","begin","začalo","začít","pf"," After that he began to dream of the long yellow beach and he saw the first of the lions come down onto it in the early dark and then the other lions came and he rested his chin on the wood of the bows where the ship lay anchored with the evening off-shore breeze and he waited to see if there would be more lions and he was happy."," Nato se mu začalo zdát o dlouhém žlutém pobřeží a viděl ve snu, jak na ně v časném soumraku sestoupil první lev, a pak se začali objevovat ostatní lvi a on si podepřel bradu o pažení přídě na plachetnici, zakotvené ve večerním větříku z pevniny, a čekal, jestli se objeví ještě další lvi, a byl šťasten."
"dream","dream","zdát","zdát","impf"," After that he began to dream of the long yellow beach and he saw the first of the lions come down onto it in the early dark and then the other lions came and he rested his chin on the wood of the bows where the ship lay anchored with the evening off-shore breeze and he waited to see if there would be more lions and he was happy."," Nato se mu začalo zdát o dlouhém žlutém pobřeží a viděl ve snu, jak na ně v časném soumraku sestoupil první lev, a pak se začali objevovat ostatní lvi a on si podepřel bradu o pažení přídě na plachetnici, zakotvené ve večerním větříku z pevniny, a čekal, jestli se objeví ještě další lvi, a byl šťasten."
"saw","see","viděl","vidět","impf"," After that he began to dream of the long yellow beach and he saw the first of the lions come down onto it in the early dark and then the other lions came and he rested his chin on the wood of the bows where the ship lay anchored with the evening off-shore breeze and he waited to see if there would be more lions and he was happy."," Nato se mu začalo zdát o dlouhém žlutém pobřeží a viděl ve snu, jak na ně v časném soumraku sestoupil první lev, a pak se začali objevovat ostatní lvi a on si podepřel bradu o pažení přídě na plachetnici, zakotvené ve večerním větříku z pevniny, a čekal, jestli se objeví ještě další lvi, a byl šťasten."
"see","see","viděl","vidět","impf"," After that he began to dream of the long yellow beach and he saw the first of the lions come down onto it in the early dark and then the other lions came and he rested his chin on the wood of the bows where the ship lay anchored with the evening off-shore breeze and he waited to see if there would be more lions and he was happy."," Nato se mu začalo zdát o dlouhém žlutém pobřeží a viděl ve snu, jak na ně v časném soumraku sestoupil první lev, a pak se začali objevovat ostatní lvi a on si podepřel bradu o pažení přídě na plachetnici, zakotvené ve večerním větříku z pevniny, a čekal, jestli se objeví ještě další lvi, a byl šťasten."
"began","begin","začali","začít","pf"," After that he began to dream of the long yellow beach and he saw the first of the lions come down onto it in the early dark and then the other lions came and he rested his chin on the wood of the bows where the ship lay anchored with the evening off-shore breeze and he waited to see if there would be more lions and he was happy."," Nato se mu začalo zdát o dlouhém žlutém pobřeží a viděl ve snu, jak na ně v časném soumraku sestoupil první lev, a pak se začali objevovat ostatní lvi a on si podepřel bradu o pažení přídě na plachetnici, zakotvené ve večerním větříku z pevniny, a čekal, jestli se objeví ještě další lvi, a byl šťasten."
"waited","wait","čekal","čekat","impf"," After that he began to dream of the long yellow beach and he saw the first of the lions come down onto it in the early dark and then the other lions came and he rested his chin on the wood of the bows where the ship lay anchored with the evening off-shore breeze and he waited to see if there would be more lions and he was happy."," Nato se mu začalo zdát o dlouhém žlutém pobřeží a viděl ve snu, jak na ně v časném soumraku sestoupil první lev, a pak se začali objevovat ostatní lvi a on si podepřel bradu o pažení přídě na plachetnici, zakotvené ve večerním větříku z pevniny, a čekal, jestli se objeví ještě další lvi, a byl šťasten."
"slept","sleep","spal","spát","impf"," The moon had been up for a long time but he slept on and the fish pulled on steadily and the boat moved into the tunnel of clouds."," Měsíc už dávno vyšel, ale on spal dál a ryba dál vytrvale táhla a člun vplul do tunelu v mracích."
"trailing","trail","vláčel","vláčet","impf"," It floated cheerfully as a bubble with its long deadly purple filaments trailing a yard behind it in the water."," Plynul si vesele jako bublina a vláčel za sebou na loket ve vodě svá dlouhá jedovatá fialová vlákna."
"said","say","řekl","říci","pf"," "" Agua mala, "" the man said."," "" AGUA MALÁ, "" řekl člověk."
"saw","see","viděl","vidět","impf"," From where he swung lightly against his oars he looked down into the water and saw the tiny fish that were coloured like the trailing filaments and swam between them and under the small shade the bubble made as it drifted."," S místa, kde se lehce opřel do vesel, se zadíval dolů do vody a viděl drobné rybky, zbarvené stejně jako vláčející se vlákna, které pluly mezi vlákny a pod skvrnkou stínu vrhaného vznášející se bublinou."
"swam","swim","pluly","plout","impf"," From where he swung lightly against his oars he looked down into the water and saw the tiny fish that were coloured like the trailing filaments and swam between them and under the small shade the bubble made as it drifted."," S místa, kde se lehce opřel do vesel, se zadíval dolů do vody a viděl drobné rybky, zbarvené stejně jako vláčející se vlákna, které pluly mezi vlákny a pod skvrnkou stínu vrhaného vznášející se bublinou."
"want","want","Chci","chtít","impf"," I want to see him, he thought, and to touch and to feel him."," Chci se na ni podívat zblízka, pomyslel si, a dotknout se jí a ohmatat si ji."
"see","see","podívat","podívat","pf"," I want to see him, he thought, and to touch and to feel him."," Chci se na ni podívat zblízka, pomyslel si, a dotknout se jí a ohmatat si ji."
"thought","think","pomyslel","pomyslet","pf"," I want to see him, he thought, and to touch and to feel him."," Chci se na ni podívat zblízka, pomyslel si, a dotknout se jí a ohmatat si ji."
"touch","touch","dotknout","dotknout","pf"," I want to see him, he thought, and to touch and to feel him."," Chci se na ni podívat zblízka, pomyslel si, a dotknout se jí a ohmatat si ji."
"wish","wish","nechci","chtít","impf"," But that is not why I wish to feel him."," Ale proto se jí dotknout nechci."
"think","think","Myslím","myslet","impf"," I think I felt his heart, he thought."," Myslím, že jsem cítil její srdce."
"thought","think","Myslím","myslet","impf"," I think I felt his heart, he thought."," Myslím, že jsem cítil její srdce."
"felt","feel","cítil","cítit","impf"," I think I felt his heart, he thought."," Myslím, že jsem cítil její srdce."
"bind","bind","přivážu","přivázat","pf"," Bring him in now and make him fast and get the noose around his tail and another around his middle to bind him to the skiff."," Teď ji přitáhnu a přivážu a navleču jí smyčku kolem ocasu a ještě jednu kolem těla uprostřed, abych ji připoutal k loďce."
"watched","watch","pozoroval","pozorovat","impf"," He closed them firmly so they would take the pain now and would not flinch and watched the sharks come."," Pak je pevně semkl kolem vesla, aby si zvykly na bolest a neucukly, a pozoroval blížící se žraloky."
